state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state
5,Urban,dm_controlled,3.2,2.5,3.9,Proportion,"3.2 (2.5, 3.9)",4888,,NA,Uttarakhand
6,Rural,dm_screened,40.8,39.1,42.5,Proportion,"40.8 (39.1, 42.5)",34499,,NA,Haryana
6,Rural,dm_disease,5.2,4.8,5.7,Proportion,"5.2 (4.8, 5.7)",34499,,NA,Haryana
6,Rural,dm_diagnosed,3.7,3.3,4.1,Proportion,"3.7 (3.3, 4.1)",34499,,NA,Haryana
6,Rural,dm_treated,1.9,1.7,2.1,Proportion,"1.9 (1.7, 2.1)",34499,,NA,Haryana
6,Rural,dm_controlled,0.9,0.7,1,Proportion,"0.9 (0.7, 1)",34499,,NA,Haryana
6,Urban,dm_screened,50.8,48.2,53.4,Proportion,"50.8 (48.2, 53.4)",14942,,NA,Haryana
6,Urban,dm_disease,8.2,7.2,9.1,Proportion,"8.2 (7.2, 9.1)",14942,,NA,Haryana
6,Urban,dm_diagnosed,6.7,5.7,7.6,Proportion,"6.7 (5.7, 7.6)",14942,,NA,Haryana
6,Urban,dm_treated,3.9,3.5,4.3,Proportion,"3.9 (3.5, 4.3)",14942,,NA,Haryana
6,Urban,dm_controlled,2.1,1.8,2.3,Proportion,"2.1 (1.8, 2.3)",14942,,NA,Haryana
7,Rural,dm_screened,70.3,56.6,83.9,Proportion,"70.3 (56.6, 83.9)",820,,NA,Nct Of Delhi
7,Rural,dm_disease,6.3,1.5,11.2,Proportion,"6.3 (1.5, 11.2)",820,,NA,Nct Of Delhi
7,Rural,dm_diagnosed,4.8,0,9.6,Proportion,"4.8 (0, 9.6)",820,,NA,Nct Of Delhi
7,Rural,dm_treated,3.7,0.3,7.1,Proportion,"3.7 (0.3, 7.1)",820,,NA,Nct Of Delhi
7,Rural,dm_controlled,2.7,-0.9,6.3,Proportion,"2.7 (-0.9, 6.3)",820,,NA,Nct Of Delhi
7,Urban,dm_screened,58.5,56.3,60.6,Proportion,"58.5 (56.3, 60.6)",20521,,NA,Nct Of Delhi
7,Urban,dm_disease,8,7.5,8.5,Proportion,"8 (7.5, 8.5)",20521,,NA,Nct Of Delhi
7,Urban,dm_diagnosed,6.4,5.9,6.9,Proportion,"6.4 (5.9, 6.9)",20521,,NA,Nct Of Delhi
7,Urban,dm_treated,5.4,4.9,5.8,Proportion,"5.4 (4.9, 5.8)",20521,,NA,Nct Of Delhi
7,Urban,dm_controlled,3.2,2.9,3.6,Proportion,"3.2 (2.9, 3.6)",20521,,NA,Nct Of Delhi
8,Rural,dm_screened,16.5,15.1,17.9,Proportion,"16.5 (15.1, 17.9)",74638,,NA,Rajasthan
8,Rural,dm_disease,2.5,2.2,2.7,Proportion,"2.5 (2.2, 2.7)",74638,,NA,Rajasthan
8,Rural,dm_diagnosed,1.8,1.6,2.1,Proportion,"1.8 (1.6, 2.1)",74638,,NA,Rajasthan
8,Rural,dm_treated,0.9,0.8,1,Proportion,"0.9 (0.8, 1)",74638,,NA,Rajasthan
8,Rural,dm_controlled,0.5,0.4,0.6,Proportion,"0.5 (0.4, 0.6)",74638,,NA,Rajasthan
8,Urban,dm_screened,27.5,24.8,30.2,Proportion,"27.5 (24.8, 30.2)",20738,,NA,Rajasthan
8,Urban,dm_disease,4.9,4.1,5.6,Proportion,"4.9 (4.1, 5.6)",20738,,NA,Rajasthan
8,Urban,dm_diagnosed,4,3.3,4.7,Proportion,"4 (3.3, 4.7)",20738,,NA,Rajasthan
8,Urban,dm_treated,2.1,1.8,2.4,Proportion,"2.1 (1.8, 2.4)",20738,,NA,Rajasthan
8,Urban,dm_controlled,1.4,1.2,1.7,Proportion,"1.4 (1.2, 1.7)",20738,,NA,Rajasthan
9,Rural,dm_screened,23.6,22.8,24.5,Proportion,"23.6 (22.8, 24.5)",155168,,NA,Uttar Pradesh
9,Rural,dm_disease,4.6,4.3,4.8,Proportion,"4.6 (4.3, 4.8)",155168,,NA,Uttar Pradesh
9,Rural,dm_diagnosed,3.2,2.9,3.4,Proportion,"3.2 (2.9, 3.4)",155168,,NA,Uttar Pradesh
9,Rural,dm_treated,1.2,1.1,1.2,Proportion,"1.2 (1.1, 1.2)",155168,,NA,Uttar Pradesh
9,Rural,dm_controlled,0.7,0.6,0.7,Proportion,"0.7 (0.6, 0.7)",155168,,NA,Uttar Pradesh
9,Urban,dm_screened,32.2,30.2,34.1,Proportion,"32.2 (30.2, 34.1)",36885,,NA,Uttar Pradesh
9,Urban,dm_disease,5.9,5.4,6.4,Proportion,"5.9 (5.4, 6.4)",36885,,NA,Uttar Pradesh
9,Urban,dm_diagnosed,4.2,3.7,4.7,Proportion,"4.2 (3.7, 4.7)",36885,,NA,Uttar Pradesh
9,Urban,dm_treated,2.5,2.2,2.7,Proportion,"2.5 (2.2, 2.7)",36885,,NA,Uttar Pradesh
9,Urban,dm_controlled,1.3,1.1,1.5,Proportion,"1.3 (1.1, 1.5)",36885,,NA,Uttar Pradesh
10,Rural,dm_screened,13.6,12.9,14.3,Proportion,"13.6 (12.9, 14.3)",75991,,NA,Bihar
10,Rural,dm_disease,4.9,4.6,5.2,Proportion,"4.9 (4.6, 5.2)",75991,,NA,Bihar
10,Rural,dm_diagnosed,3.4,3.1,3.7,Proportion,"3.4 (3.1, 3.7)",75991,,NA,Bihar
10,Rural,dm_treated,1.6,1.5,1.7,Proportion,"1.6 (1.5, 1.7)",75991,,NA,Bihar
10,Rural,dm_controlled,0.9,0.8,1,Proportion,"0.9 (0.8, 1)",75991,,NA,Bihar
10,Urban,dm_screened,27.7,24.3,31,Proportion,"27.7 (24.3, 31)",9857,,NA,Bihar
10,Urban,dm_disease,8.8,7.5,10,Proportion,"8.8 (7.5, 10)",9857,,NA,Bihar
10,Urban,dm_diagnosed,6.9,5.7,8,Proportion,"6.9 (5.7, 8)",9857,,NA,Bihar
10,Urban,dm_treated,3.9,3.2,4.6,Proportion,"3.9 (3.2, 4.6)",9857,,NA,Bihar
10,Urban,dm_controlled,2,1.6,2.5,Proportion,"2 (1.6, 2.5)",9857,,NA,Bihar
11,Rural,dm_screened,36.2,33.4,39.1,Proportion,"36.2 (33.4, 39.1)",6457,,NA,Sikkim
11,Rural,dm_disease,5,4.1,6,Proportion,"5 (4.1, 6)",6457,,NA,Sikkim
11,Rural,dm_diagnosed,3.7,3,4.5,Proportion,"3.7 (3, 4.5)",6457,,NA,Sikkim
11,Rural,dm_treated,2.4,1.8,3,Proportion,"2.4 (1.8, 3)",6457,,NA,Sikkim
11,Rural,dm_controlled,1.2,0.9,1.6,Proportion,"1.2 (0.9, 1.6)",6457,,NA,Sikkim
11,Urban,dm_screened,40.5,32,49.1,Proportion,"40.5 (32, 49.1)",1021,,NA,Sikkim
11,Urban,dm_disease,7.2,5,9.5,Proportion,"7.2 (5, 9.5)",1021,,NA,Sikkim
11,Urban,dm_diagnosed,6.1,4.3,7.9,Proportion,"6.1 (4.3, 7.9)",1021,,NA,Sikkim
11,Urban,dm_treated,4.2,2.9,5.5,Proportion,"4.2 (2.9, 5.5)",1021,,NA,Sikkim
11,Urban,dm_controlled,1.7,0.9,2.5,Proportion,"1.7 (0.9, 2.5)",1021,,NA,Sikkim
12,Rural,dm_screened,29.9,27.6,32.1,Proportion,"29.9 (27.6, 32.1)",35952,,NA,Arunachal Pradesh
12,Rural,dm_disease,3.4,2.8,4,Proportion,"3.4 (2.8, 4)",35952,,NA,Arunachal Pradesh
12,Rural,dm_diagnosed,2.5,2,3.1,Proportion,"2.5 (2, 3.1)",35952,,NA,Arunachal Pradesh
12,Rural,dm_treated,0.7,0.5,0.9,Proportion,"0.7 (0.5, 0.9)",35952,,NA,Arunachal Pradesh
12,Rural,dm_controlled,0.5,0.3,0.6,Proportion,"0.5 (0.3, 0.6)",35952,,NA,Arunachal Pradesh
12,Urban,dm_screened,35.9,31.9,39.9,Proportion,"35.9 (31.9, 39.9)",8290,,NA,Arunachal Pradesh
12,Urban,dm_disease,6.2,4.8,7.6,Proportion,"6.2 (4.8, 7.6)",8290,,NA,Arunachal Pradesh
12,Urban,dm_diagnosed,5,3.7,6.4,Proportion,"5 (3.7, 6.4)",8290,,NA,Arunachal Pradesh
12,Urban,dm_treated,1.7,1.3,2.1,Proportion,"1.7 (1.3, 2.1)",8290,,NA,Arunachal Pradesh
12,Urban,dm_controlled,1.2,0.9,1.6,Proportion,"1.2 (0.9, 1.6)",8290,,NA,Arunachal Pradesh
13,Rural,dm_screened,15.9,13,18.8,Proportion,"15.9 (13, 18.8)",17397,,NA,Nagaland
13,Rural,dm_disease,2.4,2,2.9,Proportion,"2.4 (2, 2.9)",17397,,NA,Nagaland
13,Rural,dm_diagnosed,1.5,1.1,1.9,Proportion,"1.5 (1.1, 1.9)",17397,,NA,Nagaland
13,Rural,dm_treated,0.7,0.5,1,Proportion,"0.7 (0.5, 1)",17397,,NA,Nagaland
13,Rural,dm_controlled,0.4,0.2,0.6,Proportion,"0.4 (0.2, 0.6)",17397,,NA,Nagaland
13,Urban,dm_screened,24.7,20.7,28.7,Proportion,"24.7 (20.7, 28.7)",5830,,NA,Nagaland
13,Urban,dm_disease,4.9,3.7,6.1,Proportion,"4.9 (3.7, 6.1)",5830,,NA,Nagaland
13,Urban,dm_diagnosed,3.9,2.7,5.1,Proportion,"3.9 (2.7, 5.1)",5830,,NA,Nagaland
13,Urban,dm_treated,1.9,1.4,2.5,Proportion,"1.9 (1.4, 2.5)",5830,,NA,Nagaland
13,Urban,dm_controlled,0.7,0.4,1,Proportion,"0.7 (0.4, 1)",5830,,NA,Nagaland
14,Rural,dm_screened,33.4,31.5,35.3,Proportion,"33.4 (31.5, 35.3)",14815,,NA,Manipur
14,Rural,dm_disease,5.2,4.6,5.9,Proportion,"5.2 (4.6, 5.9)",14815,,NA,Manipur
14,Rural,dm_diagnosed,3.7,3.2,4.3,Proportion,"3.7 (3.2, 4.3)",14815,,NA,Manipur
14,Rural,dm_treated,2.4,2,2.9,Proportion,"2.4 (2, 2.9)",14815,,NA,Manipur
14,Rural,dm_controlled,1.5,1.2,1.8,Proportion,"1.5 (1.2, 1.8)",14815,,NA,Manipur
14,Urban,dm_screened,47.6,44.2,51,Proportion,"47.6 (44.2, 51)",5397,,NA,Manipur
14,Urban,dm_disease,9,7.8,10.3,Proportion,"9 (7.8, 10.3)",5397,,NA,Manipur
14,Urban,dm_diagnosed,7,5.9,8,Proportion,"7 (5.9, 8)",5397,,NA,Manipur
14,Urban,dm_treated,5.1,4.3,6,Proportion,"5.1 (4.3, 6)",5397,,NA,Manipur
14,Urban,dm_controlled,3,2.3,3.8,Proportion,"3 (2.3, 3.8)",5397,,NA,Manipur
15,Rural,dm_screened,26.5,22.6,30.3,Proportion,"26.5 (22.6, 30.3)",10466,,NA,Mizoram
15,Rural,dm_disease,4,3.2,4.8,Proportion,"4 (3.2, 4.8)",10466,,NA,Mizoram
15,Rural,dm_diagnosed,3,2.2,3.8,Proportion,"3 (2.2, 3.8)",10466,,NA,Mizoram
15,Rural,dm_treated,1.8,1.3,2.3,Proportion,"1.8 (1.3, 2.3)",10466,,NA,Mizoram
15,Rural,dm_controlled,1.2,0.8,1.6,Proportion,"1.2 (0.8, 1.6)",10466,,NA,Mizoram
15,Urban,dm_screened,48.5,45.1,51.9,Proportion,"48.5 (45.1, 51.9)",7920,,NA,Mizoram
15,Urban,dm_disease,7.2,6,8.4,Proportion,"7.2 (6, 8.4)",7920,,NA,Mizoram
15,Urban,dm_diagnosed,6.2,5.1,7.3,Proportion,"6.2 (5.1, 7.3)",7920,,NA,Mizoram
15,Urban,dm_treated,4.6,3.6,5.5,Proportion,"4.6 (3.6, 5.5)",7920,,NA,Mizoram
15,Urban,dm_controlled,3,2.4,3.6,Proportion,"3 (2.4, 3.6)",7920,,NA,Mizoram
16,Rural,dm_screened,29.8,26.3,33.3,Proportion,"29.8 (26.3, 33.3)",13968,,NA,Tripura
16,Rural,dm_disease,4.6,4.1,5.1,Proportion,"4.6 (4.1, 5.1)",13968,,NA,Tripura
16,Rural,dm_diagnosed,3,2.6,3.5,Proportion,"3 (2.6, 3.5)",13968,,NA,Tripura
16,Rural,dm_treated,1.8,1.5,2.1,Proportion,"1.8 (1.5, 2.1)",13968,,NA,Tripura
16,Rural,dm_controlled,1,0.8,1.2,Proportion,"1 (0.8, 1.2)",13968,,NA,Tripura
16,Urban,dm_screened,43.1,37.3,48.9,Proportion,"43.1 (37.3, 48.9)",3354,,NA,Tripura
16,Urban,dm_disease,9.1,7.4,10.8,Proportion,"9.1 (7.4, 10.8)",3354,,NA,Tripura
16,Urban,dm_diagnosed,6.3,4.8,7.7,Proportion,"6.3 (4.8, 7.7)",3354,,NA,Tripura
16,Urban,dm_treated,5.1,3.7,6.6,Proportion,"5.1 (3.7, 6.6)",3354,,NA,Tripura
16,Urban,dm_controlled,3.3,2.3,4.3,Proportion,"3.3 (2.3, 4.3)",3354,,NA,Tripura
17,Rural,dm_screened,11.2,9.5,13,Proportion,"11.2 (9.5, 13)",22715,,NA,Meghalaya
17,Rural,dm_disease,1.8,1.5,2.1,Proportion,"1.8 (1.5, 2.1)",22715,,NA,Meghalaya
17,Rural,dm_diagnosed,1.2,0.9,1.5,Proportion,"1.2 (0.9, 1.5)",22715,,NA,Meghalaya
17,Rural,dm_treated,0.6,0.4,0.7,Proportion,"0.6 (0.4, 0.7)",22715,,NA,Meghalaya
17,Rural,dm_controlled,0.4,0.3,0.5,Proportion,"0.4 (0.3, 0.5)",22715,,NA,Meghalaya
17,Urban,dm_screened,33.1,26.4,39.9,Proportion,"33.1 (26.4, 39.9)",2848,,NA,Meghalaya
17,Urban,dm_disease,5,3.7,6.3,Proportion,"5 (3.7, 6.3)",2848,,NA,Meghalaya
17,Urban,dm_diagnosed,3.9,2.9,5,Proportion,"3.9 (2.9, 5)",2848,,NA,Meghalaya
17,Urban,dm_treated,2.8,1.8,3.7,Proportion,"2.8 (1.8, 3.7)",2848,,NA,Meghalaya
17,Urban,dm_controlled,1.9,1.3,2.5,Proportion,"1.9 (1.3, 2.5)",2848,,NA,Meghalaya
18,Rural,dm_screened,28.8,27,30.5,Proportion,"28.8 (27, 30.5)",67880,,NA,Assam
18,Rural,dm_disease,4,3.7,4.3,Proportion,"4 (3.7, 4.3)",67880,,NA,Assam
18,Rural,dm_diagnosed,2.8,2.5,3,Proportion,"2.8 (2.5, 3)",67880,,NA,Assam
18,Rural,dm_treated,1.7,1.5,1.8,Proportion,"1.7 (1.5, 1.8)",67880,,NA,Assam
18,Rural,dm_controlled,1,0.9,1.1,Proportion,"1 (0.9, 1.1)",67880,,NA,Assam
18,Urban,dm_screened,46,41.7,50.2,Proportion,"46 (41.7, 50.2)",9775,,NA,Assam
18,Urban,dm_disease,8.1,7.1,9,Proportion,"8.1 (7.1, 9)",9775,,NA,Assam
18,Urban,dm_diagnosed,5.9,5,6.7,Proportion,"5.9 (5, 6.7)",9775,,NA,Assam
18,Urban,dm_treated,4,3.4,4.6,Proportion,"4 (3.4, 4.6)",9775,,NA,Assam
18,Urban,dm_controlled,2.4,1.9,2.9,Proportion,"2.4 (1.9, 2.9)",9775,,NA,Assam
19,Rural,dm_screened,22.2,20.8,23.6,Proportion,"22.2 (20.8, 23.6)",32955,,NA,West Bengal
19,Rural,dm_disease,4.9,4.5,5.2,Proportion,"4.9 (4.5, 5.2)",32955,,NA,West Bengal
19,Rural,dm_diagnosed,2.7,2.5,3,Proportion,"2.7 (2.5, 3)",32955,,NA,West Bengal
19,Rural,dm_treated,2,1.8,2.2,Proportion,"2 (1.8, 2.2)",32955,,NA,West Bengal
19,Rural,dm_controlled,1.1,0.9,1.2,Proportion,"1.1 (0.9, 1.2)",32955,,NA,West Bengal
19,Urban,dm_screened,35.3,32,38.6,Proportion,"35.3 (32, 38.6)",14805,,NA,West Bengal
19,Urban,dm_disease,6.8,6.1,7.6,Proportion,"6.8 (6.1, 7.6)",14805,,NA,West Bengal
19,Urban,dm_diagnosed,4.7,4.1,5.3,Proportion,"4.7 (4.1, 5.3)",14805,,NA,West Bengal
19,Urban,dm_treated,3.9,3.4,4.5,Proportion,"3.9 (3.4, 4.5)",14805,,NA,West Bengal
19,Urban,dm_controlled,2.4,2,2.9,Proportion,"2.4 (2, 2.9)",14805,,NA,West Bengal
20,Rural,dm_screened,16.5,15,17.9,Proportion,"16.5 (15, 17.9)",45256,,NA,Jharkhand
20,Rural,dm_disease,4.1,3.6,4.6,Proportion,"4.1 (3.6, 4.6)",45256,,NA,Jharkhand
20,Rural,dm_diagnosed,2.8,2.3,3.3,Proportion,"2.8 (2.3, 3.3)",45256,,NA,Jharkhand
20,Rural,dm_treated,1,0.9,1.2,Proportion,"1 (0.9, 1.2)",45256,,NA,Jharkhand
20,Rural,dm_controlled,0.7,0.6,0.8,Proportion,"0.7 (0.6, 0.8)",45256,,NA,Jharkhand
20,Urban,dm_screened,35.6,31.9,39.3,Proportion,"35.6 (31.9, 39.3)",11370,,NA,Jharkhand
20,Urban,dm_disease,7.9,6.7,9,Proportion,"7.9 (6.7, 9)",11370,,NA,Jharkhand
20,Urban,dm_diagnosed,6.2,5.1,7.3,Proportion,"6.2 (5.1, 7.3)",11370,,NA,Jharkhand
20,Urban,dm_treated,3.2,2.6,3.7,Proportion,"3.2 (2.6, 3.7)",11370,,NA,Jharkhand
20,Urban,dm_controlled,1.8,1.4,2.2,Proportion,"1.8 (1.4, 2.2)",11370,,NA,Jharkhand
21,Rural,dm_screened,19.8,18.8,20.9,Proportion,"19.8 (18.8, 20.9)",57491,,NA,Odisha
21,Rural,dm_disease,5.2,4.9,5.6,Proportion,"5.2 (4.9, 5.6)",57491,,NA,Odisha
21,Rural,dm_diagnosed,3.3,3,3.6,Proportion,"3.3 (3, 3.6)",57491,,NA,Odisha
21,Rural,dm_treated,2.2,2,2.4,Proportion,"2.2 (2, 2.4)",57491,,NA,Odisha
21,Rural,dm_controlled,1.2,1.1,1.3,Proportion,"1.2 (1.1, 1.3)",57491,,NA,Odisha
21,Urban,dm_screened,35.6,32.7,38.5,Proportion,"35.6 (32.7, 38.5)",9261,,NA,Odisha
21,Urban,dm_disease,9.8,8.6,11,Proportion,"9.8 (8.6, 11)",9261,,NA,Odisha
21,Urban,dm_diagnosed,7.1,6.1,8.1,Proportion,"7.1 (6.1, 8.1)",9261,,NA,Odisha
21,Urban,dm_treated,5.7,4.9,6.5,Proportion,"5.7 (4.9, 6.5)",9261,,NA,Odisha
21,Urban,dm_controlled,3.1,2.6,3.5,Proportion,"3.1 (2.6, 3.5)",9261,,NA,Odisha
22,Rural,dm_screened,32.5,30.3,34.8,Proportion,"32.5 (30.3, 34.8)",52610,,NA,Chhattisgarh
22,Rural,dm_disease,3.4,3.1,3.8,Proportion,"3.4 (3.1, 3.8)",52610,,NA,Chhattisgarh
22,Rural,dm_diagnosed,2.3,2,2.6,Proportion,"2.3 (2, 2.6)",52610,,NA,Chhattisgarh
22,Rural,dm_treated,1.2,1.1,1.4,Proportion,"1.2 (1.1, 1.4)",52610,,NA,Chhattisgarh
22,Rural,dm_controlled,0.8,0.7,0.9,Proportion,"0.8 (0.7, 0.9)",52610,,NA,Chhattisgarh
22,Urban,dm_screened,44,39.7,48.3,Proportion,"44 (39.7, 48.3)",12243,,NA,Chhattisgarh
22,Urban,dm_disease,6.6,5.5,7.6,Proportion,"6.6 (5.5, 7.6)",12243,,NA,Chhattisgarh
22,Urban,dm_diagnosed,5,4,6,Proportion,"5 (4, 6)",12243,,NA,Chhattisgarh
22,Urban,dm_treated,3.2,2.6,3.7,Proportion,"3.2 (2.6, 3.7)",12243,,NA,Chhattisgarh
22,Urban,dm_controlled,2.2,1.8,2.7,Proportion,"2.2 (1.8, 2.7)",12243,,NA,Chhattisgarh
23,Rural,dm_screened,16.6,15.6,17.7,Proportion,"16.6 (15.6, 17.7)",86958,,NA,Madhya Pradesh
23,Rural,dm_disease,2.7,2.5,2.9,Proportion,"2.7 (2.5, 2.9)",86958,,NA,Madhya Pradesh
23,Rural,dm_diagnosed,1.6,1.4,1.7,Proportion,"1.6 (1.4, 1.7)",86958,,NA,Madhya Pradesh
23,Rural,dm_treated,1,0.9,1.1,Proportion,"1 (0.9, 1.1)",86958,,NA,Madhya Pradesh
23,Rural,dm_controlled,0.6,0.5,0.7,Proportion,"0.6 (0.5, 0.7)",86958,,NA,Madhya Pradesh
23,Urban,dm_screened,29.6,27.2,32,Proportion,"29.6 (27.2, 32)",22639,,NA,Madhya Pradesh
23,Urban,dm_disease,5.1,4.6,5.5,Proportion,"5.1 (4.6, 5.5)",22639,,NA,Madhya Pradesh
23,Urban,dm_diagnosed,3.7,3.2,4.1,Proportion,"3.7 (3.2, 4.1)",22639,,NA,Madhya Pradesh
23,Urban,dm_treated,2.7,2.4,3,Proportion,"2.7 (2.4, 3)",22639,,NA,Madhya Pradesh
23,Urban,dm_controlled,1.5,1.3,1.7,Proportion,"1.5 (1.3, 1.7)",22639,,NA,Madhya Pradesh
24,Rural,dm_screened,18.8,17.4,20.2,Proportion,"18.8 (17.4, 20.2)",59343,,NA,Gujarat
24,Rural,dm_disease,3.9,3.6,4.1,Proportion,"3.9 (3.6, 4.1)",59343,,NA,Gujarat
24,Rural,dm_diagnosed,2.2,2,2.4,Proportion,"2.2 (2, 2.4)",59343,,NA,Gujarat
24,Rural,dm_treated,1.6,1.5,1.8,Proportion,"1.6 (1.5, 1.8)",59343,,NA,Gujarat
24,Rural,dm_controlled,0.9,0.8,1.1,Proportion,"0.9 (0.8, 1.1)",59343,,NA,Gujarat
24,Urban,dm_screened,36.3,32.7,39.8,Proportion,"36.3 (32.7, 39.8)",26811,,NA,Gujarat
24,Urban,dm_disease,6.1,5.7,6.6,Proportion,"6.1 (5.7, 6.6)",26811,,NA,Gujarat
