state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
19,dm_screened,79.4,77,81.6,Proportion,"79.4 (77, 81.6)",2184,,NA,West Bengal,East
19,dm_diagnosed,69.2,66.4,71.9,Proportion,"69.2 (66.4, 71.9)",2184,,NA,West Bengal,East
20,dm_screened,83.4,80.9,85.6,Proportion,"83.4 (80.9, 85.6)",2745,,NA,Jharkhand,East
20,dm_diagnosed,75.6,72.6,78.5,Proportion,"75.6 (72.6, 78.5)",2745,,NA,Jharkhand,East
21,dm_screened,79.4,77.3,81.3,Proportion,"79.4 (77.3, 81.3)",3267,,NA,Odisha,East
21,dm_diagnosed,72.7,70.3,75,Proportion,"72.7 (70.3, 75)",3267,,NA,Odisha,East
22,dm_screened,83.7,81,86.1,Proportion,"83.7 (81, 86.1)",2218,,NA,Chhattisgarh,Central
22,dm_diagnosed,74,70.6,77.2,Proportion,"74 (70.6, 77.2)",2218,,NA,Chhattisgarh,Central
23,dm_screened,77,75,79,Proportion,"77 (75, 79)",3191,,NA,Madhya Pradesh,Central
23,dm_diagnosed,67.8,65.5,70.1,Proportion,"67.8 (65.5, 70.1)",3191,,NA,Madhya Pradesh,Central
24,dm_screened,79.4,77.3,81.3,Proportion,"79.4 (77.3, 81.3)",3553,,NA,Gujarat,West
24,dm_diagnosed,70,67.7,72.1,Proportion,"70 (67.7, 72.1)",3553,,NA,Gujarat,West
25,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",337,,NA,Dadra & Nagar Haveli And Daman & Diu,West
25,dm_diagnosed,54.4,45.5,62.9,Proportion,"54.4 (45.5, 62.9)",337,,NA,Dadra & Nagar Haveli And Daman & Diu,West
27,dm_screened,84.6,82.5,86.4,Proportion,"84.6 (82.5, 86.4)",3833,,NA,Maharashtra,West
27,dm_diagnosed,75.2,73,77.4,Proportion,"75.2 (73, 77.4)",3833,,NA,Maharashtra,West
28,dm_screened,90.5,88.9,91.8,Proportion,"90.5 (88.9, 91.8)",2569,,NA,Andhra Pradesh,South
28,dm_diagnosed,76.6,74.5,78.6,Proportion,"76.6 (74.5, 78.6)",2569,,NA,Andhra Pradesh,South
29,dm_screened,87.9,86.3,89.3,Proportion,"87.9 (86.3, 89.3)",4636,,NA,Karnataka,South
29,dm_diagnosed,75,72.9,77,Proportion,"75 (72.9, 77)",4636,,NA,Karnataka,South
30,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",565,,NA,Goa,West
30,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",565,,NA,Goa,West
31,dm_screened,100,100,100,Proportion,"100 (100, 100)",288,,NA,Lakshadweep,South
31,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",288,,NA,Lakshadweep,South
32,dm_screened,98.3,97.8,98.6,Proportion,"98.3 (97.8, 98.6)",4993,,NA,Kerala,South
32,dm_diagnosed,90.2,89.2,91.1,Proportion,"90.2 (89.2, 91.1)",4993,,NA,Kerala,South
33,dm_screened,95.6,95,96.1,Proportion,"95.6 (95, 96.1)",8949,,NA,Tamil Nadu,South
33,dm_diagnosed,84.2,82.9,85.4,Proportion,"84.2 (82.9, 85.4)",8949,,NA,Tamil Nadu,South
34,dm_screened,96.7,94.5,98.1,Proportion,"96.7 (94.5, 98.1)",1275,,NA,Puducherry,South
34,dm_diagnosed,88.2,84.8,91,Proportion,"88.2 (84.8, 91)",1275,,NA,Puducherry,South
35,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",475,,NA,Andaman & Nicobar Islands,South
35,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",475,,NA,Andaman & Nicobar Islands,South
36,dm_screened,90.3,89.1,91.3,Proportion,"90.3 (89.1, 91.3)",4484,,NA,Telangana,South
36,dm_diagnosed,77.8,75.9,79.7,Proportion,"77.8 (75.9, 79.7)",4484,,NA,Telangana,South
37,dm_screened,100,100,100,Proportion,"100 (100, 100)",392,,NA,Ladakh,North
37,dm_diagnosed,99.8,98.4,100,Proportion,"99.8 (98.4, 100)",392,,NA,Ladakh,North
1,dm_screened,96.3,94.7,97.4,Proportion,"96.3 (94.7, 97.4)",1286,sex,Female,Jammu & Kashmir,North
1,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1286,sex,Female,Jammu & Kashmir,North
1,dm_screened,97.1,95.5,98.1,Proportion,"97.1 (95.5, 98.1)",963,sex,Male,Jammu & Kashmir,North
1,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",963,sex,Male,Jammu & Kashmir,North
2,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",859,sex,Female,Himachal Pradesh,North
2,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",859,sex,Female,Himachal Pradesh,North
2,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",585,sex,Male,Himachal Pradesh,North
2,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",585,sex,Male,Himachal Pradesh,North
3,dm_screened,92.9,91.3,94.1,Proportion,"92.9 (91.3, 94.1)",1985,sex,Female,Punjab,North
3,dm_diagnosed,79.3,76.8,81.6,Proportion,"79.3 (76.8, 81.6)",1985,sex,Female,Punjab,North
3,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1383,sex,Male,Punjab,North
3,dm_diagnosed,77.7,74.7,80.5,Proportion,"77.7 (74.7, 80.5)",1383,sex,Male,Punjab,North
4,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",79,sex,Female,Chandigarh,North
4,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",79,sex,Female,Chandigarh,North
4,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",43,sex,Male,Chandigarh,North
4,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",43,sex,Male,Chandigarh,North
5,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",661,sex,Female,Uttarakhand,Central
5,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",661,sex,Female,Uttarakhand,Central
5,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",650,sex,Male,Uttarakhand,Central
5,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",650,sex,Male,Uttarakhand,Central
6,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1487,sex,Female,Haryana,North
6,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1487,sex,Female,Haryana,North
6,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1286,sex,Male,Haryana,North
6,dm_diagnosed,76.1,73.1,78.9,Proportion,"76.1 (73.1, 78.9)",1286,sex,Male,Haryana,North
7,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",891,sex,Female,Nct Of Delhi,North
7,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",891,sex,Female,Nct Of Delhi,North
7,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",733,sex,Male,Nct Of Delhi,North
7,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",733,sex,Male,Nct Of Delhi,North
8,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1310,sex,Female,Rajasthan,North
8,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1310,sex,Female,Rajasthan,North
8,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1265,sex,Male,Rajasthan,North
8,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1265,sex,Male,Rajasthan,North
9,dm_screened,84.9,83.4,86.3,Proportion,"84.9 (83.4, 86.3)",4434,sex,Female,Uttar Pradesh,Central
9,dm_diagnosed,74.9,72.9,76.8,Proportion,"74.9 (72.9, 76.8)",4434,sex,Female,Uttar Pradesh,Central
9,dm_screened,83.5,81.8,85,Proportion,"83.5 (81.8, 85)",3802,sex,Male,Uttar Pradesh,Central
9,dm_diagnosed,73.7,71.6,75.7,Proportion,"73.7 (71.6, 75.7)",3802,sex,Male,Uttar Pradesh,Central
10,dm_screened,80.6,78.3,82.7,Proportion,"80.6 (78.3, 82.7)",2122,sex,Female,Bihar,East
10,dm_diagnosed,75.2,72.6,77.7,Proportion,"75.2 (72.6, 77.7)",2122,sex,Female,Bihar,East
10,dm_screened,83.1,80.9,85.2,Proportion,"83.1 (80.9, 85.2)",1984,sex,Male,Bihar,East
10,dm_diagnosed,76.3,73.7,78.8,Proportion,"76.3 (73.7, 78.8)",1984,sex,Male,Bihar,East
11,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",185,sex,Female,Sikkim,North East
11,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",185,sex,Female,Sikkim,North East
11,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",171,sex,Male,Sikkim,North East
11,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",171,sex,Male,Sikkim,North East
12,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",776,sex,Female,Arunachal Pradesh,North East
12,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",776,sex,Female,Arunachal Pradesh,North East
12,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",857,sex,Male,Arunachal Pradesh,North East
12,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",857,sex,Male,Arunachal Pradesh,North East
13,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",256,sex,Female,Nagaland,North East
13,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",256,sex,Female,Nagaland,North East
13,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",309,sex,Male,Nagaland,North East
13,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",309,sex,Male,Nagaland,North East
14,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",558,sex,Female,Manipur,North East
14,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",558,sex,Female,Manipur,North East
14,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",511,sex,Male,Manipur,North East
14,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",511,sex,Male,Manipur,North East
15,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",399,sex,Female,Mizoram,North East
15,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",399,sex,Female,Mizoram,North East
15,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",382,sex,Male,Mizoram,North East
15,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",382,sex,Male,Mizoram,North East
16,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",441,sex,Female,Tripura,North East
16,dm_diagnosed,71.1,65.9,75.8,Proportion,"71.1 (65.9, 75.8)",441,sex,Female,Tripura,North East
16,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",425,sex,Male,Tripura,North East
16,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",425,sex,Male,Tripura,North East
17,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",246,sex,Female,Meghalaya,North East
17,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",246,sex,Female,Meghalaya,North East
17,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",179,sex,Male,Meghalaya,North East
17,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",179,sex,Male,Meghalaya,North East
18,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1405,sex,Female,Assam,North East
18,dm_diagnosed,78.7,75.8,81.3,Proportion,"78.7 (75.8, 81.3)",1405,sex,Female,Assam,North East
18,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1596,sex,Male,Assam,North East
18,dm_diagnosed,75.5,72.8,78.1,Proportion,"75.5 (72.8, 78.1)",1596,sex,Male,Assam,North East
19,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1070,sex,Female,West Bengal,East
19,dm_diagnosed,69.1,65.4,72.6,Proportion,"69.1 (65.4, 72.6)",1070,sex,Female,West Bengal,East
19,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1114,sex,Male,West Bengal,East
19,dm_diagnosed,69.3,65.7,72.7,Proportion,"69.3 (65.7, 72.7)",1114,sex,Male,West Bengal,East
20,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1320,sex,Female,Jharkhand,East
20,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1320,sex,Female,Jharkhand,East
20,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1425,sex,Male,Jharkhand,East
20,dm_diagnosed,74.2,70.6,77.6,Proportion,"74.2 (70.6, 77.6)",1425,sex,Male,Jharkhand,East
21,dm_screened,80.1,77.3,82.6,Proportion,"80.1 (77.3, 82.6)",1592,sex,Female,Odisha,East
21,dm_diagnosed,74.2,71.2,77,Proportion,"74.2 (71.2, 77)",1592,sex,Female,Odisha,East
21,dm_screened,78.7,76.2,81,Proportion,"78.7 (76.2, 81)",1675,sex,Male,Odisha,East
21,dm_diagnosed,71.2,68.2,74,Proportion,"71.2 (68.2, 74)",1675,sex,Male,Odisha,East
22,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1066,sex,Female,Chhattisgarh,Central
22,dm_diagnosed,72.6,68.1,76.7,Proportion,"72.6 (68.1, 76.7)",1066,sex,Female,Chhattisgarh,Central
22,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1152,sex,Male,Chhattisgarh,Central
22,dm_diagnosed,75.3,71.8,78.6,Proportion,"75.3 (71.8, 78.6)",1152,sex,Male,Chhattisgarh,Central
23,dm_screened,77.2,74.6,79.7,Proportion,"77.2 (74.6, 79.7)",1567,sex,Female,Madhya Pradesh,Central
23,dm_diagnosed,68.5,65.4,71.4,Proportion,"68.5 (65.4, 71.4)",1567,sex,Female,Madhya Pradesh,Central
23,dm_screened,76.9,74.2,79.3,Proportion,"76.9 (74.2, 79.3)",1624,sex,Male,Madhya Pradesh,Central
23,dm_diagnosed,67.2,64.3,70,Proportion,"67.2 (64.3, 70)",1624,sex,Male,Madhya Pradesh,Central
24,dm_screened,80.8,78.2,83.1,Proportion,"80.8 (78.2, 83.1)",1768,sex,Female,Gujarat,West
24,dm_diagnosed,72.5,69.8,75.1,Proportion,"72.5 (69.8, 75.1)",1768,sex,Female,Gujarat,West
24,dm_screened,77.9,75.1,80.5,Proportion,"77.9 (75.1, 80.5)",1785,sex,Male,Gujarat,West
24,dm_diagnosed,67.4,64.3,70.3,Proportion,"67.4 (64.3, 70.3)",1785,sex,Male,Gujarat,West
25,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",177,sex,Female,Dadra & Nagar Haveli And Daman & Diu,West
25,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",177,sex,Female,Dadra & Nagar Haveli And Daman & Diu,West
25,dm_screened,NA,0,NA,Proportion,"NaN (0, NaN)",160,sex,Male,Dadra & Nagar Haveli And Daman & Diu,West
25,dm_diagnosed,45.5,34.8,56.6,Proportion,"45.5 (34.8, 56.6)",160,sex,Male,Dadra & Nagar Haveli And Daman & Diu,West
27,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1887,sex,Female,Maharashtra,West
27,dm_diagnosed,75.2,71.9,78.2,Proportion,"75.2 (71.9, 78.2)",1887,sex,Female,Maharashtra,West
27,dm_screened,84.5,82.1,86.5,Proportion,"84.5 (82.1, 86.5)",1946,sex,Male,Maharashtra,West
27,dm_diagnosed,75.3,72.5,77.8,Proportion,"75.3 (72.5, 77.8)",1946,sex,Male,Maharashtra,West
28,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1338,sex,Female,Andhra Pradesh,South
28,dm_diagnosed,77.4,74.8,79.7,Proportion,"77.4 (74.8, 79.7)",1338,sex,Female,Andhra Pradesh,South
28,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1231,sex,Male,Andhra Pradesh,South
28,dm_diagnosed,75.8,72.9,78.4,Proportion,"75.8 (72.9, 78.4)",1231,sex,Male,Andhra Pradesh,South
29,dm_screened,90.4,88.6,92,Proportion,"90.4 (88.6, 92)",2343,sex,Female,Karnataka,South
29,dm_diagnosed,77.9,75.4,80.2,Proportion,"77.9 (75.4, 80.2)",2343,sex,Female,Karnataka,South
29,dm_screened,85.2,82.9,87.2,Proportion,"85.2 (82.9, 87.2)",2293,sex,Male,Karnataka,South
29,dm_diagnosed,72,69.1,74.7,Proportion,"72 (69.1, 74.7)",2293,sex,Male,Karnataka,South
30,dm_screened,99.2,96.9,99.8,Proportion,"99.2 (96.9, 99.8)",315,sex,Female,Goa,West
30,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",315,sex,Female,Goa,West
30,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",250,sex,Male,Goa,West
30,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",250,sex,Male,Goa,West
31,dm_screened,100,100,100,Proportion,"100 (100, 100)",168,sex,Female,Lakshadweep,South
31,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",168,sex,Female,Lakshadweep,South
31,dm_screened,100,100,100,Proportion,"100 (100, 100)",120,sex,Male,Lakshadweep,South
31,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",120,sex,Male,Lakshadweep,South
32,dm_screened,98.6,98,99,Proportion,"98.6 (98, 99)",2725,sex,Female,Kerala,South
32,dm_diagnosed,91,89.7,92.2,Proportion,"91 (89.7, 92.2)",2725,sex,Female,Kerala,South
32,dm_screened,97.8,97.1,98.4,Proportion,"97.8 (97.1, 98.4)",2268,sex,Male,Kerala,South
32,dm_diagnosed,89.2,87.7,90.6,Proportion,"89.2 (87.7, 90.6)",2268,sex,Male,Kerala,South
33,dm_screened,96.5,95.8,97.1,Proportion,"96.5 (95.8, 97.1)",4882,sex,Female,Tamil Nadu,South
33,dm_diagnosed,85.4,83.9,86.9,Proportion,"85.4 (83.9, 86.9)",4882,sex,Female,Tamil Nadu,South
33,dm_screened,94.4,93.5,95.3,Proportion,"94.4 (93.5, 95.3)",4067,sex,Male,Tamil Nadu,South
33,dm_diagnosed,82.7,81,84.2,Proportion,"82.7 (81, 84.2)",4067,sex,Male,Tamil Nadu,South
34,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",683,sex,Female,Puducherry,South
34,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",683,sex,Female,Puducherry,South
34,dm_screened,97.4,92.9,99.1,Proportion,"97.4 (92.9, 99.1)",592,sex,Male,Puducherry,South
34,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",592,sex,Male,Puducherry,South
35,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",238,sex,Female,Andaman & Nicobar Islands,South
35,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",238,sex,Female,Andaman & Nicobar Islands,South
35,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",237,sex,Male,Andaman & Nicobar Islands,South
35,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",237,sex,Male,Andaman & Nicobar Islands,South
36,dm_screened,91,89.5,92.4,Proportion,"91 (89.5, 92.4)",2184,sex,Female,Telangana,South
36,dm_diagnosed,78.6,76,81,Proportion,"78.6 (76, 81)",2184,sex,Female,Telangana,South
36,dm_screened,89.5,87.9,91,Proportion,"89.5 (87.9, 91)",2300,sex,Male,Telangana,South
36,dm_diagnosed,77.1,74.7,79.3,Proportion,"77.1 (74.7, 79.3)",2300,sex,Male,Telangana,South
37,dm_screened,100,100,100,Proportion,"100 (100, 100)",192,sex,Female,Ladakh,North
37,dm_diagnosed,100,100,100,Proportion,"100 (100, 100)",192,sex,Female,Ladakh,North
37,dm_screened,100,100,100,Proportion,"100 (100, 100)",200,sex,Male,Ladakh,North
37,dm_diagnosed,99.6,96.9,100,Proportion,"99.6 (96.9, 100)",200,sex,Male,Ladakh,North
1,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",471,age_category,18-39,Jammu & Kashmir,North
1,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",471,age_category,18-39,Jammu & Kashmir,North
1,dm_screened,96.4,94.9,97.5,Proportion,"96.4 (94.9, 97.5)",1295,age_category,40-64,Jammu & Kashmir,North
1,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1295,age_category,40-64,Jammu & Kashmir,North
1,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",483,age_category,65 plus,Jammu & Kashmir,North
1,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",483,age_category,65 plus,Jammu & Kashmir,North
2,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",184,age_category,18-39,Himachal Pradesh,North
2,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",184,age_category,18-39,Himachal Pradesh,North
2,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",827,age_category,40-64,Himachal Pradesh,North
2,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",827,age_category,40-64,Himachal Pradesh,North
2,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",433,age_category,65 plus,Himachal Pradesh,North
2,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",433,age_category,65 plus,Himachal Pradesh,North
3,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",449,age_category,18-39,Punjab,North
3,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",449,age_category,18-39,Punjab,North
3,dm_screened,91.7,90.2,93.1,Proportion,"91.7 (90.2, 93.1)",1955,age_category,40-64,Punjab,North
3,dm_diagnosed,77.3,74.7,79.8,Proportion,"77.3 (74.7, 79.8)",1955,age_category,40-64,Punjab,North
3,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",964,age_category,65 plus,Punjab,North
3,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",964,age_category,65 plus,Punjab,North
4,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",18,age_category,18-39,Chandigarh,North
4,dm_diagnosed,58.8,31,81.9,Proportion,"58.8 (31, 81.9)",18,age_category,18-39,Chandigarh,North
4,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",81,age_category,40-64,Chandigarh,North
4,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",81,age_category,40-64,Chandigarh,North
4,dm_screened,100,100,100,Proportion,"100 (100, 100)",23,age_category,65 plus,Chandigarh,North
4,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",23,age_category,65 plus,Chandigarh,North
5,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",190,age_category,18-39,Uttarakhand,Central
5,dm_diagnosed,NA,0,NA,Proportion,"NaN (0, NaN)",190,age_category,18-39,Uttarakhand,Central
5,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",775,age_category,40-64,Uttarakhand,Central
5,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",775,age_category,40-64,Uttarakhand,Central
