state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
18,dm_unscreened,12.5,11.1,14.1,Proportion,"12.5 (11.1, 14.1)",3001,,NA,Assam,North East
18,dm_undiagnosed,23,21,25.1,Proportion,"23 (21, 25.1)",3001,,NA,Assam,North East
19,dm_unscreened,20.6,18.4,23,Proportion,"20.6 (18.4, 23)",2184,,NA,West Bengal,East
19,dm_undiagnosed,30.8,28.1,33.6,Proportion,"30.8 (28.1, 33.6)",2184,,NA,West Bengal,East
20,dm_unscreened,16.6,14.4,19.1,Proportion,"16.6 (14.4, 19.1)",2745,,NA,Jharkhand,East
20,dm_undiagnosed,24.4,21.5,27.4,Proportion,"24.4 (21.5, 27.4)",2745,,NA,Jharkhand,East
21,dm_unscreened,20.6,18.7,22.7,Proportion,"20.6 (18.7, 22.7)",3267,,NA,Odisha,East
21,dm_undiagnosed,27.3,25,29.7,Proportion,"27.3 (25, 29.7)",3267,,NA,Odisha,East
22,dm_unscreened,16.3,13.9,19,Proportion,"16.3 (13.9, 19)",2218,,NA,Chhattisgarh,Central
22,dm_undiagnosed,26,22.8,29.4,Proportion,"26 (22.8, 29.4)",2218,,NA,Chhattisgarh,Central
23,dm_unscreened,23,21,25,Proportion,"23 (21, 25)",3191,,NA,Madhya Pradesh,Central
23,dm_undiagnosed,32.2,29.9,34.5,Proportion,"32.2 (29.9, 34.5)",3191,,NA,Madhya Pradesh,Central
24,dm_unscreened,20.6,18.7,22.7,Proportion,"20.6 (18.7, 22.7)",3553,,NA,Gujarat,West
24,dm_undiagnosed,30,27.9,32.3,Proportion,"30 (27.9, 32.3)",3553,,NA,Gujarat,West
25,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",337,,NA,Dadra & Nagar Haveli And Daman & Diu,West
25,dm_undiagnosed,45.6,37.1,54.5,Proportion,"45.6 (37.1, 54.5)",337,,NA,Dadra & Nagar Haveli And Daman & Diu,West
27,dm_unscreened,15.4,13.6,17.5,Proportion,"15.4 (13.6, 17.5)",3833,,NA,Maharashtra,West
27,dm_undiagnosed,24.8,22.6,27,Proportion,"24.8 (22.6, 27)",3833,,NA,Maharashtra,West
28,dm_unscreened,9.5,8.2,11.1,Proportion,"9.5 (8.2, 11.1)",2569,,NA,Andhra Pradesh,South
28,dm_undiagnosed,23.4,21.4,25.5,Proportion,"23.4 (21.4, 25.5)",2569,,NA,Andhra Pradesh,South
29,dm_unscreened,12.1,10.7,13.7,Proportion,"12.1 (10.7, 13.7)",4636,,NA,Karnataka,South
29,dm_undiagnosed,25,23,27.1,Proportion,"25 (23, 27.1)",4636,,NA,Karnataka,South
30,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",565,,NA,Goa,West
30,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",565,,NA,Goa,West
31,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",288,,NA,Lakshadweep,South
31,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",288,,NA,Lakshadweep,South
32,dm_unscreened,1.7,1.4,2.2,Proportion,"1.7 (1.4, 2.2)",4993,,NA,Kerala,South
32,dm_undiagnosed,9.8,8.9,10.8,Proportion,"9.8 (8.9, 10.8)",4993,,NA,Kerala,South
33,dm_unscreened,4.4,3.9,5,Proportion,"4.4 (3.9, 5)",8949,,NA,Tamil Nadu,South
33,dm_undiagnosed,15.8,14.6,17.1,Proportion,"15.8 (14.6, 17.1)",8949,,NA,Tamil Nadu,South
34,dm_unscreened,3.3,1.9,5.5,Proportion,"3.3 (1.9, 5.5)",1275,,NA,Puducherry,South
34,dm_undiagnosed,11.8,9,15.2,Proportion,"11.8 (9, 15.2)",1275,,NA,Puducherry,South
35,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",475,,NA,Andaman & Nicobar Islands,South
35,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",475,,NA,Andaman & Nicobar Islands,South
36,dm_unscreened,9.7,8.7,10.9,Proportion,"9.7 (8.7, 10.9)",4484,,NA,Telangana,South
36,dm_undiagnosed,22.2,20.3,24.1,Proportion,"22.2 (20.3, 24.1)",4484,,NA,Telangana,South
37,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",392,,NA,Ladakh,North
37,dm_undiagnosed,0.2,0,1.6,Proportion,"0.2 (0, 1.6)",392,,NA,Ladakh,North
1,dm_unscreened,3.7,2.6,5.3,Proportion,"3.7 (2.6, 5.3)",1286,sex,Female,Jammu & Kashmir,North
1,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",1286,sex,Female,Jammu & Kashmir,North
1,dm_unscreened,2.9,1.9,4.5,Proportion,"2.9 (1.9, 4.5)",963,sex,Male,Jammu & Kashmir,North
1,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",963,sex,Male,Jammu & Kashmir,North
2,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",859,sex,Female,Himachal Pradesh,North
2,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",859,sex,Female,Himachal Pradesh,North
2,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",585,sex,Male,Himachal Pradesh,North
2,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",585,sex,Male,Himachal Pradesh,North
3,dm_unscreened,7.1,5.9,8.7,Proportion,"7.1 (5.9, 8.7)",1985,sex,Female,Punjab,North
3,dm_undiagnosed,20.7,18.4,23.2,Proportion,"20.7 (18.4, 23.2)",1985,sex,Female,Punjab,North
3,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1383,sex,Male,Punjab,North
3,dm_undiagnosed,22.3,19.5,25.3,Proportion,"22.3 (19.5, 25.3)",1383,sex,Male,Punjab,North
4,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",79,sex,Female,Chandigarh,North
4,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",79,sex,Female,Chandigarh,North
4,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",43,sex,Male,Chandigarh,North
4,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",43,sex,Male,Chandigarh,North
5,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",661,sex,Female,Uttarakhand,Central
5,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",661,sex,Female,Uttarakhand,Central
5,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",650,sex,Male,Uttarakhand,Central
5,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",650,sex,Male,Uttarakhand,Central
6,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1487,sex,Female,Haryana,North
6,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",1487,sex,Female,Haryana,North
6,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1286,sex,Male,Haryana,North
6,dm_undiagnosed,23.9,21.1,26.9,Proportion,"23.9 (21.1, 26.9)",1286,sex,Male,Haryana,North
7,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",891,sex,Female,Nct Of Delhi,North
7,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",891,sex,Female,Nct Of Delhi,North
7,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",733,sex,Male,Nct Of Delhi,North
7,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",733,sex,Male,Nct Of Delhi,North
8,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1310,sex,Female,Rajasthan,North
8,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",1310,sex,Female,Rajasthan,North
8,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1265,sex,Male,Rajasthan,North
8,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",1265,sex,Male,Rajasthan,North
9,dm_unscreened,15.1,13.7,16.6,Proportion,"15.1 (13.7, 16.6)",4434,sex,Female,Uttar Pradesh,Central
9,dm_undiagnosed,25.1,23.2,27.1,Proportion,"25.1 (23.2, 27.1)",4434,sex,Female,Uttar Pradesh,Central
9,dm_unscreened,16.5,15,18.2,Proportion,"16.5 (15, 18.2)",3802,sex,Male,Uttar Pradesh,Central
9,dm_undiagnosed,26.3,24.3,28.4,Proportion,"26.3 (24.3, 28.4)",3802,sex,Male,Uttar Pradesh,Central
10,dm_unscreened,19.4,17.3,21.7,Proportion,"19.4 (17.3, 21.7)",2122,sex,Female,Bihar,East
10,dm_undiagnosed,24.8,22.3,27.4,Proportion,"24.8 (22.3, 27.4)",2122,sex,Female,Bihar,East
10,dm_unscreened,16.9,14.8,19.1,Proportion,"16.9 (14.8, 19.1)",1984,sex,Male,Bihar,East
10,dm_undiagnosed,23.7,21.2,26.3,Proportion,"23.7 (21.2, 26.3)",1984,sex,Male,Bihar,East
11,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",185,sex,Female,Sikkim,North East
11,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",185,sex,Female,Sikkim,North East
11,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",171,sex,Male,Sikkim,North East
11,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",171,sex,Male,Sikkim,North East
12,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",776,sex,Female,Arunachal Pradesh,North East
12,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",776,sex,Female,Arunachal Pradesh,North East
12,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",857,sex,Male,Arunachal Pradesh,North East
12,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",857,sex,Male,Arunachal Pradesh,North East
13,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",256,sex,Female,Nagaland,North East
13,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",256,sex,Female,Nagaland,North East
13,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",309,sex,Male,Nagaland,North East
13,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",309,sex,Male,Nagaland,North East
14,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",558,sex,Female,Manipur,North East
14,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",558,sex,Female,Manipur,North East
14,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",511,sex,Male,Manipur,North East
14,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",511,sex,Male,Manipur,North East
15,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",399,sex,Female,Mizoram,North East
15,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",399,sex,Female,Mizoram,North East
15,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",382,sex,Male,Mizoram,North East
15,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",382,sex,Male,Mizoram,North East
16,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",441,sex,Female,Tripura,North East
16,dm_undiagnosed,28.9,24.2,34.1,Proportion,"28.9 (24.2, 34.1)",441,sex,Female,Tripura,North East
16,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",425,sex,Male,Tripura,North East
16,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",425,sex,Male,Tripura,North East
17,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",246,sex,Female,Meghalaya,North East
17,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",246,sex,Female,Meghalaya,North East
17,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",179,sex,Male,Meghalaya,North East
17,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",179,sex,Male,Meghalaya,North East
18,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1405,sex,Female,Assam,North East
18,dm_undiagnosed,21.3,18.7,24.2,Proportion,"21.3 (18.7, 24.2)",1405,sex,Female,Assam,North East
18,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1596,sex,Male,Assam,North East
18,dm_undiagnosed,24.5,21.9,27.2,Proportion,"24.5 (21.9, 27.2)",1596,sex,Male,Assam,North East
19,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1070,sex,Female,West Bengal,East
19,dm_undiagnosed,30.9,27.4,34.6,Proportion,"30.9 (27.4, 34.6)",1070,sex,Female,West Bengal,East
19,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1114,sex,Male,West Bengal,East
19,dm_undiagnosed,30.7,27.3,34.3,Proportion,"30.7 (27.3, 34.3)",1114,sex,Male,West Bengal,East
20,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1320,sex,Female,Jharkhand,East
20,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",1320,sex,Female,Jharkhand,East
20,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1425,sex,Male,Jharkhand,East
20,dm_undiagnosed,25.8,22.4,29.4,Proportion,"25.8 (22.4, 29.4)",1425,sex,Male,Jharkhand,East
21,dm_unscreened,19.9,17.4,22.7,Proportion,"19.9 (17.4, 22.7)",1592,sex,Female,Odisha,East
21,dm_undiagnosed,25.8,23,28.8,Proportion,"25.8 (23, 28.8)",1592,sex,Female,Odisha,East
21,dm_unscreened,21.3,19,23.8,Proportion,"21.3 (19, 23.8)",1675,sex,Male,Odisha,East
21,dm_undiagnosed,28.8,26,31.8,Proportion,"28.8 (26, 31.8)",1675,sex,Male,Odisha,East
22,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1066,sex,Female,Chhattisgarh,Central
22,dm_undiagnosed,27.4,23.3,31.9,Proportion,"27.4 (23.3, 31.9)",1066,sex,Female,Chhattisgarh,Central
22,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1152,sex,Male,Chhattisgarh,Central
22,dm_undiagnosed,24.7,21.4,28.2,Proportion,"24.7 (21.4, 28.2)",1152,sex,Male,Chhattisgarh,Central
23,dm_unscreened,22.8,20.3,25.4,Proportion,"22.8 (20.3, 25.4)",1567,sex,Female,Madhya Pradesh,Central
23,dm_undiagnosed,31.5,28.6,34.6,Proportion,"31.5 (28.6, 34.6)",1567,sex,Female,Madhya Pradesh,Central
23,dm_unscreened,23.1,20.7,25.8,Proportion,"23.1 (20.7, 25.8)",1624,sex,Male,Madhya Pradesh,Central
23,dm_undiagnosed,32.8,30,35.7,Proportion,"32.8 (30, 35.7)",1624,sex,Male,Madhya Pradesh,Central
24,dm_unscreened,19.2,16.9,21.8,Proportion,"19.2 (16.9, 21.8)",1768,sex,Female,Gujarat,West
24,dm_undiagnosed,27.5,24.9,30.2,Proportion,"27.5 (24.9, 30.2)",1768,sex,Female,Gujarat,West
24,dm_unscreened,22.1,19.5,24.9,Proportion,"22.1 (19.5, 24.9)",1785,sex,Male,Gujarat,West
24,dm_undiagnosed,32.6,29.7,35.7,Proportion,"32.6 (29.7, 35.7)",1785,sex,Male,Gujarat,West
25,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",177,sex,Female,Dadra & Nagar Haveli And Daman & Diu,West
25,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",177,sex,Female,Dadra & Nagar Haveli And Daman & Diu,West
25,dm_unscreened,0,0,NA,Proportion,"0 (0, NaN)",160,sex,Male,Dadra & Nagar Haveli And Daman & Diu,West
25,dm_undiagnosed,54.5,43.4,65.2,Proportion,"54.5 (43.4, 65.2)",160,sex,Male,Dadra & Nagar Haveli And Daman & Diu,West
27,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1887,sex,Female,Maharashtra,West
27,dm_undiagnosed,24.8,21.8,28.1,Proportion,"24.8 (21.8, 28.1)",1887,sex,Female,Maharashtra,West
27,dm_unscreened,15.5,13.5,17.9,Proportion,"15.5 (13.5, 17.9)",1946,sex,Male,Maharashtra,West
27,dm_undiagnosed,24.7,22.2,27.5,Proportion,"24.7 (22.2, 27.5)",1946,sex,Male,Maharashtra,West
28,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1338,sex,Female,Andhra Pradesh,South
28,dm_undiagnosed,22.6,20.3,25.2,Proportion,"22.6 (20.3, 25.2)",1338,sex,Female,Andhra Pradesh,South
28,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1231,sex,Male,Andhra Pradesh,South
28,dm_undiagnosed,24.2,21.6,27.1,Proportion,"24.2 (21.6, 27.1)",1231,sex,Male,Andhra Pradesh,South
29,dm_unscreened,9.6,8,11.4,Proportion,"9.6 (8, 11.4)",2343,sex,Female,Karnataka,South
29,dm_undiagnosed,22.1,19.8,24.6,Proportion,"22.1 (19.8, 24.6)",2343,sex,Female,Karnataka,South
29,dm_unscreened,14.8,12.8,17.1,Proportion,"14.8 (12.8, 17.1)",2293,sex,Male,Karnataka,South
29,dm_undiagnosed,28,25.3,30.9,Proportion,"28 (25.3, 30.9)",2293,sex,Male,Karnataka,South
30,dm_unscreened,0.8,0.2,3.1,Proportion,"0.8 (0.2, 3.1)",315,sex,Female,Goa,West
30,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",315,sex,Female,Goa,West
30,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",250,sex,Male,Goa,West
30,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",250,sex,Male,Goa,West
31,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",168,sex,Female,Lakshadweep,South
31,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",168,sex,Female,Lakshadweep,South
31,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",120,sex,Male,Lakshadweep,South
31,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",120,sex,Male,Lakshadweep,South
32,dm_unscreened,1.4,1,2,Proportion,"1.4 (1, 2)",2725,sex,Female,Kerala,South
32,dm_undiagnosed,9,7.8,10.3,Proportion,"9 (7.8, 10.3)",2725,sex,Female,Kerala,South
32,dm_unscreened,2.2,1.6,2.9,Proportion,"2.2 (1.6, 2.9)",2268,sex,Male,Kerala,South
32,dm_undiagnosed,10.8,9.4,12.3,Proportion,"10.8 (9.4, 12.3)",2268,sex,Male,Kerala,South
33,dm_unscreened,3.5,2.9,4.2,Proportion,"3.5 (2.9, 4.2)",4882,sex,Female,Tamil Nadu,South
33,dm_undiagnosed,14.6,13.1,16.1,Proportion,"14.6 (13.1, 16.1)",4882,sex,Female,Tamil Nadu,South
33,dm_unscreened,5.6,4.7,6.5,Proportion,"5.6 (4.7, 6.5)",4067,sex,Male,Tamil Nadu,South
33,dm_undiagnosed,17.3,15.8,19,Proportion,"17.3 (15.8, 19)",4067,sex,Male,Tamil Nadu,South
34,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",683,sex,Female,Puducherry,South
34,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",683,sex,Female,Puducherry,South
34,dm_unscreened,2.6,0.9,7.1,Proportion,"2.6 (0.9, 7.1)",592,sex,Male,Puducherry,South
34,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",592,sex,Male,Puducherry,South
35,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",238,sex,Female,Andaman & Nicobar Islands,South
35,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",238,sex,Female,Andaman & Nicobar Islands,South
35,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",237,sex,Male,Andaman & Nicobar Islands,South
35,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",237,sex,Male,Andaman & Nicobar Islands,South
36,dm_unscreened,9,7.6,10.5,Proportion,"9 (7.6, 10.5)",2184,sex,Female,Telangana,South
36,dm_undiagnosed,21.4,19,24,Proportion,"21.4 (19, 24)",2184,sex,Female,Telangana,South
36,dm_unscreened,10.5,9,12.1,Proportion,"10.5 (9, 12.1)",2300,sex,Male,Telangana,South
36,dm_undiagnosed,22.9,20.7,25.3,Proportion,"22.9 (20.7, 25.3)",2300,sex,Male,Telangana,South
37,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",192,sex,Female,Ladakh,North
37,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",192,sex,Female,Ladakh,North
37,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",200,sex,Male,Ladakh,North
37,dm_undiagnosed,0.4,0,3.1,Proportion,"0.4 (0, 3.1)",200,sex,Male,Ladakh,North
1,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",471,age_category,18-39,Jammu & Kashmir,North
1,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",471,age_category,18-39,Jammu & Kashmir,North
1,dm_unscreened,3.6,2.5,5.1,Proportion,"3.6 (2.5, 5.1)",1295,age_category,40-64,Jammu & Kashmir,North
1,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",1295,age_category,40-64,Jammu & Kashmir,North
1,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",483,age_category,65 plus,Jammu & Kashmir,North
1,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",483,age_category,65 plus,Jammu & Kashmir,North
2,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",184,age_category,18-39,Himachal Pradesh,North
2,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",184,age_category,18-39,Himachal Pradesh,North
2,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",827,age_category,40-64,Himachal Pradesh,North
2,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",827,age_category,40-64,Himachal Pradesh,North
2,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",433,age_category,65 plus,Himachal Pradesh,North
2,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",433,age_category,65 plus,Himachal Pradesh,North
3,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",449,age_category,18-39,Punjab,North
3,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",449,age_category,18-39,Punjab,North
3,dm_unscreened,8.3,6.9,9.8,Proportion,"8.3 (6.9, 9.8)",1955,age_category,40-64,Punjab,North
3,dm_undiagnosed,22.7,20.2,25.3,Proportion,"22.7 (20.2, 25.3)",1955,age_category,40-64,Punjab,North
3,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",964,age_category,65 plus,Punjab,North
3,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",964,age_category,65 plus,Punjab,North
4,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",18,age_category,18-39,Chandigarh,North
4,dm_undiagnosed,41.2,18.1,69,Proportion,"41.2 (18.1, 69)",18,age_category,18-39,Chandigarh,North
4,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",81,age_category,40-64,Chandigarh,North
4,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",81,age_category,40-64,Chandigarh,North
4,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",23,age_category,65 plus,Chandigarh,North
4,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",23,age_category,65 plus,Chandigarh,North
5,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",190,age_category,18-39,Uttarakhand,Central
5,dm_undiagnosed,0,0,NA,Proportion,"0 (0, NaN)",190,age_category,18-39,Uttarakhand,Central
5,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",775,age_category,40-64,Uttarakhand,Central
5,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",775,age_category,40-64,Uttarakhand,Central
5,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",346,age_category,65 plus,Uttarakhand,Central
5,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",346,age_category,65 plus,Uttarakhand,Central
6,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",487,age_category,18-39,Haryana,North
6,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",487,age_category,18-39,Haryana,North
6,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1586,age_category,40-64,Haryana,North
6,dm_undiagnosed,21.8,19.4,24.3,Proportion,"21.8 (19.4, 24.3)",1586,age_category,40-64,Haryana,North
6,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",700,age_category,65 plus,Haryana,North
6,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",700,age_category,65 plus,Haryana,North
7,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",248,age_category,18-39,Nct Of Delhi,North
