REGCODE,REGNAME,n5_state,v024,variable,estimate,lci,uci,strata,est_ci
12,Pulwama,Jammu & Kashmir,1,Unscreened,0.3,-0.3,0.8,Total,"0.3 (-0.3, 0.8)"
12,Pulwama,Jammu & Kashmir,1,Undiagnosed,3.2,0.6,5.9,Total,"3.2 (0.6, 5.9)"
13,Shupiyan,Jammu & Kashmir,1,Unscreened,0,0,0,Total,"0 (0, 0)"
13,Shupiyan,Jammu & Kashmir,1,Undiagnosed,1.4,-0.6,3.5,Total,"1.4 (-0.6, 3.5)"
14,Anantnag,Jammu & Kashmir,1,Unscreened,1,-1,2.9,Total,"1 (-1, 2.9)"
14,Anantnag,Jammu & Kashmir,1,Undiagnosed,4.7,-0.3,9.8,Total,"4.7 (-0.3, 9.8)"
15,Kulgam,Jammu & Kashmir,1,Unscreened,3.6,-1.3,8.5,Total,"3.6 (-1.3, 8.5)"
15,Kulgam,Jammu & Kashmir,1,Undiagnosed,5.3,-0.4,10.9,Total,"5.3 (-0.4, 10.9)"
16,Doda,Jammu & Kashmir,1,Unscreened,7,1,13,Total,"7 (1, 13)"
16,Doda,Jammu & Kashmir,1,Undiagnosed,13,2.4,23.6,Total,"13 (2.4, 23.6)"
17,Ramban,Jammu & Kashmir,1,Unscreened,2.4,-1.5,6.2,Total,"2.4 (-1.5, 6.2)"
17,Ramban,Jammu & Kashmir,1,Undiagnosed,3.9,-1,8.9,Total,"3.9 (-1, 8.9)"
18,Kishtwar,Jammu & Kashmir,1,Unscreened,2.5,-0.6,5.6,Total,"2.5 (-0.6, 5.6)"
18,Kishtwar,Jammu & Kashmir,1,Undiagnosed,3.8,-0.1,7.8,Total,"3.8 (-0.1, 7.8)"
19,Udhampur,Jammu & Kashmir,1,Unscreened,2.9,-0.5,6.3,Total,"2.9 (-0.5, 6.3)"
19,Udhampur,Jammu & Kashmir,1,Undiagnosed,4.4,0.2,8.6,Total,"4.4 (0.2, 8.6)"
20,Reasi,Jammu & Kashmir,1,Unscreened,0,0,0,Total,"0 (0, 0)"
20,Reasi,Jammu & Kashmir,1,Undiagnosed,1.6,-1.5,4.7,Total,"1.6 (-1.5, 4.7)"
21,Jammu,Jammu & Kashmir,1,Unscreened,3.9,0.5,7.2,Total,"3.9 (0.5, 7.2)"
21,Jammu,Jammu & Kashmir,1,Undiagnosed,10.5,3.3,17.8,Total,"10.5 (3.3, 17.8)"
22,Samba,Jammu & Kashmir,1,Unscreened,6.7,1.6,11.9,Total,"6.7 (1.6, 11.9)"
22,Samba,Jammu & Kashmir,1,Undiagnosed,12.9,4.5,21.3,Total,"12.9 (4.5, 21.3)"
23,Chamba,Himachal Pradesh,2,Unscreened,11.4,4.4,18.5,Total,"11.4 (4.4, 18.5)"
23,Chamba,Himachal Pradesh,2,Undiagnosed,22.7,14.6,30.8,Total,"22.7 (14.6, 30.8)"
24,Kangra,Himachal Pradesh,2,Unscreened,10.6,5.7,15.5,Total,"10.6 (5.7, 15.5)"
24,Kangra,Himachal Pradesh,2,Undiagnosed,22.5,16.1,28.9,Total,"22.5 (16.1, 28.9)"
25,Lahul & Spiti,Himachal Pradesh,2,Unscreened,6.7,-6,19.4,Total,"6.7 (-6, 19.4)"
25,Lahul & Spiti,Himachal Pradesh,2,Undiagnosed,8.3,-4.7,21.3,Total,"8.3 (-4.7, 21.3)"
26,Kullu,Himachal Pradesh,2,Unscreened,7.4,1.6,13.2,Total,"7.4 (1.6, 13.2)"
26,Kullu,Himachal Pradesh,2,Undiagnosed,14.4,5.5,23.2,Total,"14.4 (5.5, 23.2)"
27,Mandi,Himachal Pradesh,2,Unscreened,5.2,0.6,9.7,Total,"5.2 (0.6, 9.7)"
27,Mandi,Himachal Pradesh,2,Undiagnosed,16.1,10.3,21.9,Total,"16.1 (10.3, 21.9)"
28,Hamirpur,Himachal Pradesh,2,Unscreened,5.4,1,9.9,Total,"5.4 (1, 9.9)"
28,Hamirpur,Himachal Pradesh,2,Undiagnosed,16.6,10.8,22.4,Total,"16.6 (10.8, 22.4)"
29,Una,Himachal Pradesh,2,Unscreened,11.9,7.5,16.3,Total,"11.9 (7.5, 16.3)"
29,Una,Himachal Pradesh,2,Undiagnosed,21.7,16.7,26.7,Total,"21.7 (16.7, 26.7)"
30,Bilaspur,Himachal Pradesh,2,Unscreened,11,5.1,16.9,Total,"11 (5.1, 16.9)"
30,Bilaspur,Himachal Pradesh,2,Undiagnosed,23.4,17.2,29.7,Total,"23.4 (17.2, 29.7)"
31,Solan,Himachal Pradesh,2,Unscreened,3,-0.3,6.2,Total,"3 (-0.3, 6.2)"
31,Solan,Himachal Pradesh,2,Undiagnosed,14.7,7.6,21.9,Total,"14.7 (7.6, 21.9)"
32,Sirmaur,Himachal Pradesh,2,Unscreened,2,-0.2,4.2,Total,"2 (-0.2, 4.2)"
32,Sirmaur,Himachal Pradesh,2,Undiagnosed,15,6.8,23.2,Total,"15 (6.8, 23.2)"
33,Shimla,Himachal Pradesh,2,Unscreened,2.9,-0.1,5.8,Total,"2.9 (-0.1, 5.8)"
33,Shimla,Himachal Pradesh,2,Undiagnosed,11.4,4.5,18.2,Total,"11.4 (4.5, 18.2)"
34,Kinnaur,Himachal Pradesh,2,Unscreened,4.2,-0.4,8.8,Total,"4.2 (-0.4, 8.8)"
34,Kinnaur,Himachal Pradesh,2,Undiagnosed,12.4,4.6,20.2,Total,"12.4 (4.6, 20.2)"
36,Kapurthala,Punjab,3,Unscreened,3.4,0.5,6.4,Total,"3.4 (0.5, 6.4)"
36,Kapurthala,Punjab,3,Undiagnosed,17.1,11.3,22.9,Total,"17.1 (11.3, 22.9)"
37,Jalandhar,Punjab,3,Unscreened,9,2.8,15.3,Total,"9 (2.8, 15.3)"
37,Jalandhar,Punjab,3,Undiagnosed,27,18.5,35.4,Total,"27 (18.5, 35.4)"
38,Hoshiarpur,Punjab,3,Unscreened,6.6,1.6,11.7,Total,"6.6 (1.6, 11.7)"
38,Hoshiarpur,Punjab,3,Undiagnosed,21.1,11.8,30.4,Total,"21.1 (11.8, 30.4)"
39,Shahid Bhagat Singh Nagar,Punjab,3,Unscreened,4.4,1.1,7.7,Total,"4.4 (1.1, 7.7)"
39,Shahid Bhagat Singh Nagar,Punjab,3,Undiagnosed,26.9,19.4,34.4,Total,"26.9 (19.4, 34.4)"
40,Fatehgarh Sahib,Punjab,3,Unscreened,4.7,1.6,7.9,Total,"4.7 (1.6, 7.9)"
40,Fatehgarh Sahib,Punjab,3,Undiagnosed,17.8,11.7,23.9,Total,"17.8 (11.7, 23.9)"
41,Ludhiana,Punjab,3,Unscreened,2.9,0.1,5.7,Total,"2.9 (0.1, 5.7)"
41,Ludhiana,Punjab,3,Undiagnosed,17.4,9.9,24.9,Total,"17.4 (9.9, 24.9)"
42,Moga,Punjab,3,Unscreened,13,7.1,18.8,Total,"13 (7.1, 18.8)"
42,Moga,Punjab,3,Undiagnosed,23.7,17.4,30.1,Total,"23.7 (17.4, 30.1)"
44,Muktsar,Punjab,3,Unscreened,13.1,7.9,18.3,Total,"13.1 (7.9, 18.3)"
44,Muktsar,Punjab,3,Undiagnosed,23.5,15.8,31.2,Total,"23.5 (15.8, 31.2)"
45,Faridkot,Punjab,3,Unscreened,9.9,4.8,15,Total,"9.9 (4.8, 15)"
45,Faridkot,Punjab,3,Undiagnosed,19.3,13,25.7,Total,"19.3 (13, 25.7)"
46,Bathinda,Punjab,3,Unscreened,12.2,5.6,18.8,Total,"12.2 (5.6, 18.8)"
46,Bathinda,Punjab,3,Undiagnosed,19.2,11.6,26.8,Total,"19.2 (11.6, 26.8)"
47,Mansa,Punjab,3,Unscreened,19.1,9,29.2,Total,"19.1 (9, 29.2)"
47,Mansa,Punjab,3,Undiagnosed,27.6,17.5,37.7,Total,"27.6 (17.5, 37.7)"
48,Patiala,Punjab,3,Unscreened,6,2.4,9.7,Total,"6 (2.4, 9.7)"
48,Patiala,Punjab,3,Undiagnosed,27.1,16.2,38,Total,"27.1 (16.2, 38)"
49,Amritsar,Punjab,3,Unscreened,7.1,1.8,12.4,Total,"7.1 (1.8, 12.4)"
49,Amritsar,Punjab,3,Undiagnosed,17.5,8.2,26.8,Total,"17.5 (8.2, 26.8)"
50,Tarn Taran,Punjab,3,Unscreened,10,3.2,16.9,Total,"10 (3.2, 16.9)"
50,Tarn Taran,Punjab,3,Undiagnosed,33.8,24.4,43.1,Total,"33.8 (24.4, 43.1)"
51,Rupnagar,Punjab,3,Unscreened,4.8,1.4,8.2,Total,"4.8 (1.4, 8.2)"
51,Rupnagar,Punjab,3,Undiagnosed,22.3,16.8,27.7,Total,"22.3 (16.8, 27.7)"
52,Sahibzada Ajit Singh Nagar,Punjab,3,Unscreened,4.5,0.5,8.4,Total,"4.5 (0.5, 8.4)"
52,Sahibzada Ajit Singh Nagar,Punjab,3,Undiagnosed,27.1,18,36.1,Total,"27.1 (18, 36.1)"
53,Sangrur,Punjab,3,Unscreened,12.2,6.3,18.2,Total,"12.2 (6.3, 18.2)"
53,Sangrur,Punjab,3,Undiagnosed,19.5,10.8,28.3,Total,"19.5 (10.8, 28.3)"
54,Barnala,Punjab,3,Unscreened,6.7,2.6,10.9,Total,"6.7 (2.6, 10.9)"
54,Barnala,Punjab,3,Undiagnosed,19,13.1,24.9,Total,"19 (13.1, 24.9)"
55,Chandigarh,Chandigarh,4,Unscreened,7.1,2.8,11.3,Total,"7.1 (2.8, 11.3)"
55,Chandigarh,Chandigarh,4,Undiagnosed,21.1,13,29.3,Total,"21.1 (13, 29.3)"
56,Uttarkashi,Uttarakhand,5,Unscreened,31.8,17.6,45.9,Total,"31.8 (17.6, 45.9)"
56,Uttarkashi,Uttarakhand,5,Undiagnosed,44.8,30.6,59.1,Total,"44.8 (30.6, 59.1)"
57,Chamoli,Uttarakhand,5,Unscreened,12.1,5.4,18.8,Total,"12.1 (5.4, 18.8)"
57,Chamoli,Uttarakhand,5,Undiagnosed,18.1,10.1,26.1,Total,"18.1 (10.1, 26.1)"
58,Rudraprayag,Uttarakhand,5,Unscreened,19.8,8.9,30.6,Total,"19.8 (8.9, 30.6)"
58,Rudraprayag,Uttarakhand,5,Undiagnosed,28.9,17.1,40.7,Total,"28.9 (17.1, 40.7)"
59,Tehri Garhwal,Uttarakhand,5,Unscreened,13.2,5.5,20.9,Total,"13.2 (5.5, 20.9)"
59,Tehri Garhwal,Uttarakhand,5,Undiagnosed,22,11.8,32.2,Total,"22 (11.8, 32.2)"
60,Dehradun,Uttarakhand,5,Unscreened,12,5.6,18.4,Total,"12 (5.6, 18.4)"
60,Dehradun,Uttarakhand,5,Undiagnosed,20.3,12.5,28,Total,"20.3 (12.5, 28)"
61,Garhwal,Uttarakhand,5,Unscreened,7.8,2,13.6,Total,"7.8 (2, 13.6)"
61,Garhwal,Uttarakhand,5,Undiagnosed,12.7,5.4,20,Total,"12.7 (5.4, 20)"
62,Pithoragarh,Uttarakhand,5,Unscreened,12.5,3.7,21.3,Total,"12.5 (3.7, 21.3)"
62,Pithoragarh,Uttarakhand,5,Undiagnosed,26.9,18.2,35.6,Total,"26.9 (18.2, 35.6)"
63,Bageshwar,Uttarakhand,5,Unscreened,23.4,14.4,32.5,Total,"23.4 (14.4, 32.5)"
63,Bageshwar,Uttarakhand,5,Undiagnosed,32.8,19.6,46.1,Total,"32.8 (19.6, 46.1)"
64,Almora,Uttarakhand,5,Unscreened,7.7,1.8,13.6,Total,"7.7 (1.8, 13.6)"
64,Almora,Uttarakhand,5,Undiagnosed,14,7.2,20.8,Total,"14 (7.2, 20.8)"
65,Champawat,Uttarakhand,5,Unscreened,18.5,8.8,28.2,Total,"18.5 (8.8, 28.2)"
65,Champawat,Uttarakhand,5,Undiagnosed,21.2,11.4,30.9,Total,"21.2 (11.4, 30.9)"
66,Nainital,Uttarakhand,5,Unscreened,6.2,2.6,9.9,Total,"6.2 (2.6, 9.9)"
66,Nainital,Uttarakhand,5,Undiagnosed,11.9,6.3,17.5,Total,"11.9 (6.3, 17.5)"
67,Udham Singh Nagar,Uttarakhand,5,Unscreened,15.3,7.3,23.4,Total,"15.3 (7.3, 23.4)"
67,Udham Singh Nagar,Uttarakhand,5,Undiagnosed,30.1,21.7,38.6,Total,"30.1 (21.7, 38.6)"
68,Hardwar,Uttarakhand,5,Unscreened,9.9,5.3,14.5,Total,"9.9 (5.3, 14.5)"
68,Hardwar,Uttarakhand,5,Undiagnosed,15.7,9.3,22.1,Total,"15.7 (9.3, 22.1)"
69,Panchkula,Haryana,6,Unscreened,3.7,0,7.3,Total,"3.7 (0, 7.3)"
69,Panchkula,Haryana,6,Undiagnosed,24.8,15.3,34.3,Total,"24.8 (15.3, 34.3)"
70,Ambala,Haryana,6,Unscreened,7.5,3.3,11.8,Total,"7.5 (3.3, 11.8)"
70,Ambala,Haryana,6,Undiagnosed,15.1,8.6,21.7,Total,"15.1 (8.6, 21.7)"
71,Yamunanagar,Haryana,6,Unscreened,10.2,5,15.3,Total,"10.2 (5, 15.3)"
71,Yamunanagar,Haryana,6,Undiagnosed,19.9,14.3,25.5,Total,"19.9 (14.3, 25.5)"
72,Kurukshetra,Haryana,6,Unscreened,5.4,2,8.8,Total,"5.4 (2, 8.8)"
72,Kurukshetra,Haryana,6,Undiagnosed,12.2,6.3,18.2,Total,"12.2 (6.3, 18.2)"
73,Kaithal,Haryana,6,Unscreened,6.7,0.5,12.9,Total,"6.7 (0.5, 12.9)"
73,Kaithal,Haryana,6,Undiagnosed,21.6,10.9,32.3,Total,"21.6 (10.9, 32.3)"
74,Karnal,Haryana,6,Unscreened,7.4,3.5,11.4,Total,"7.4 (3.5, 11.4)"
74,Karnal,Haryana,6,Undiagnosed,19.6,13,26.1,Total,"19.6 (13, 26.1)"
75,Panipat,Haryana,6,Unscreened,7.2,3.1,11.2,Total,"7.2 (3.1, 11.2)"
75,Panipat,Haryana,6,Undiagnosed,14.8,7.8,21.8,Total,"14.8 (7.8, 21.8)"
76,Sonipat,Haryana,6,Unscreened,11.9,4.8,19,Total,"11.9 (4.8, 19)"
76,Sonipat,Haryana,6,Undiagnosed,24.1,14.2,34.1,Total,"24.1 (14.2, 34.1)"
77,Jind,Haryana,6,Unscreened,17.3,9.8,24.7,Total,"17.3 (9.8, 24.7)"
77,Jind,Haryana,6,Undiagnosed,36.1,26.3,45.8,Total,"36.1 (26.3, 45.8)"
78,Fatehabad,Haryana,6,Unscreened,16.9,9.1,24.6,Total,"16.9 (9.1, 24.6)"
78,Fatehabad,Haryana,6,Undiagnosed,35.7,26.6,44.8,Total,"35.7 (26.6, 44.8)"
79,Sirsa,Haryana,6,Unscreened,13.8,5.3,22.2,Total,"13.8 (5.3, 22.2)"
79,Sirsa,Haryana,6,Undiagnosed,18.4,8.6,28.3,Total,"18.4 (8.6, 28.3)"
80,Hisar,Haryana,6,Unscreened,9.6,4.1,15.1,Total,"9.6 (4.1, 15.1)"
80,Hisar,Haryana,6,Undiagnosed,17.9,9.4,26.5,Total,"17.9 (9.4, 26.5)"
82,Rohtak,Haryana,6,Unscreened,4.3,0.4,8.1,Total,"4.3 (0.4, 8.1)"
82,Rohtak,Haryana,6,Undiagnosed,10.6,4.7,16.4,Total,"10.6 (4.7, 16.4)"
83,Jhajjar,Haryana,6,Unscreened,16.7,9.2,24.2,Total,"16.7 (9.2, 24.2)"
83,Jhajjar,Haryana,6,Undiagnosed,29.6,22.7,36.5,Total,"29.6 (22.7, 36.5)"
84,Mahendragarh,Haryana,6,Unscreened,20.2,11.1,29.3,Total,"20.2 (11.1, 29.3)"
84,Mahendragarh,Haryana,6,Undiagnosed,42.5,31,53.9,Total,"42.5 (31, 53.9)"
85,Rewari,Haryana,6,Unscreened,19.2,4.9,33.4,Total,"19.2 (4.9, 33.4)"
85,Rewari,Haryana,6,Undiagnosed,26.9,12.4,41.5,Total,"26.9 (12.4, 41.5)"
86,Gurgaon,Haryana,6,Unscreened,4.4,-1.4,10.2,Total,"4.4 (-1.4, 10.2)"
86,Gurgaon,Haryana,6,Undiagnosed,8.1,0.9,15.2,Total,"8.1 (0.9, 15.2)"
87,Mewat,Haryana,6,Unscreened,31.3,10.7,51.9,Total,"31.3 (10.7, 51.9)"
87,Mewat,Haryana,6,Undiagnosed,45.5,27.5,63.5,Total,"45.5 (27.5, 63.5)"
88,Faridabad,Haryana,6,Unscreened,6.2,1.6,10.8,Total,"6.2 (1.6, 10.8)"
88,Faridabad,Haryana,6,Undiagnosed,15.7,7.9,23.4,Total,"15.7 (7.9, 23.4)"
89,Palwal,Haryana,6,Unscreened,18.7,9.3,28,Total,"18.7 (9.3, 28)"
89,Palwal,Haryana,6,Undiagnosed,29.3,20.4,38.3,Total,"29.3 (20.4, 38.3)"
99,Ganganagar,Rajasthan,8,Unscreened,15.7,7.4,24,Total,"15.7 (7.4, 24)"
99,Ganganagar,Rajasthan,8,Undiagnosed,19.8,10.7,29,Total,"19.8 (10.7, 29)"
100,Hanumangarh,Rajasthan,8,Unscreened,7.4,2,12.7,Total,"7.4 (2, 12.7)"
100,Hanumangarh,Rajasthan,8,Undiagnosed,11.1,4.8,17.5,Total,"11.1 (4.8, 17.5)"
101,Bikaner,Rajasthan,8,Unscreened,9.1,1.6,16.5,Total,"9.1 (1.6, 16.5)"
101,Bikaner,Rajasthan,8,Undiagnosed,13.5,4.9,22.1,Total,"13.5 (4.9, 22.1)"
102,Churu,Rajasthan,8,Unscreened,12.2,3.6,20.7,Total,"12.2 (3.6, 20.7)"
102,Churu,Rajasthan,8,Undiagnosed,16.5,8,25,Total,"16.5 (8, 25)"
103,Jhunjhunun,Rajasthan,8,Unscreened,8,3,13,Total,"8 (3, 13)"
103,Jhunjhunun,Rajasthan,8,Undiagnosed,9.8,3.9,15.6,Total,"9.8 (3.9, 15.6)"
104,Alwar,Rajasthan,8,Unscreened,24.5,12.8,36.2,Total,"24.5 (12.8, 36.2)"
104,Alwar,Rajasthan,8,Undiagnosed,31.6,18.2,45,Total,"31.6 (18.2, 45)"
105,Bharatpur,Rajasthan,8,Unscreened,30.4,22.2,38.6,Total,"30.4 (22.2, 38.6)"
105,Bharatpur,Rajasthan,8,Undiagnosed,34.9,25.4,44.3,Total,"34.9 (25.4, 44.3)"
106,Dhaulpur,Rajasthan,8,Unscreened,23.5,6.6,40.5,Total,"23.5 (6.6, 40.5)"
106,Dhaulpur,Rajasthan,8,Undiagnosed,36.6,21,52.1,Total,"36.6 (21, 52.1)"
107,Karauli,Rajasthan,8,Unscreened,25.4,8.7,42,Total,"25.4 (8.7, 42)"
107,Karauli,Rajasthan,8,Undiagnosed,38.3,22.4,54.2,Total,"38.3 (22.4, 54.2)"
108,Sawai Madhopur,Rajasthan,8,Unscreened,13.3,3,23.7,Total,"13.3 (3, 23.7)"
108,Sawai Madhopur,Rajasthan,8,Undiagnosed,22.3,9,35.6,Total,"22.3 (9, 35.6)"
109,Dausa,Rajasthan,8,Unscreened,34.7,20.2,49.3,Total,"34.7 (20.2, 49.3)"
109,Dausa,Rajasthan,8,Undiagnosed,36.8,23.8,49.8,Total,"36.8 (23.8, 49.8)"
110,Jaipur,Rajasthan,8,Unscreened,17.7,7.7,27.6,Total,"17.7 (7.7, 27.6)"
110,Jaipur,Rajasthan,8,Undiagnosed,23.8,13.1,34.6,Total,"23.8 (13.1, 34.6)"
111,Sikar,Rajasthan,8,Unscreened,9.5,3.8,15.3,Total,"9.5 (3.8, 15.3)"
111,Sikar,Rajasthan,8,Undiagnosed,12.6,6,19.2,Total,"12.6 (6, 19.2)"
112,Nagaur,Rajasthan,8,Unscreened,18.6,7.6,29.7,Total,"18.6 (7.6, 29.7)"
112,Nagaur,Rajasthan,8,Undiagnosed,26.5,15.6,37.5,Total,"26.5 (15.6, 37.5)"
113,Jodhpur,Rajasthan,8,Unscreened,5.3,0,10.6,Total,"5.3 (0, 10.6)"
113,Jodhpur,Rajasthan,8,Undiagnosed,7.4,0,14.9,Total,"7.4 (0, 14.9)"
114,Jaisalmer,Rajasthan,8,Unscreened,1.6,-1.6,4.9,Total,"1.6 (-1.6, 4.9)"
114,Jaisalmer,Rajasthan,8,Undiagnosed,7.8,0.6,15,Total,"7.8 (0.6, 15)"
115,Barmer,Rajasthan,8,Unscreened,12.3,-4.1,28.7,Total,"12.3 (-4.1, 28.7)"
115,Barmer,Rajasthan,8,Undiagnosed,21.7,4,39.3,Total,"21.7 (4, 39.3)"
116,Jalor,Rajasthan,8,Unscreened,10.2,3.9,16.6,Total,"10.2 (3.9, 16.6)"
116,Jalor,Rajasthan,8,Undiagnosed,17.9,5.7,30.1,Total,"17.9 (5.7, 30.1)"
117,Sirohi,Rajasthan,8,Unscreened,5.1,0.2,10,Total,"5.1 (0.2, 10)"
117,Sirohi,Rajasthan,8,Undiagnosed,10.1,3.5,16.8,Total,"10.1 (3.5, 16.8)"
118,Pali,Rajasthan,8,Unscreened,6.6,0.7,12.6,Total,"6.6 (0.7, 12.6)"
118,Pali,Rajasthan,8,Undiagnosed,12.3,2.4,22.2,Total,"12.3 (2.4, 22.2)"
119,Ajmer,Rajasthan,8,Unscreened,15,8.1,21.9,Total,"15 (8.1, 21.9)"
119,Ajmer,Rajasthan,8,Undiagnosed,22.1,13.3,30.9,Total,"22.1 (13.3, 30.9)"
120,Tonk,Rajasthan,8,Unscreened,19.5,7.9,31.1,Total,"19.5 (7.9, 31.1)"
120,Tonk,Rajasthan,8,Undiagnosed,33,18.6,47.3,Total,"33 (18.6, 47.3)"
121,Bundi,Rajasthan,8,Unscreened,26.6,14.4,38.8,Total,"26.6 (14.4, 38.8)"
121,Bundi,Rajasthan,8,Undiagnosed,33.4,19.6,47.2,Total,"33.4 (19.6, 47.2)"
122,Bhilwara,Rajasthan,8,Unscreened,28.4,10.6,46.2,Total,"28.4 (10.6, 46.2)"
122,Bhilwara,Rajasthan,8,Undiagnosed,41,17,65,Total,"41 (17, 65)"
123,Rajsamand,Rajasthan,8,Unscreened,12.6,3.1,22.1,Total,"12.6 (3.1, 22.1)"
123,Rajsamand,Rajasthan,8,Undiagnosed,17.7,7.4,28,Total,"17.7 (7.4, 28)"
124,Dungarpur,Rajasthan,8,Unscreened,4.9,-0.7,10.5,Total,"4.9 (-0.7, 10.5)"
124,Dungarpur,Rajasthan,8,Undiagnosed,11.2,1.8,20.7,Total,"11.2 (1.8, 20.7)"
125,Banswara,Rajasthan,8,Unscreened,30.4,13.9,46.9,Total,"30.4 (13.9, 46.9)"
125,Banswara,Rajasthan,8,Undiagnosed,42.9,26,59.8,Total,"42.9 (26, 59.8)"
126,Chittaurgarh,Rajasthan,8,Unscreened,28.4,11.1,45.7,Total,"28.4 (11.1, 45.7)"
126,Chittaurgarh,Rajasthan,8,Undiagnosed,41.1,24.5,57.7,Total,"41.1 (24.5, 57.7)"
127,Kota,Rajasthan,8,Unscreened,14.7,4.3,25.1,Total,"14.7 (4.3, 25.1)"
127,Kota,Rajasthan,8,Undiagnosed,16.2,5.4,26.9,Total,"16.2 (5.4, 26.9)"
128,Baran,Rajasthan,8,Unscreened,25.5,14.1,36.9,Total,"25.5 (14.1, 36.9)"
128,Baran,Rajasthan,8,Undiagnosed,30,17.8,42.3,Total,"30 (17.8, 42.3)"
129,Jhalawar,Rajasthan,8,Unscreened,32.9,18,47.9,Total,"32.9 (18, 47.9)"
129,Jhalawar,Rajasthan,8,Undiagnosed,50.1,31.5,68.6,Total,"50.1 (31.5, 68.6)"
130,Udaipur,Rajasthan,8,Unscreened,4.4,0.3,8.6,Total,"4.4 (0.3, 8.6)"
130,Udaipur,Rajasthan,8,Undiagnosed,8.4,1.7,15,Total,"8.4 (1.7, 15)"
131,Pratapgarh,Rajasthan,8,Unscreened,38.2,23.2,53.2,Total,"38.2 (23.2, 53.2)"
131,Pratapgarh,Rajasthan,8,Undiagnosed,43.7,29,58.4,Total,"43.7 (29, 58.4)"
132,Saharanpur,Uttar Pradesh,9,Unscreened,28.8,16.3,41.2,Total,"28.8 (16.3, 41.2)"
132,Saharanpur,Uttar Pradesh,9,Undiagnosed,37.2,24.4,50,Total,"37.2 (24.4, 50)"
134,Bijnor,Uttar Pradesh,9,Unscreened,13.9,7.8,19.9,Total,"13.9 (7.8, 19.9)"
134,Bijnor,Uttar Pradesh,9,Undiagnosed,29.6,22,37.2,Total,"29.6 (22, 37.2)"
136,Rampur,Uttar Pradesh,9,Unscreened,33.8,21.7,46,Total,"33.8 (21.7, 46)"
136,Rampur,Uttar Pradesh,9,Undiagnosed,44.1,32.5,55.6,Total,"44.1 (32.5, 55.6)"
137,Jyotiba Phule Nagar,Uttar Pradesh,9,Unscreened,11.8,4,19.5,Total,"11.8 (4, 19.5)"
137,Jyotiba Phule Nagar,Uttar Pradesh,9,Undiagnosed,20.3,10.2,30.3,Total,"20.3 (10.2, 30.3)"
138,Meerut,Uttar Pradesh,9,Unscreened,12.3,6.8,17.9,Total,"12.3 (6.8, 17.9)"
138,Meerut,Uttar Pradesh,9,Undiagnosed,24.4,15.9,32.9,Total,"24.4 (15.9, 32.9)"
139,Baghpat,Uttar Pradesh,9,Unscreened,17.1,10.2,24,Total,"17.1 (10.2, 24)"
139,Baghpat,Uttar Pradesh,9,Undiagnosed,31.7,22.7,40.7,Total,"31.7 (22.7, 40.7)"
