REGCODE,REGNAME,n5_state,v024,variable,estimate,lci,uci,strata,est_ci
34,Kinnaur,Himachal Pradesh,2,Diabetes,2.9,2.1,3.6,Total,"2.9 (2.1, 3.6)"
36,Kapurthala,Punjab,3,Screened,58.3,52.4,64.3,Total,"58.3 (52.4, 64.3)"
36,Kapurthala,Punjab,3,Diabetes,6.8,5.6,7.9,Total,"6.8 (5.6, 7.9)"
37,Jalandhar,Punjab,3,Screened,56.7,49.4,64,Total,"56.7 (49.4, 64)"
37,Jalandhar,Punjab,3,Diabetes,7.3,6,8.7,Total,"7.3 (6, 8.7)"
38,Hoshiarpur,Punjab,3,Screened,59.2,52,66.5,Total,"59.2 (52, 66.5)"
38,Hoshiarpur,Punjab,3,Diabetes,4.5,3.4,5.5,Total,"4.5 (3.4, 5.5)"
39,Shahid Bhagat Singh Nagar,Punjab,3,Screened,61,53.8,68.1,Total,"61 (53.8, 68.1)"
39,Shahid Bhagat Singh Nagar,Punjab,3,Diabetes,5.2,3.9,6.4,Total,"5.2 (3.9, 6.4)"
40,Fatehgarh Sahib,Punjab,3,Screened,62,55.5,68.6,Total,"62 (55.5, 68.6)"
40,Fatehgarh Sahib,Punjab,3,Diabetes,8.1,6.7,9.4,Total,"8.1 (6.7, 9.4)"
41,Ludhiana,Punjab,3,Screened,69.2,62.5,76,Total,"69.2 (62.5, 76)"
41,Ludhiana,Punjab,3,Diabetes,7.6,5.9,9.3,Total,"7.6 (5.9, 9.3)"
42,Moga,Punjab,3,Screened,47,39.4,54.5,Total,"47 (39.4, 54.5)"
42,Moga,Punjab,3,Diabetes,5.9,4.9,6.8,Total,"5.9 (4.9, 6.8)"
44,Muktsar,Punjab,3,Screened,38.6,31.8,45.5,Total,"38.6 (31.8, 45.5)"
44,Muktsar,Punjab,3,Diabetes,5.5,4.4,6.6,Total,"5.5 (4.4, 6.6)"
45,Faridkot,Punjab,3,Screened,36.8,32.1,41.5,Total,"36.8 (32.1, 41.5)"
45,Faridkot,Punjab,3,Diabetes,8.4,6.3,10.5,Total,"8.4 (6.3, 10.5)"
46,Bathinda,Punjab,3,Screened,37.5,32.1,42.9,Total,"37.5 (32.1, 42.9)"
46,Bathinda,Punjab,3,Diabetes,7.6,6.2,9,Total,"7.6 (6.2, 9)"
47,Mansa,Punjab,3,Screened,24.5,20.1,29,Total,"24.5 (20.1, 29)"
47,Mansa,Punjab,3,Diabetes,4.8,3.5,6,Total,"4.8 (3.5, 6)"
48,Patiala,Punjab,3,Screened,67.5,61.6,73.5,Total,"67.5 (61.6, 73.5)"
48,Patiala,Punjab,3,Diabetes,8.2,6.5,9.8,Total,"8.2 (6.5, 9.8)"
49,Amritsar,Punjab,3,Screened,57.6,51.4,63.8,Total,"57.6 (51.4, 63.8)"
49,Amritsar,Punjab,3,Diabetes,6.6,4.9,8.3,Total,"6.6 (4.9, 8.3)"
50,Tarn Taran,Punjab,3,Screened,63.7,56.5,71,Total,"63.7 (56.5, 71)"
50,Tarn Taran,Punjab,3,Diabetes,4.6,3.8,5.5,Total,"4.6 (3.8, 5.5)"
51,Rupnagar,Punjab,3,Screened,68.5,62.6,74.3,Total,"68.5 (62.6, 74.3)"
51,Rupnagar,Punjab,3,Diabetes,8.3,7.1,9.6,Total,"8.3 (7.1, 9.6)"
52,Sahibzada Ajit Singh Nagar,Punjab,3,Screened,62.5,54.8,70.3,Total,"62.5 (54.8, 70.3)"
52,Sahibzada Ajit Singh Nagar,Punjab,3,Diabetes,8.3,7.1,9.4,Total,"8.3 (7.1, 9.4)"
53,Sangrur,Punjab,3,Screened,31.1,27,35.1,Total,"31.1 (27, 35.1)"
53,Sangrur,Punjab,3,Diabetes,6.1,4.6,7.6,Total,"6.1 (4.6, 7.6)"
54,Barnala,Punjab,3,Screened,48.3,39.5,57,Total,"48.3 (39.5, 57)"
54,Barnala,Punjab,3,Diabetes,6.7,5.2,8.2,Total,"6.7 (5.2, 8.2)"
55,Chandigarh,Chandigarh,4,Screened,63.8,56.2,71.3,Total,"63.8 (56.2, 71.3)"
55,Chandigarh,Chandigarh,4,Diabetes,9.7,7.8,11.6,Total,"9.7 (7.8, 11.6)"
56,Uttarkashi,Uttarakhand,5,Screened,29.9,21.7,38.2,Total,"29.9 (21.7, 38.2)"
56,Uttarkashi,Uttarakhand,5,Diabetes,2.7,1.9,3.5,Total,"2.7 (1.9, 3.5)"
57,Chamoli,Uttarakhand,5,Screened,30.5,24.2,36.7,Total,"30.5 (24.2, 36.7)"
57,Chamoli,Uttarakhand,5,Diabetes,3,2.1,3.9,Total,"3 (2.1, 3.9)"
58,Rudraprayag,Uttarakhand,5,Screened,23.2,18.7,27.8,Total,"23.2 (18.7, 27.8)"
58,Rudraprayag,Uttarakhand,5,Diabetes,3.3,2.4,4.2,Total,"3.3 (2.4, 4.2)"
59,Tehri Garhwal,Uttarakhand,5,Screened,21.3,17.4,25.1,Total,"21.3 (17.4, 25.1)"
59,Tehri Garhwal,Uttarakhand,5,Diabetes,3.6,2.7,4.6,Total,"3.6 (2.7, 4.6)"
60,Dehradun,Uttarakhand,5,Screened,59.6,52.2,67.1,Total,"59.6 (52.2, 67.1)"
60,Dehradun,Uttarakhand,5,Diabetes,8.5,6.9,10.2,Total,"8.5 (6.9, 10.2)"
61,Garhwal,Uttarakhand,5,Screened,30,24.1,35.9,Total,"30 (24.1, 35.9)"
61,Garhwal,Uttarakhand,5,Diabetes,4.9,3.3,6.5,Total,"4.9 (3.3, 6.5)"
62,Pithoragarh,Uttarakhand,5,Screened,26.7,21,32.4,Total,"26.7 (21, 32.4)"
62,Pithoragarh,Uttarakhand,5,Diabetes,2.8,1.9,3.6,Total,"2.8 (1.9, 3.6)"
63,Bageshwar,Uttarakhand,5,Screened,27.7,22.2,33.1,Total,"27.7 (22.2, 33.1)"
63,Bageshwar,Uttarakhand,5,Diabetes,3,2.3,3.8,Total,"3 (2.3, 3.8)"
64,Almora,Uttarakhand,5,Screened,44.5,39.5,49.4,Total,"44.5 (39.5, 49.4)"
64,Almora,Uttarakhand,5,Diabetes,3.6,2.5,4.6,Total,"3.6 (2.5, 4.6)"
65,Champawat,Uttarakhand,5,Screened,26.5,20.3,32.7,Total,"26.5 (20.3, 32.7)"
65,Champawat,Uttarakhand,5,Diabetes,4.4,3,5.8,Total,"4.4 (3, 5.8)"
66,Nainital,Uttarakhand,5,Screened,54.1,48.6,59.7,Total,"54.1 (48.6, 59.7)"
66,Nainital,Uttarakhand,5,Diabetes,7.3,5.8,8.8,Total,"7.3 (5.8, 8.8)"
67,Udham Singh Nagar,Uttarakhand,5,Screened,36.3,30.8,41.9,Total,"36.3 (30.8, 41.9)"
67,Udham Singh Nagar,Uttarakhand,5,Diabetes,8,6.4,9.6,Total,"8 (6.4, 9.6)"
68,Hardwar,Uttarakhand,5,Screened,35.6,29.6,41.7,Total,"35.6 (29.6, 41.7)"
68,Hardwar,Uttarakhand,5,Diabetes,7.4,5.9,8.9,Total,"7.4 (5.9, 8.9)"
69,Panchkula,Haryana,6,Screened,64.7,56.5,72.8,Total,"64.7 (56.5, 72.8)"
69,Panchkula,Haryana,6,Diabetes,6.9,5.6,8.2,Total,"6.9 (5.6, 8.2)"
70,Ambala,Haryana,6,Screened,41.6,36.6,46.6,Total,"41.6 (36.6, 46.6)"
70,Ambala,Haryana,6,Diabetes,6.1,4.7,7.6,Total,"6.1 (4.7, 7.6)"
71,Yamunanagar,Haryana,6,Screened,41.8,35.8,47.8,Total,"41.8 (35.8, 47.8)"
71,Yamunanagar,Haryana,6,Diabetes,7.8,6.5,9.2,Total,"7.8 (6.5, 9.2)"
72,Kurukshetra,Haryana,6,Screened,46.2,41.1,51.2,Total,"46.2 (41.1, 51.2)"
72,Kurukshetra,Haryana,6,Diabetes,8.7,7.2,10.2,Total,"8.7 (7.2, 10.2)"
73,Kaithal,Haryana,6,Screened,62.4,56,68.8,Total,"62.4 (56, 68.8)"
73,Kaithal,Haryana,6,Diabetes,5.4,4,6.7,Total,"5.4 (4, 6.7)"
74,Karnal,Haryana,6,Screened,57.4,52.6,62.2,Total,"57.4 (52.6, 62.2)"
74,Karnal,Haryana,6,Diabetes,5.4,4.3,6.5,Total,"5.4 (4.3, 6.5)"
75,Panipat,Haryana,6,Screened,43.5,39,48.1,Total,"43.5 (39, 48.1)"
75,Panipat,Haryana,6,Diabetes,8.5,5.7,11.3,Total,"8.5 (5.7, 11.3)"
76,Sonipat,Haryana,6,Screened,48.5,43.6,53.4,Total,"48.5 (43.6, 53.4)"
76,Sonipat,Haryana,6,Diabetes,5.5,4.1,7,Total,"5.5 (4.1, 7)"
77,Jind,Haryana,6,Screened,42.9,38.4,47.4,Total,"42.9 (38.4, 47.4)"
77,Jind,Haryana,6,Diabetes,4.6,3.7,5.5,Total,"4.6 (3.7, 5.5)"
78,Fatehabad,Haryana,6,Screened,39.6,34.7,44.5,Total,"39.6 (34.7, 44.5)"
78,Fatehabad,Haryana,6,Diabetes,6,4.7,7.4,Total,"6 (4.7, 7.4)"
79,Sirsa,Haryana,6,Screened,26.2,18.5,33.8,Total,"26.2 (18.5, 33.8)"
79,Sirsa,Haryana,6,Diabetes,11.5,7.9,15.1,Total,"11.5 (7.9, 15.1)"
80,Hisar,Haryana,6,Screened,46.2,40.3,52.1,Total,"46.2 (40.3, 52.1)"
80,Hisar,Haryana,6,Diabetes,10,7.2,12.8,Total,"10 (7.2, 12.8)"
82,Rohtak,Haryana,6,Screened,56.7,50.1,63.3,Total,"56.7 (50.1, 63.3)"
82,Rohtak,Haryana,6,Diabetes,11.6,7,16.1,Total,"11.6 (7, 16.1)"
83,Jhajjar,Haryana,6,Screened,52.8,47.3,58.3,Total,"52.8 (47.3, 58.3)"
83,Jhajjar,Haryana,6,Diabetes,4.7,3.9,5.6,Total,"4.7 (3.9, 5.6)"
84,Mahendragarh,Haryana,6,Screened,35.2,30.1,40.2,Total,"35.2 (30.1, 40.2)"
84,Mahendragarh,Haryana,6,Diabetes,3.5,2.6,4.4,Total,"3.5 (2.6, 4.4)"
85,Rewari,Haryana,6,Screened,35,29.9,40.2,Total,"35 (29.9, 40.2)"
85,Rewari,Haryana,6,Diabetes,3,2.2,3.9,Total,"3 (2.2, 3.9)"
86,Gurgaon,Haryana,6,Screened,49.1,39.9,58.3,Total,"49.1 (39.9, 58.3)"
86,Gurgaon,Haryana,6,Diabetes,3.4,2.4,4.4,Total,"3.4 (2.4, 4.4)"
87,Mewat,Haryana,6,Screened,28.2,22.2,34.2,Total,"28.2 (22.2, 34.2)"
87,Mewat,Haryana,6,Diabetes,2,1.2,2.8,Total,"2 (1.2, 2.8)"
88,Faridabad,Haryana,6,Screened,49.7,43.4,56,Total,"49.7 (43.4, 56)"
88,Faridabad,Haryana,6,Diabetes,5.5,4.2,6.8,Total,"5.5 (4.2, 6.8)"
89,Palwal,Haryana,6,Screened,34.3,28.4,40.3,Total,"34.3 (28.4, 40.3)"
89,Palwal,Haryana,6,Diabetes,4.1,3.2,5,Total,"4.1 (3.2, 5)"
99,Ganganagar,Rajasthan,8,Screened,20.5,14.7,26.2,Total,"20.5 (14.7, 26.2)"
99,Ganganagar,Rajasthan,8,Diabetes,6.5,4.3,8.8,Total,"6.5 (4.3, 8.8)"
100,Hanumangarh,Rajasthan,8,Screened,21.7,15.7,27.6,Total,"21.7 (15.7, 27.6)"
100,Hanumangarh,Rajasthan,8,Diabetes,5.8,3.8,7.7,Total,"5.8 (3.8, 7.7)"
101,Bikaner,Rajasthan,8,Screened,21.9,15.6,28.3,Total,"21.9 (15.6, 28.3)"
101,Bikaner,Rajasthan,8,Diabetes,4.1,2.2,6,Total,"4.1 (2.2, 6)"
102,Churu,Rajasthan,8,Screened,17.4,12.6,22.3,Total,"17.4 (12.6, 22.3)"
102,Churu,Rajasthan,8,Diabetes,4.6,3,6.2,Total,"4.6 (3, 6.2)"
103,Jhunjhunun,Rajasthan,8,Screened,15.1,11.9,18.4,Total,"15.1 (11.9, 18.4)"
103,Jhunjhunun,Rajasthan,8,Diabetes,5.4,3.7,7,Total,"5.4 (3.7, 7)"
104,Alwar,Rajasthan,8,Screened,16.8,13.3,20.4,Total,"16.8 (13.3, 20.4)"
104,Alwar,Rajasthan,8,Diabetes,2.4,1.6,3.1,Total,"2.4 (1.6, 3.1)"
105,Bharatpur,Rajasthan,8,Screened,12.6,9.7,15.6,Total,"12.6 (9.7, 15.6)"
105,Bharatpur,Rajasthan,8,Diabetes,2.8,1.9,3.6,Total,"2.8 (1.9, 3.6)"
106,Dhaulpur,Rajasthan,8,Screened,10,5.7,14.2,Total,"10 (5.7, 14.2)"
106,Dhaulpur,Rajasthan,8,Diabetes,1.7,0.8,2.6,Total,"1.7 (0.8, 2.6)"
107,Karauli,Rajasthan,8,Screened,10.1,6.5,13.7,Total,"10.1 (6.5, 13.7)"
107,Karauli,Rajasthan,8,Diabetes,1.3,0.8,1.7,Total,"1.3 (0.8, 1.7)"
108,Sawai Madhopur,Rajasthan,8,Screened,25.3,17.4,33.2,Total,"25.3 (17.4, 33.2)"
108,Sawai Madhopur,Rajasthan,8,Diabetes,2.2,1.5,2.9,Total,"2.2 (1.5, 2.9)"
109,Dausa,Rajasthan,8,Screened,16,11.8,20.2,Total,"16 (11.8, 20.2)"
109,Dausa,Rajasthan,8,Diabetes,1.6,1.1,2.2,Total,"1.6 (1.1, 2.2)"
110,Jaipur,Rajasthan,8,Screened,22.8,15.9,29.8,Total,"22.8 (15.9, 29.8)"
110,Jaipur,Rajasthan,8,Diabetes,3.6,2.5,4.6,Total,"3.6 (2.5, 4.6)"
111,Sikar,Rajasthan,8,Screened,23.5,18.8,28.2,Total,"23.5 (18.8, 28.2)"
111,Sikar,Rajasthan,8,Diabetes,4.4,3,5.7,Total,"4.4 (3, 5.7)"
112,Nagaur,Rajasthan,8,Screened,17.3,13.9,20.7,Total,"17.3 (13.9, 20.7)"
112,Nagaur,Rajasthan,8,Diabetes,1.8,1.3,2.4,Total,"1.8 (1.3, 2.4)"
113,Jodhpur,Rajasthan,8,Screened,20.8,15.3,26.2,Total,"20.8 (15.3, 26.2)"
113,Jodhpur,Rajasthan,8,Diabetes,3.9,2.1,5.7,Total,"3.9 (2.1, 5.7)"
114,Jaisalmer,Rajasthan,8,Screened,17.4,12.6,22.2,Total,"17.4 (12.6, 22.2)"
114,Jaisalmer,Rajasthan,8,Diabetes,2.2,1.1,3.3,Total,"2.2 (1.1, 3.3)"
115,Barmer,Rajasthan,8,Screened,18.8,11.6,25.9,Total,"18.8 (11.6, 25.9)"
115,Barmer,Rajasthan,8,Diabetes,1.2,0.6,1.8,Total,"1.2 (0.6, 1.8)"
116,Jalor,Rajasthan,8,Screened,26.8,13.4,40.3,Total,"26.8 (13.4, 40.3)"
116,Jalor,Rajasthan,8,Diabetes,2.8,1.1,4.5,Total,"2.8 (1.1, 4.5)"
117,Sirohi,Rajasthan,8,Screened,9.2,3.9,14.6,Total,"9.2 (3.9, 14.6)"
117,Sirohi,Rajasthan,8,Diabetes,2,0.7,3.2,Total,"2 (0.7, 3.2)"
118,Pali,Rajasthan,8,Screened,36.5,27.7,45.2,Total,"36.5 (27.7, 45.2)"
118,Pali,Rajasthan,8,Diabetes,4,1.8,6.2,Total,"4 (1.8, 6.2)"
119,Ajmer,Rajasthan,8,Screened,18.6,11.9,25.2,Total,"18.6 (11.9, 25.2)"
119,Ajmer,Rajasthan,8,Diabetes,3.1,2.3,3.9,Total,"3.1 (2.3, 3.9)"
120,Tonk,Rajasthan,8,Screened,17.9,11.5,24.2,Total,"17.9 (11.5, 24.2)"
120,Tonk,Rajasthan,8,Diabetes,1.8,1.3,2.2,Total,"1.8 (1.3, 2.2)"
121,Bundi,Rajasthan,8,Screened,15.9,9.5,22.3,Total,"15.9 (9.5, 22.3)"
121,Bundi,Rajasthan,8,Diabetes,1.7,1.2,2.2,Total,"1.7 (1.2, 2.2)"
122,Bhilwara,Rajasthan,8,Screened,7.9,4.9,10.9,Total,"7.9 (4.9, 10.9)"
122,Bhilwara,Rajasthan,8,Diabetes,2.1,1,3.1,Total,"2.1 (1, 3.1)"
123,Rajsamand,Rajasthan,8,Screened,17.5,11.5,23.5,Total,"17.5 (11.5, 23.5)"
123,Rajsamand,Rajasthan,8,Diabetes,2,1.4,2.6,Total,"2 (1.4, 2.6)"
124,Dungarpur,Rajasthan,8,Screened,28.6,21.5,35.8,Total,"28.6 (21.5, 35.8)"
124,Dungarpur,Rajasthan,8,Diabetes,3.6,1.9,5.3,Total,"3.6 (1.9, 5.3)"
125,Banswara,Rajasthan,8,Screened,14.2,6.8,21.5,Total,"14.2 (6.8, 21.5)"
125,Banswara,Rajasthan,8,Diabetes,1,0.5,1.5,Total,"1 (0.5, 1.5)"
126,Chittaurgarh,Rajasthan,8,Screened,21.3,13.3,29.3,Total,"21.3 (13.3, 29.3)"
126,Chittaurgarh,Rajasthan,8,Diabetes,1.7,1.2,2.3,Total,"1.7 (1.2, 2.3)"
127,Kota,Rajasthan,8,Screened,28.9,21.1,36.7,Total,"28.9 (21.1, 36.7)"
127,Kota,Rajasthan,8,Diabetes,2,1.4,2.5,Total,"2 (1.4, 2.5)"
128,Baran,Rajasthan,8,Screened,13.3,7.8,18.8,Total,"13.3 (7.8, 18.8)"
128,Baran,Rajasthan,8,Diabetes,1.5,1,2,Total,"1.5 (1, 2)"
129,Jhalawar,Rajasthan,8,Screened,10,5,15.1,Total,"10 (5, 15.1)"
129,Jhalawar,Rajasthan,8,Diabetes,1,0.6,1.5,Total,"1 (0.6, 1.5)"
130,Udaipur,Rajasthan,8,Screened,26.7,18.5,34.9,Total,"26.7 (18.5, 34.9)"
130,Udaipur,Rajasthan,8,Diabetes,4.8,2.5,7.1,Total,"4.8 (2.5, 7.1)"
131,Pratapgarh,Rajasthan,8,Screened,5.4,3.5,7.2,Total,"5.4 (3.5, 7.2)"
131,Pratapgarh,Rajasthan,8,Diabetes,1.4,0.9,1.8,Total,"1.4 (0.9, 1.8)"
132,Saharanpur,Uttar Pradesh,9,Screened,30.6,24.4,36.8,Total,"30.6 (24.4, 36.8)"
132,Saharanpur,Uttar Pradesh,9,Diabetes,2,1.4,2.6,Total,"2 (1.4, 2.6)"
134,Bijnor,Uttar Pradesh,9,Screened,34.9,29.2,40.6,Total,"34.9 (29.2, 40.6)"
134,Bijnor,Uttar Pradesh,9,Diabetes,5.6,4.4,6.8,Total,"5.6 (4.4, 6.8)"
136,Rampur,Uttar Pradesh,9,Screened,18.8,13.8,23.8,Total,"18.8 (13.8, 23.8)"
136,Rampur,Uttar Pradesh,9,Diabetes,5,3.5,6.4,Total,"5 (3.5, 6.4)"
137,Jyotiba Phule Nagar,Uttar Pradesh,9,Screened,27.7,22.8,32.5,Total,"27.7 (22.8, 32.5)"
137,Jyotiba Phule Nagar,Uttar Pradesh,9,Diabetes,3.7,2.2,5.3,Total,"3.7 (2.2, 5.3)"
138,Meerut,Uttar Pradesh,9,Screened,38.8,33.6,44,Total,"38.8 (33.6, 44)"
138,Meerut,Uttar Pradesh,9,Diabetes,7.6,5.7,9.4,Total,"7.6 (5.7, 9.4)"
139,Baghpat,Uttar Pradesh,9,Screened,32.6,27.2,38.1,Total,"32.6 (27.2, 38.1)"
139,Baghpat,Uttar Pradesh,9,Diabetes,4.6,3.7,5.4,Total,"4.6 (3.7, 5.4)"
141,Gautam Buddha Nagar,Uttar Pradesh,9,Screened,39.5,34.3,44.6,Total,"39.5 (34.3, 44.6)"
141,Gautam Buddha Nagar,Uttar Pradesh,9,Diabetes,6.4,4.7,8.2,Total,"6.4 (4.7, 8.2)"
142,Bulandshahr,Uttar Pradesh,9,Screened,32.8,26.5,39.1,Total,"32.8 (26.5, 39.1)"
142,Bulandshahr,Uttar Pradesh,9,Diabetes,3.6,2.8,4.3,Total,"3.6 (2.8, 4.3)"
143,Aligarh,Uttar Pradesh,9,Screened,23.8,18.7,28.8,Total,"23.8 (18.7, 28.8)"
143,Aligarh,Uttar Pradesh,9,Diabetes,3.7,2.5,4.9,Total,"3.7 (2.5, 4.9)"
144,Mahamaya Nagar,Uttar Pradesh,9,Screened,24,17.6,30.5,Total,"24 (17.6, 30.5)"
