state,n5_state,residence,variable,estimate,lci,uci,stratification,strata,est_ci,ST_NM
7,Nct Of Delhi,Rural,Screened,72.1,59.5,84.6,,Total,"72.1 (59.5, 84.6)",Delhi
7,Nct Of Delhi,Rural,Diabetes,7.4,1.8,12.9,,Total,"7.4 (1.8, 12.9)",Delhi
7,Nct Of Delhi,Rural,Diagnosed,5.7,0.3,11.1,,Total,"5.7 (0.3, 11.1)",Delhi
7,Nct Of Delhi,Rural,Treated,4.5,0.5,8.4,,Total,"4.5 (0.5, 8.4)",Delhi
7,Nct Of Delhi,Rural,Controlled,4.4,-1.5,10.2,,Total,"4.4 (-1.5, 10.2)",Delhi
7,Nct Of Delhi,Urban,Screened,60.6,58.6,62.6,,Total,"60.6 (58.6, 62.6)",Delhi
7,Nct Of Delhi,Urban,Diabetes,8.9,8.3,9.4,,Total,"8.9 (8.3, 9.4)",Delhi
7,Nct Of Delhi,Urban,Diagnosed,7.4,6.9,8,,Total,"7.4 (6.9, 8)",Delhi
7,Nct Of Delhi,Urban,Treated,6.3,5.8,6.8,,Total,"6.3 (5.8, 6.8)",Delhi
7,Nct Of Delhi,Urban,Controlled,4,3.6,4.4,,Total,"4 (3.6, 4.4)",Delhi
8,Rajasthan,Rural,Screened,16.8,15.4,18.2,,Total,"16.8 (15.4, 18.2)",Rajasthan
8,Rajasthan,Rural,Diabetes,2.4,2.2,2.7,,Total,"2.4 (2.2, 2.7)",Rajasthan
8,Rajasthan,Rural,Diagnosed,1.9,1.7,2.1,,Total,"1.9 (1.7, 2.1)",Rajasthan
8,Rajasthan,Rural,Treated,0.9,0.8,1,,Total,"0.9 (0.8, 1)",Rajasthan
8,Rajasthan,Rural,Controlled,1.3,1.1,1.5,,Total,"1.3 (1.1, 1.5)",Rajasthan
8,Rajasthan,Urban,Screened,28.2,25.5,30.9,,Total,"28.2 (25.5, 30.9)",Rajasthan
8,Rajasthan,Urban,Diabetes,5,4.2,5.7,,Total,"5 (4.2, 5.7)",Rajasthan
8,Rajasthan,Urban,Diagnosed,4.3,3.5,5,,Total,"4.3 (3.5, 5)",Rajasthan
8,Rajasthan,Urban,Treated,2.3,2,2.6,,Total,"2.3 (2, 2.6)",Rajasthan
8,Rajasthan,Urban,Controlled,3.2,2.5,3.9,,Total,"3.2 (2.5, 3.9)",Rajasthan
9,Uttar Pradesh,Rural,Screened,24,23.2,24.9,,Total,"24 (23.2, 24.9)",Uttar Pradesh
9,Uttar Pradesh,Rural,Diabetes,4.5,4.2,4.7,,Total,"4.5 (4.2, 4.7)",Uttar Pradesh
9,Uttar Pradesh,Rural,Diagnosed,3.3,3,3.6,,Total,"3.3 (3, 3.6)",Uttar Pradesh
9,Uttar Pradesh,Rural,Treated,1.2,1.1,1.3,,Total,"1.2 (1.1, 1.3)",Uttar Pradesh
9,Uttar Pradesh,Rural,Controlled,2.4,2.2,2.7,,Total,"2.4 (2.2, 2.7)",Uttar Pradesh
9,Uttar Pradesh,Urban,Screened,33.3,31.4,35.3,,Total,"33.3 (31.4, 35.3)",Uttar Pradesh
9,Uttar Pradesh,Urban,Diabetes,6.1,5.6,6.6,,Total,"6.1 (5.6, 6.6)",Uttar Pradesh
9,Uttar Pradesh,Urban,Diagnosed,4.6,4.1,5,,Total,"4.6 (4.1, 5)",Uttar Pradesh
9,Uttar Pradesh,Urban,Treated,2.7,2.4,3,,Total,"2.7 (2.4, 3)",Uttar Pradesh
9,Uttar Pradesh,Urban,Controlled,2.7,2.3,3,,Total,"2.7 (2.3, 3)",Uttar Pradesh
10,Bihar,Rural,Screened,13.6,12.9,14.3,,Total,"13.6 (12.9, 14.3)",Bihar
10,Bihar,Rural,Diabetes,4.6,4.3,4.9,,Total,"4.6 (4.3, 4.9)",Bihar
10,Bihar,Rural,Diagnosed,3.4,3.1,3.7,,Total,"3.4 (3.1, 3.7)",Bihar
10,Bihar,Rural,Treated,1.6,1.5,1.7,,Total,"1.6 (1.5, 1.7)",Bihar
10,Bihar,Rural,Controlled,2.3,2.1,2.6,,Total,"2.3 (2.1, 2.6)",Bihar
10,Bihar,Urban,Screened,28.3,25,31.5,,Total,"28.3 (25, 31.5)",Bihar
10,Bihar,Urban,Diabetes,8.6,7.5,9.8,,Total,"8.6 (7.5, 9.8)",Bihar
10,Bihar,Urban,Diagnosed,7.1,6,8.2,,Total,"7.1 (6, 8.2)",Bihar
10,Bihar,Urban,Treated,4,3.3,4.7,,Total,"4 (3.3, 4.7)",Bihar
10,Bihar,Urban,Controlled,4.2,3.3,5.1,,Total,"4.2 (3.3, 5.1)",Bihar
11,Sikkim,Rural,Screened,36.6,33.8,39.3,,Total,"36.6 (33.8, 39.3)",Sikkim
11,Sikkim,Rural,Diabetes,4.8,3.9,5.7,,Total,"4.8 (3.9, 5.7)",Sikkim
11,Sikkim,Rural,Diagnosed,3.9,3.1,4.6,,Total,"3.9 (3.1, 4.6)",Sikkim
11,Sikkim,Rural,Treated,2.5,1.9,3.1,,Total,"2.5 (1.9, 3.1)",Sikkim
11,Sikkim,Rural,Controlled,2.2,1.7,2.7,,Total,"2.2 (1.7, 2.7)",Sikkim
11,Sikkim,Urban,Screened,44,36.4,51.6,,Total,"44 (36.4, 51.6)",Sikkim
11,Sikkim,Urban,Diabetes,9.1,7,11.2,,Total,"9.1 (7, 11.2)",Sikkim
11,Sikkim,Urban,Diagnosed,7.8,6.2,9.4,,Total,"7.8 (6.2, 9.4)",Sikkim
11,Sikkim,Urban,Treated,5.5,4,7,,Total,"5.5 (4, 7)",Sikkim
11,Sikkim,Urban,Controlled,3.4,2.4,4.4,,Total,"3.4 (2.4, 4.4)",Sikkim
12,Arunachal Pradesh,Rural,Screened,29.9,27.7,32.1,,Total,"29.9 (27.7, 32.1)",Arunachal Pradesh
12,Arunachal Pradesh,Rural,Diabetes,3.2,2.6,3.7,,Total,"3.2 (2.6, 3.7)",Arunachal Pradesh
12,Arunachal Pradesh,Rural,Diagnosed,2.6,2,3.1,,Total,"2.6 (2, 3.1)",Arunachal Pradesh
12,Arunachal Pradesh,Rural,Treated,0.7,0.6,0.9,,Total,"0.7 (0.6, 0.9)",Arunachal Pradesh
12,Arunachal Pradesh,Rural,Controlled,2,1.5,2.5,,Total,"2 (1.5, 2.5)",Arunachal Pradesh
12,Arunachal Pradesh,Urban,Screened,37.7,33.6,41.8,,Total,"37.7 (33.6, 41.8)",Arunachal Pradesh
12,Arunachal Pradesh,Urban,Diabetes,6.7,5.3,8.1,,Total,"6.7 (5.3, 8.1)",Arunachal Pradesh
12,Arunachal Pradesh,Urban,Diagnosed,5.4,4,6.8,,Total,"5.4 (4, 6.8)",Arunachal Pradesh
12,Arunachal Pradesh,Urban,Treated,2,1.5,2.5,,Total,"2 (1.5, 2.5)",Arunachal Pradesh
12,Arunachal Pradesh,Urban,Controlled,4.4,3.1,5.7,,Total,"4.4 (3.1, 5.7)",Arunachal Pradesh
13,Nagaland,Rural,Screened,15.6,12.8,18.5,,Total,"15.6 (12.8, 18.5)",Nagaland
13,Nagaland,Rural,Diabetes,2.1,1.7,2.5,,Total,"2.1 (1.7, 2.5)",Nagaland
13,Nagaland,Rural,Diagnosed,1.4,1,1.8,,Total,"1.4 (1, 1.8)",Nagaland
13,Nagaland,Rural,Treated,0.7,0.5,0.9,,Total,"0.7 (0.5, 0.9)",Nagaland
13,Nagaland,Rural,Controlled,0.8,0.5,1.1,,Total,"0.8 (0.5, 1.1)",Nagaland
13,Nagaland,Urban,Screened,26.5,22.2,30.8,,Total,"26.5 (22.2, 30.8)",Nagaland
13,Nagaland,Urban,Diabetes,5.3,3.7,6.8,,Total,"5.3 (3.7, 6.8)",Nagaland
13,Nagaland,Urban,Diagnosed,4.5,3,6,,Total,"4.5 (3, 6)",Nagaland
13,Nagaland,Urban,Treated,2.3,1.6,3.1,,Total,"2.3 (1.6, 3.1)",Nagaland
13,Nagaland,Urban,Controlled,2.4,1.1,3.8,,Total,"2.4 (1.1, 3.8)",Nagaland
14,Manipur,Rural,Screened,33.2,31.3,35.1,,Total,"33.2 (31.3, 35.1)",Manipur
14,Manipur,Rural,Diabetes,4.9,4.2,5.6,,Total,"4.9 (4.2, 5.6)",Manipur
14,Manipur,Rural,Diagnosed,3.7,3.1,4.2,,Total,"3.7 (3.1, 4.2)",Manipur
14,Manipur,Rural,Treated,2.4,1.9,2.9,,Total,"2.4 (1.9, 2.9)",Manipur
14,Manipur,Rural,Controlled,2.2,1.9,2.6,,Total,"2.2 (1.9, 2.6)",Manipur
14,Manipur,Urban,Screened,46.9,43.8,50.1,,Total,"46.9 (43.8, 50.1)",Manipur
14,Manipur,Urban,Diabetes,8.1,7,9.2,,Total,"8.1 (7, 9.2)",Manipur
14,Manipur,Urban,Diagnosed,6.6,5.7,7.6,,Total,"6.6 (5.7, 7.6)",Manipur
14,Manipur,Urban,Treated,4.9,4.1,5.6,,Total,"4.9 (4.1, 5.6)",Manipur
14,Manipur,Urban,Controlled,3.6,2.9,4.4,,Total,"3.6 (2.9, 4.4)",Manipur
15,Mizoram,Rural,Screened,26.5,22.7,30.2,,Total,"26.5 (22.7, 30.2)",Mizoram
15,Mizoram,Rural,Diabetes,3.8,3,4.5,,Total,"3.8 (3, 4.5)",Mizoram
15,Mizoram,Rural,Diagnosed,3,2.2,3.8,,Total,"3 (2.2, 3.8)",Mizoram
15,Mizoram,Rural,Treated,1.9,1.3,2.4,,Total,"1.9 (1.3, 2.4)",Mizoram
15,Mizoram,Rural,Controlled,2.1,1.5,2.6,,Total,"2.1 (1.5, 2.6)",Mizoram
15,Mizoram,Urban,Screened,48.5,45.2,51.8,,Total,"48.5 (45.2, 51.8)",Mizoram
15,Mizoram,Urban,Diabetes,6.9,5.8,8.1,,Total,"6.9 (5.8, 8.1)",Mizoram
15,Mizoram,Urban,Diagnosed,6.3,5.2,7.4,,Total,"6.3 (5.2, 7.4)",Mizoram
15,Mizoram,Urban,Treated,4.6,3.7,5.5,,Total,"4.6 (3.7, 5.5)",Mizoram
15,Mizoram,Urban,Controlled,4.1,3.4,4.8,,Total,"4.1 (3.4, 4.8)",Mizoram
16,Tripura,Rural,Screened,30,26.5,33.5,,Total,"30 (26.5, 33.5)",Tripura
16,Tripura,Rural,Diabetes,4.3,3.8,4.8,,Total,"4.3 (3.8, 4.8)",Tripura
16,Tripura,Rural,Diagnosed,3.1,2.7,3.6,,Total,"3.1 (2.7, 3.6)",Tripura
16,Tripura,Rural,Treated,1.9,1.6,2.1,,Total,"1.9 (1.6, 2.1)",Tripura
16,Tripura,Rural,Controlled,1.7,1.4,2,,Total,"1.7 (1.4, 2)",Tripura
16,Tripura,Urban,Screened,42.7,37,48.4,,Total,"42.7 (37, 48.4)",Tripura
16,Tripura,Urban,Diabetes,8.2,6.8,9.5,,Total,"8.2 (6.8, 9.5)",Tripura
16,Tripura,Urban,Diagnosed,6.1,4.7,7.4,,Total,"6.1 (4.7, 7.4)",Tripura
16,Tripura,Urban,Treated,5,3.7,6.4,,Total,"5 (3.7, 6.4)",Tripura
16,Tripura,Urban,Controlled,3.5,2.6,4.4,,Total,"3.5 (2.6, 4.4)",Tripura
17,Meghalaya,Rural,Screened,12.4,10.5,14.2,,Total,"12.4 (10.5, 14.2)",Meghalaya
17,Meghalaya,Rural,Diabetes,2.1,1.7,2.6,,Total,"2.1 (1.7, 2.6)",Meghalaya
17,Meghalaya,Rural,Diagnosed,1.6,1.1,2,,Total,"1.6 (1.1, 2)",Meghalaya
17,Meghalaya,Rural,Treated,0.8,0.5,1.1,,Total,"0.8 (0.5, 1.1)",Meghalaya
17,Meghalaya,Rural,Controlled,1.1,0.8,1.4,,Total,"1.1 (0.8, 1.4)",Meghalaya
17,Meghalaya,Urban,Screened,36.2,29.5,42.9,,Total,"36.2 (29.5, 42.9)",Meghalaya
17,Meghalaya,Urban,Diabetes,5.8,4.4,7.2,,Total,"5.8 (4.4, 7.2)",Meghalaya
17,Meghalaya,Urban,Diagnosed,4.8,3.6,6,,Total,"4.8 (3.6, 6)",Meghalaya
17,Meghalaya,Urban,Treated,3.4,2.4,4.5,,Total,"3.4 (2.4, 4.5)",Meghalaya
17,Meghalaya,Urban,Controlled,3.2,2.2,4.3,,Total,"3.2 (2.2, 4.3)",Meghalaya
18,Assam,Rural,Screened,29.5,27.8,31.2,,Total,"29.5 (27.8, 31.2)",Assam
18,Assam,Rural,Diabetes,3.9,3.6,4.2,,Total,"3.9 (3.6, 4.2)",Assam
18,Assam,Rural,Diagnosed,3,2.7,3.3,,Total,"3 (2.7, 3.3)",Assam
18,Assam,Rural,Treated,1.8,1.6,2,,Total,"1.8 (1.6, 2)",Assam
18,Assam,Rural,Controlled,1.9,1.7,2.1,,Total,"1.9 (1.7, 2.1)",Assam
18,Assam,Urban,Screened,46.4,42.2,50.5,,Total,"46.4 (42.2, 50.5)",Assam
18,Assam,Urban,Diabetes,7.7,6.8,8.6,,Total,"7.7 (6.8, 8.6)",Assam
18,Assam,Urban,Diagnosed,6.2,5.3,7,,Total,"6.2 (5.3, 7)",Assam
18,Assam,Urban,Treated,4.2,3.6,4.9,,Total,"4.2 (3.6, 4.9)",Assam
18,Assam,Urban,Controlled,3.7,3.1,4.4,,Total,"3.7 (3.1, 4.4)",Assam
19,West Bengal,Rural,Screened,22.7,21.3,24.1,,Total,"22.7 (21.3, 24.1)",West Bengal
19,West Bengal,Rural,Diabetes,4.4,4,4.7,,Total,"4.4 (4, 4.7)",West Bengal
19,West Bengal,Rural,Diagnosed,2.9,2.6,3.1,,Total,"2.9 (2.6, 3.1)",West Bengal
19,West Bengal,Rural,Treated,2.1,1.9,2.3,,Total,"2.1 (1.9, 2.3)",West Bengal
19,West Bengal,Rural,Controlled,1.5,1.3,1.7,,Total,"1.5 (1.3, 1.7)",West Bengal
19,West Bengal,Urban,Screened,35.1,31.9,38.3,,Total,"35.1 (31.9, 38.3)",West Bengal
19,West Bengal,Urban,Diabetes,6.2,5.6,6.9,,Total,"6.2 (5.6, 6.9)",West Bengal
19,West Bengal,Urban,Diagnosed,4.6,4.1,5.2,,Total,"4.6 (4.1, 5.2)",West Bengal
19,West Bengal,Urban,Treated,3.9,3.4,4.4,,Total,"3.9 (3.4, 4.4)",West Bengal
19,West Bengal,Urban,Controlled,2.5,2.1,2.9,,Total,"2.5 (2.1, 2.9)",West Bengal
20,Jharkhand,Rural,Screened,16.7,15.2,18.2,,Total,"16.7 (15.2, 18.2)",Jharkhand
20,Jharkhand,Rural,Diabetes,4.1,3.6,4.6,,Total,"4.1 (3.6, 4.6)",Jharkhand
20,Jharkhand,Rural,Diagnosed,2.9,2.4,3.4,,Total,"2.9 (2.4, 3.4)",Jharkhand
20,Jharkhand,Rural,Treated,1.1,1,1.2,,Total,"1.1 (1, 1.2)",Jharkhand
20,Jharkhand,Rural,Controlled,2.2,1.8,2.7,,Total,"2.2 (1.8, 2.7)",Jharkhand
20,Jharkhand,Urban,Screened,36.5,33,39.9,,Total,"36.5 (33, 39.9)",Jharkhand
20,Jharkhand,Urban,Diabetes,8,6.8,9.1,,Total,"8 (6.8, 9.1)",Jharkhand
20,Jharkhand,Urban,Diagnosed,6.5,5.4,7.6,,Total,"6.5 (5.4, 7.6)",Jharkhand
20,Jharkhand,Urban,Treated,3.4,2.9,3.9,,Total,"3.4 (2.9, 3.9)",Jharkhand
20,Jharkhand,Urban,Controlled,4.4,3.4,5.4,,Total,"4.4 (3.4, 5.4)",Jharkhand
21,Odisha,Rural,Screened,19.7,18.6,20.7,,Total,"19.7 (18.6, 20.7)",Odisha
21,Odisha,Rural,Diabetes,4.5,4.2,4.9,,Total,"4.5 (4.2, 4.9)",Odisha
21,Odisha,Rural,Diagnosed,3.2,2.9,3.5,,Total,"3.2 (2.9, 3.5)",Odisha
21,Odisha,Rural,Treated,2.1,1.9,2.3,,Total,"2.1 (1.9, 2.3)",Odisha
21,Odisha,Rural,Controlled,1.9,1.6,2.1,,Total,"1.9 (1.6, 2.1)",Odisha
21,Odisha,Urban,Screened,35.5,32.6,38.3,,Total,"35.5 (32.6, 38.3)",Odisha
21,Odisha,Urban,Diabetes,9,7.9,10.2,,Total,"9 (7.9, 10.2)",Odisha
21,Odisha,Urban,Diagnosed,7.1,6.1,8.1,,Total,"7.1 (6.1, 8.1)",Odisha
21,Odisha,Urban,Treated,5.7,4.9,6.4,,Total,"5.7 (4.9, 6.4)",Odisha
21,Odisha,Urban,Controlled,3.8,3,4.6,,Total,"3.8 (3, 4.6)",Odisha
22,Chhattisgarh,Rural,Screened,32.7,30.5,35,,Total,"32.7 (30.5, 35)",Chhattisgarh
22,Chhattisgarh,Rural,Diabetes,3.3,3,3.7,,Total,"3.3 (3, 3.7)",Chhattisgarh
22,Chhattisgarh,Rural,Diagnosed,2.4,2,2.7,,Total,"2.4 (2, 2.7)",Chhattisgarh
22,Chhattisgarh,Rural,Treated,1.3,1.1,1.4,,Total,"1.3 (1.1, 1.4)",Chhattisgarh
22,Chhattisgarh,Rural,Controlled,1.7,1.4,2.1,,Total,"1.7 (1.4, 2.1)",Chhattisgarh
22,Chhattisgarh,Urban,Screened,45.1,40.8,49.5,,Total,"45.1 (40.8, 49.5)",Chhattisgarh
22,Chhattisgarh,Urban,Diabetes,6.9,5.8,8,,Total,"6.9 (5.8, 8)",Chhattisgarh
22,Chhattisgarh,Urban,Diagnosed,5.5,4.5,6.6,,Total,"5.5 (4.5, 6.6)",Chhattisgarh
22,Chhattisgarh,Urban,Treated,3.6,3,4.2,,Total,"3.6 (3, 4.2)",Chhattisgarh
22,Chhattisgarh,Urban,Controlled,4,3,5,,Total,"4 (3, 5)",Chhattisgarh
23,Madhya Pradesh,Rural,Screened,16.8,15.7,17.8,,Total,"16.8 (15.7, 17.8)",Madhya Pradesh
23,Madhya Pradesh,Rural,Diabetes,2.6,2.4,2.7,,Total,"2.6 (2.4, 2.7)",Madhya Pradesh
23,Madhya Pradesh,Rural,Diagnosed,1.6,1.5,1.7,,Total,"1.6 (1.5, 1.7)",Madhya Pradesh
23,Madhya Pradesh,Rural,Treated,1,0.9,1.1,,Total,"1 (0.9, 1.1)",Madhya Pradesh
23,Madhya Pradesh,Rural,Controlled,1,0.9,1.1,,Total,"1 (0.9, 1.1)",Madhya Pradesh
23,Madhya Pradesh,Urban,Screened,30,27.7,32.4,,Total,"30 (27.7, 32.4)",Madhya Pradesh
23,Madhya Pradesh,Urban,Diabetes,5,4.6,5.5,,Total,"5 (4.6, 5.5)",Madhya Pradesh
23,Madhya Pradesh,Urban,Diagnosed,3.9,3.4,4.3,,Total,"3.9 (3.4, 4.3)",Madhya Pradesh
23,Madhya Pradesh,Urban,Treated,2.8,2.5,3.1,,Total,"2.8 (2.5, 3.1)",Madhya Pradesh
23,Madhya Pradesh,Urban,Controlled,2.2,1.9,2.5,,Total,"2.2 (1.9, 2.5)",Madhya Pradesh
24,Gujarat,Rural,Screened,18.7,17.3,20.1,,Total,"18.7 (17.3, 20.1)",Gujarat
24,Gujarat,Rural,Diabetes,3.4,3.2,3.7,,Total,"3.4 (3.2, 3.7)",Gujarat
24,Gujarat,Rural,Diagnosed,2.1,1.9,2.3,,Total,"2.1 (1.9, 2.3)",Gujarat
24,Gujarat,Rural,Treated,1.6,1.4,1.8,,Total,"1.6 (1.4, 1.8)",Gujarat
24,Gujarat,Rural,Controlled,1.2,1.1,1.4,,Total,"1.2 (1.1, 1.4)",Gujarat
24,Gujarat,Urban,Screened,36.3,32.9,39.7,,Total,"36.3 (32.9, 39.7)",Gujarat
24,Gujarat,Urban,Diabetes,5.8,5.3,6.2,,Total,"5.8 (5.3, 6.2)",Gujarat
24,Gujarat,Urban,Diagnosed,4.4,4,4.8,,Total,"4.4 (4, 4.8)",Gujarat
24,Gujarat,Urban,Treated,3.8,3.5,4.2,,Total,"3.8 (3.5, 4.2)",Gujarat
24,Gujarat,Urban,Controlled,2.5,2.2,2.7,,Total,"2.5 (2.2, 2.7)",Gujarat
25,Dadra & Nagar Haveli And Daman & Diu,Rural,Screened,29.5,21.8,37.1,,Total,"29.5 (21.8, 37.1)",Dadra & Nagar Haveli And Daman & Diu
25,Dadra & Nagar Haveli And Daman & Diu,Rural,Diabetes,4.4,3.1,5.7,,Total,"4.4 (3.1, 5.7)",Dadra & Nagar Haveli And Daman & Diu
25,Dadra & Nagar Haveli And Daman & Diu,Rural,Diagnosed,2,1.2,2.9,,Total,"2 (1.2, 2.9)",Dadra & Nagar Haveli And Daman & Diu
25,Dadra & Nagar Haveli And Daman & Diu,Rural,Treated,1.8,1.1,2.6,,Total,"1.8 (1.1, 2.6)",Dadra & Nagar Haveli And Daman & Diu
25,Dadra & Nagar Haveli And Daman & Diu,Rural,Controlled,1.1,0.5,1.7,,Total,"1.1 (0.5, 1.7)",Dadra & Nagar Haveli And Daman & Diu
