REGCODE,REGNAME,n5_state,v024,variable,estimate,lci,uci,strata,est_ci
9,Bandipore,Jammu & Kashmir,1,Diabetes,6.2,3.5,8.8,Total,"6.2 (3.5, 8.8)"
9,Bandipore,Jammu & Kashmir,1,Diagnosed,5.3,2.7,8,Total,"5.3 (2.7, 8)"
9,Bandipore,Jammu & Kashmir,1,Treated,2.3,1.4,3.1,Total,"2.3 (1.4, 3.1)"
9,Bandipore,Jammu & Kashmir,1,Controlled,4.5,1.9,7.1,Total,"4.5 (1.9, 7.1)"
10,Srinagar,Jammu & Kashmir,1,Screened,53.1,45.2,61.1,Total,"53.1 (45.2, 61.1)"
10,Srinagar,Jammu & Kashmir,1,Diabetes,4.8,3.5,6.1,Total,"4.8 (3.5, 6.1)"
10,Srinagar,Jammu & Kashmir,1,Diagnosed,4.6,3.3,5.9,Total,"4.6 (3.3, 5.9)"
10,Srinagar,Jammu & Kashmir,1,Treated,2.6,1.6,3.6,Total,"2.6 (1.6, 3.6)"
10,Srinagar,Jammu & Kashmir,1,Controlled,3.4,2.2,4.6,Total,"3.4 (2.2, 4.6)"
11,Ganderbal,Jammu & Kashmir,1,Screened,44,38.4,49.6,Total,"44 (38.4, 49.6)"
11,Ganderbal,Jammu & Kashmir,1,Diabetes,4.9,3.7,6.1,Total,"4.9 (3.7, 6.1)"
11,Ganderbal,Jammu & Kashmir,1,Diagnosed,4.5,3.3,5.7,Total,"4.5 (3.3, 5.7)"
11,Ganderbal,Jammu & Kashmir,1,Treated,2.5,1.7,3.3,Total,"2.5 (1.7, 3.3)"
11,Ganderbal,Jammu & Kashmir,1,Controlled,3.6,2.4,4.7,Total,"3.6 (2.4, 4.7)"
12,Pulwama,Jammu & Kashmir,1,Screened,55.8,49.3,62.3,Total,"55.8 (49.3, 62.3)"
12,Pulwama,Jammu & Kashmir,1,Diabetes,4.9,3.7,6,Total,"4.9 (3.7, 6)"
12,Pulwama,Jammu & Kashmir,1,Diagnosed,4.7,3.6,5.8,Total,"4.7 (3.6, 5.8)"
12,Pulwama,Jammu & Kashmir,1,Treated,3.1,2.3,4,Total,"3.1 (2.3, 4)"
12,Pulwama,Jammu & Kashmir,1,Controlled,3.9,2.8,5.1,Total,"3.9 (2.8, 5.1)"
13,Shupiyan,Jammu & Kashmir,1,Screened,64.5,58.2,70.7,Total,"64.5 (58.2, 70.7)"
13,Shupiyan,Jammu & Kashmir,1,Diabetes,4.7,3,6.4,Total,"4.7 (3, 6.4)"
13,Shupiyan,Jammu & Kashmir,1,Diagnosed,4.6,2.9,6.4,Total,"4.6 (2.9, 6.4)"
13,Shupiyan,Jammu & Kashmir,1,Treated,1.8,1,2.6,Total,"1.8 (1, 2.6)"
13,Shupiyan,Jammu & Kashmir,1,Controlled,4.4,2.8,6.1,Total,"4.4 (2.8, 6.1)"
14,Anantnag,Jammu & Kashmir,1,Screened,57.2,48.1,66.3,Total,"57.2 (48.1, 66.3)"
14,Anantnag,Jammu & Kashmir,1,Diabetes,3.8,2.4,5.1,Total,"3.8 (2.4, 5.1)"
14,Anantnag,Jammu & Kashmir,1,Diagnosed,3.6,2.3,4.9,Total,"3.6 (2.3, 4.9)"
14,Anantnag,Jammu & Kashmir,1,Treated,2.6,1.3,3.9,Total,"2.6 (1.3, 3.9)"
14,Anantnag,Jammu & Kashmir,1,Controlled,2.9,1.6,4.1,Total,"2.9 (1.6, 4.1)"
15,Kulgam,Jammu & Kashmir,1,Screened,59.9,53.3,66.4,Total,"59.9 (53.3, 66.4)"
15,Kulgam,Jammu & Kashmir,1,Diabetes,2.2,1.5,2.8,Total,"2.2 (1.5, 2.8)"
15,Kulgam,Jammu & Kashmir,1,Diagnosed,2.1,1.4,2.7,Total,"2.1 (1.4, 2.7)"
15,Kulgam,Jammu & Kashmir,1,Treated,1.7,1.2,2.3,Total,"1.7 (1.2, 2.3)"
15,Kulgam,Jammu & Kashmir,1,Controlled,1.7,1.1,2.3,Total,"1.7 (1.1, 2.3)"
16,Doda,Jammu & Kashmir,1,Screened,39.1,33.6,44.6,Total,"39.1 (33.6, 44.6)"
16,Doda,Jammu & Kashmir,1,Diabetes,2.9,1.8,4,Total,"2.9 (1.8, 4)"
16,Doda,Jammu & Kashmir,1,Diagnosed,2.5,1.5,3.5,Total,"2.5 (1.5, 3.5)"
16,Doda,Jammu & Kashmir,1,Treated,1.8,1.1,2.6,Total,"1.8 (1.1, 2.6)"
16,Doda,Jammu & Kashmir,1,Controlled,1.2,0.7,1.8,Total,"1.2 (0.7, 1.8)"
17,Ramban,Jammu & Kashmir,1,Screened,51.2,41.1,61.2,Total,"51.2 (41.1, 61.2)"
17,Ramban,Jammu & Kashmir,1,Diabetes,4.3,1,7.5,Total,"4.3 (1, 7.5)"
17,Ramban,Jammu & Kashmir,1,Diagnosed,4.1,0.8,7.3,Total,"4.1 (0.8, 7.3)"
17,Ramban,Jammu & Kashmir,1,Treated,0.7,0.3,1,Total,"0.7 (0.3, 1)"
17,Ramban,Jammu & Kashmir,1,Controlled,3.9,0.6,7.2,Total,"3.9 (0.6, 7.2)"
18,Kishtwar,Jammu & Kashmir,1,Screened,38.1,29.3,46.9,Total,"38.1 (29.3, 46.9)"
18,Kishtwar,Jammu & Kashmir,1,Diabetes,5.5,3.3,7.6,Total,"5.5 (3.3, 7.6)"
18,Kishtwar,Jammu & Kashmir,1,Diagnosed,5.3,3.1,7.4,Total,"5.3 (3.1, 7.4)"
18,Kishtwar,Jammu & Kashmir,1,Treated,3,1.1,4.9,Total,"3 (1.1, 4.9)"
18,Kishtwar,Jammu & Kashmir,1,Controlled,4.9,2.8,7,Total,"4.9 (2.8, 7)"
19,Udhampur,Jammu & Kashmir,1,Screened,63.7,55.6,71.8,Total,"63.7 (55.6, 71.8)"
19,Udhampur,Jammu & Kashmir,1,Diabetes,4.2,2.7,5.6,Total,"4.2 (2.7, 5.6)"
19,Udhampur,Jammu & Kashmir,1,Diagnosed,4,2.6,5.4,Total,"4 (2.6, 5.4)"
19,Udhampur,Jammu & Kashmir,1,Treated,2.3,1.6,3,Total,"2.3 (1.6, 3)"
19,Udhampur,Jammu & Kashmir,1,Controlled,3.3,2.1,4.4,Total,"3.3 (2.1, 4.4)"
20,Reasi,Jammu & Kashmir,1,Screened,43.5,35.6,51.4,Total,"43.5 (35.6, 51.4)"
20,Reasi,Jammu & Kashmir,1,Diabetes,2.7,1.9,3.4,Total,"2.7 (1.9, 3.4)"
20,Reasi,Jammu & Kashmir,1,Diagnosed,2.6,1.8,3.4,Total,"2.6 (1.8, 3.4)"
20,Reasi,Jammu & Kashmir,1,Treated,1.8,1.2,2.5,Total,"1.8 (1.2, 2.5)"
20,Reasi,Jammu & Kashmir,1,Controlled,2,1.2,2.8,Total,"2 (1.2, 2.8)"
21,Jammu,Jammu & Kashmir,1,Screened,50.7,43.6,57.8,Total,"50.7 (43.6, 57.8)"
21,Jammu,Jammu & Kashmir,1,Diabetes,5.2,3.8,6.6,Total,"5.2 (3.8, 6.6)"
21,Jammu,Jammu & Kashmir,1,Diagnosed,4.7,3.4,6,Total,"4.7 (3.4, 6)"
21,Jammu,Jammu & Kashmir,1,Treated,3,2,3.9,Total,"3 (2, 3.9)"
21,Jammu,Jammu & Kashmir,1,Controlled,3.4,2.2,4.7,Total,"3.4 (2.2, 4.7)"
22,Samba,Jammu & Kashmir,1,Screened,43.1,35.3,50.8,Total,"43.1 (35.3, 50.8)"
22,Samba,Jammu & Kashmir,1,Diabetes,4.4,3,5.7,Total,"4.4 (3, 5.7)"
22,Samba,Jammu & Kashmir,1,Diagnosed,3.8,2.5,5.1,Total,"3.8 (2.5, 5.1)"
22,Samba,Jammu & Kashmir,1,Treated,3.1,1.9,4.3,Total,"3.1 (1.9, 4.3)"
22,Samba,Jammu & Kashmir,1,Controlled,2.7,1.5,3.9,Total,"2.7 (1.5, 3.9)"
23,Chamba,Himachal Pradesh,2,Screened,44.6,39.1,50.1,Total,"44.6 (39.1, 50.1)"
23,Chamba,Himachal Pradesh,2,Diabetes,4.1,2.7,5.4,Total,"4.1 (2.7, 5.4)"
23,Chamba,Himachal Pradesh,2,Diagnosed,3.1,2,4.3,Total,"3.1 (2, 4.3)"
23,Chamba,Himachal Pradesh,2,Treated,1.6,0.8,2.5,Total,"1.6 (0.8, 2.5)"
23,Chamba,Himachal Pradesh,2,Controlled,2.3,1.2,3.4,Total,"2.3 (1.2, 3.4)"
24,Kangra,Himachal Pradesh,2,Screened,49.2,42.7,55.7,Total,"49.2 (42.7, 55.7)"
24,Kangra,Himachal Pradesh,2,Diabetes,7.8,6.6,9,Total,"7.8 (6.6, 9)"
24,Kangra,Himachal Pradesh,2,Diagnosed,6,4.9,7.2,Total,"6 (4.9, 7.2)"
24,Kangra,Himachal Pradesh,2,Treated,4.2,3.3,5.1,Total,"4.2 (3.3, 5.1)"
24,Kangra,Himachal Pradesh,2,Controlled,3,2,4,Total,"3 (2, 4)"
25,Lahul & Spiti,Himachal Pradesh,2,Screened,50.4,45.1,55.7,Total,"50.4 (45.1, 55.7)"
25,Lahul & Spiti,Himachal Pradesh,2,Diabetes,1.5,0.9,2.1,Total,"1.5 (0.9, 2.1)"
25,Lahul & Spiti,Himachal Pradesh,2,Diagnosed,1.4,0.8,2,Total,"1.4 (0.8, 2)"
25,Lahul & Spiti,Himachal Pradesh,2,Treated,1,0.5,1.5,Total,"1 (0.5, 1.5)"
25,Lahul & Spiti,Himachal Pradesh,2,Controlled,1,0.5,1.5,Total,"1 (0.5, 1.5)"
26,Kullu,Himachal Pradesh,2,Screened,47,41.7,52.3,Total,"47 (41.7, 52.3)"
26,Kullu,Himachal Pradesh,2,Diabetes,7.3,3.8,10.9,Total,"7.3 (3.8, 10.9)"
26,Kullu,Himachal Pradesh,2,Diagnosed,6.3,2.7,9.8,Total,"6.3 (2.7, 9.8)"
26,Kullu,Himachal Pradesh,2,Treated,2,1.3,2.8,Total,"2 (1.3, 2.8)"
26,Kullu,Himachal Pradesh,2,Controlled,5.2,2,8.5,Total,"5.2 (2, 8.5)"
27,Mandi,Himachal Pradesh,2,Screened,54.7,48.7,60.6,Total,"54.7 (48.7, 60.6)"
27,Mandi,Himachal Pradesh,2,Diabetes,4.7,3.3,6.1,Total,"4.7 (3.3, 6.1)"
27,Mandi,Himachal Pradesh,2,Diagnosed,3.9,2.7,5.1,Total,"3.9 (2.7, 5.1)"
27,Mandi,Himachal Pradesh,2,Treated,3,1.8,4.1,Total,"3 (1.8, 4.1)"
27,Mandi,Himachal Pradesh,2,Controlled,2.8,1.8,3.8,Total,"2.8 (1.8, 3.8)"
28,Hamirpur,Himachal Pradesh,2,Screened,58.3,53.9,62.8,Total,"58.3 (53.9, 62.8)"
28,Hamirpur,Himachal Pradesh,2,Diabetes,9.5,7.6,11.4,Total,"9.5 (7.6, 11.4)"
28,Hamirpur,Himachal Pradesh,2,Diagnosed,7.9,6.1,9.8,Total,"7.9 (6.1, 9.8)"
28,Hamirpur,Himachal Pradesh,2,Treated,5,3.8,6.2,Total,"5 (3.8, 6.2)"
28,Hamirpur,Himachal Pradesh,2,Controlled,4.7,3.3,6.1,Total,"4.7 (3.3, 6.1)"
29,Una,Himachal Pradesh,2,Screened,48.1,44.4,51.8,Total,"48.1 (44.4, 51.8)"
29,Una,Himachal Pradesh,2,Diabetes,9.6,7.8,11.4,Total,"9.6 (7.8, 11.4)"
29,Una,Himachal Pradesh,2,Diagnosed,7.5,5.9,9.1,Total,"7.5 (5.9, 9.1)"
29,Una,Himachal Pradesh,2,Treated,4.8,3.8,5.9,Total,"4.8 (3.8, 5.9)"
29,Una,Himachal Pradesh,2,Controlled,3.7,2.3,5,Total,"3.7 (2.3, 5)"
30,Bilaspur,Himachal Pradesh,2,Screened,48,43.7,52.3,Total,"48 (43.7, 52.3)"
30,Bilaspur,Himachal Pradesh,2,Diabetes,5.1,4.1,6,Total,"5.1 (4.1, 6)"
30,Bilaspur,Himachal Pradesh,2,Diagnosed,3.9,3,4.7,Total,"3.9 (3, 4.7)"
30,Bilaspur,Himachal Pradesh,2,Treated,2.5,1.9,3.2,Total,"2.5 (1.9, 3.2)"
30,Bilaspur,Himachal Pradesh,2,Controlled,2.3,1.6,3.1,Total,"2.3 (1.6, 3.1)"
31,Solan,Himachal Pradesh,2,Screened,47.4,43.6,51.2,Total,"47.4 (43.6, 51.2)"
31,Solan,Himachal Pradesh,2,Diabetes,4,3.2,4.8,Total,"4 (3.2, 4.8)"
31,Solan,Himachal Pradesh,2,Diagnosed,3.4,2.6,4.1,Total,"3.4 (2.6, 4.1)"
31,Solan,Himachal Pradesh,2,Treated,2.9,2.2,3.6,Total,"2.9 (2.2, 3.6)"
31,Solan,Himachal Pradesh,2,Controlled,1.5,1,2,Total,"1.5 (1, 2)"
32,Sirmaur,Himachal Pradesh,2,Screened,56.3,52.3,60.3,Total,"56.3 (52.3, 60.3)"
32,Sirmaur,Himachal Pradesh,2,Diabetes,5.5,3.8,7.3,Total,"5.5 (3.8, 7.3)"
32,Sirmaur,Himachal Pradesh,2,Diagnosed,4.7,2.9,6.5,Total,"4.7 (2.9, 6.5)"
32,Sirmaur,Himachal Pradesh,2,Treated,2.7,1.7,3.7,Total,"2.7 (1.7, 3.7)"
32,Sirmaur,Himachal Pradesh,2,Controlled,3.1,1.9,4.4,Total,"3.1 (1.9, 4.4)"
33,Shimla,Himachal Pradesh,2,Screened,60.6,55.2,66.1,Total,"60.6 (55.2, 66.1)"
33,Shimla,Himachal Pradesh,2,Diabetes,3.6,2.5,4.8,Total,"3.6 (2.5, 4.8)"
33,Shimla,Himachal Pradesh,2,Diagnosed,3.2,2.2,4.2,Total,"3.2 (2.2, 4.2)"
33,Shimla,Himachal Pradesh,2,Treated,2.4,1.6,3.3,Total,"2.4 (1.6, 3.3)"
33,Shimla,Himachal Pradesh,2,Controlled,2.1,1.4,2.8,Total,"2.1 (1.4, 2.8)"
34,Kinnaur,Himachal Pradesh,2,Screened,61.2,55.9,66.4,Total,"61.2 (55.9, 66.4)"
34,Kinnaur,Himachal Pradesh,2,Diabetes,3.2,2.4,4.1,Total,"3.2 (2.4, 4.1)"
34,Kinnaur,Himachal Pradesh,2,Diagnosed,2.8,2,3.6,Total,"2.8 (2, 3.6)"
34,Kinnaur,Himachal Pradesh,2,Treated,1.9,1.2,2.5,Total,"1.9 (1.2, 2.5)"
34,Kinnaur,Himachal Pradesh,2,Controlled,1.9,1.3,2.6,Total,"1.9 (1.3, 2.6)"
36,Kapurthala,Punjab,3,Screened,58.8,52.8,64.9,Total,"58.8 (52.8, 64.9)"
36,Kapurthala,Punjab,3,Diabetes,7,5.8,8.2,Total,"7 (5.8, 8.2)"
36,Kapurthala,Punjab,3,Diagnosed,5.8,4.7,6.9,Total,"5.8 (4.7, 6.9)"
36,Kapurthala,Punjab,3,Treated,4.5,3.5,5.5,Total,"4.5 (3.5, 5.5)"
36,Kapurthala,Punjab,3,Controlled,2.4,1.8,3,Total,"2.4 (1.8, 3)"
37,Jalandhar,Punjab,3,Screened,58,50.6,65.3,Total,"58 (50.6, 65.3)"
37,Jalandhar,Punjab,3,Diabetes,7.9,6.4,9.4,Total,"7.9 (6.4, 9.4)"
37,Jalandhar,Punjab,3,Diagnosed,5.8,4.6,7,Total,"5.8 (4.6, 7)"
37,Jalandhar,Punjab,3,Treated,4.7,3.8,5.7,Total,"4.7 (3.8, 5.7)"
37,Jalandhar,Punjab,3,Controlled,2.4,1.8,3.1,Total,"2.4 (1.8, 3.1)"
38,Hoshiarpur,Punjab,3,Screened,60.5,53.3,67.6,Total,"60.5 (53.3, 67.6)"
38,Hoshiarpur,Punjab,3,Diabetes,5,3.8,6.1,Total,"5 (3.8, 6.1)"
38,Hoshiarpur,Punjab,3,Diagnosed,3.9,2.8,5,Total,"3.9 (2.8, 5)"
38,Hoshiarpur,Punjab,3,Treated,2.6,1.8,3.5,Total,"2.6 (1.8, 3.5)"
38,Hoshiarpur,Punjab,3,Controlled,1.9,1.2,2.5,Total,"1.9 (1.2, 2.5)"
39,Shahid Bhagat Singh Nagar,Punjab,3,Screened,61.3,54,68.6,Total,"61.3 (54, 68.6)"
39,Shahid Bhagat Singh Nagar,Punjab,3,Diabetes,5.3,4,6.5,Total,"5.3 (4, 6.5)"
39,Shahid Bhagat Singh Nagar,Punjab,3,Diagnosed,3.9,2.7,5,Total,"3.9 (2.7, 5)"
39,Shahid Bhagat Singh Nagar,Punjab,3,Treated,3.2,2.1,4.3,Total,"3.2 (2.1, 4.3)"
39,Shahid Bhagat Singh Nagar,Punjab,3,Controlled,1.8,1.1,2.5,Total,"1.8 (1.1, 2.5)"
40,Fatehgarh Sahib,Punjab,3,Screened,62.5,55.9,69,Total,"62.5 (55.9, 69)"
40,Fatehgarh Sahib,Punjab,3,Diabetes,8.2,6.9,9.6,Total,"8.2 (6.9, 9.6)"
40,Fatehgarh Sahib,Punjab,3,Diagnosed,6.8,5.5,8,Total,"6.8 (5.5, 8)"
40,Fatehgarh Sahib,Punjab,3,Treated,5.4,4.3,6.5,Total,"5.4 (4.3, 6.5)"
40,Fatehgarh Sahib,Punjab,3,Controlled,2.7,1.9,3.5,Total,"2.7 (1.9, 3.5)"
41,Ludhiana,Punjab,3,Screened,68.7,61.7,75.6,Total,"68.7 (61.7, 75.6)"
41,Ludhiana,Punjab,3,Diabetes,7.4,5.6,9.2,Total,"7.4 (5.6, 9.2)"
41,Ludhiana,Punjab,3,Diagnosed,6.1,4.5,7.8,Total,"6.1 (4.5, 7.8)"
41,Ludhiana,Punjab,3,Treated,5.2,3.8,6.7,Total,"5.2 (3.8, 6.7)"
41,Ludhiana,Punjab,3,Controlled,2.3,1.6,3.1,Total,"2.3 (1.6, 3.1)"
42,Moga,Punjab,3,Screened,46.8,39.2,54.5,Total,"46.8 (39.2, 54.5)"
42,Moga,Punjab,3,Diabetes,5.8,4.8,6.7,Total,"5.8 (4.8, 6.7)"
42,Moga,Punjab,3,Diagnosed,4.4,3.5,5.3,Total,"4.4 (3.5, 5.3)"
42,Moga,Punjab,3,Treated,3.5,2.7,4.2,Total,"3.5 (2.7, 4.2)"
42,Moga,Punjab,3,Controlled,2.2,1.4,2.9,Total,"2.2 (1.4, 2.9)"
44,Muktsar,Punjab,3,Screened,38.4,31.5,45.3,Total,"38.4 (31.5, 45.3)"
44,Muktsar,Punjab,3,Diabetes,5.4,4.4,6.5,Total,"5.4 (4.4, 6.5)"
44,Muktsar,Punjab,3,Diagnosed,4.1,3.2,5.1,Total,"4.1 (3.2, 5.1)"
44,Muktsar,Punjab,3,Treated,2.6,1.9,3.3,Total,"2.6 (1.9, 3.3)"
44,Muktsar,Punjab,3,Controlled,2.3,1.5,3.1,Total,"2.3 (1.5, 3.1)"
45,Faridkot,Punjab,3,Screened,36.8,32.3,41.3,Total,"36.8 (32.3, 41.3)"
45,Faridkot,Punjab,3,Diabetes,8.5,6.4,10.6,Total,"8.5 (6.4, 10.6)"
45,Faridkot,Punjab,3,Diagnosed,6.8,4.8,8.9,Total,"6.8 (4.8, 8.9)"
45,Faridkot,Punjab,3,Treated,4.3,3.2,5.4,Total,"4.3 (3.2, 5.4)"
45,Faridkot,Punjab,3,Controlled,3.4,1.7,5.1,Total,"3.4 (1.7, 5.1)"
46,Bathinda,Punjab,3,Screened,37.4,32,42.7,Total,"37.4 (32, 42.7)"
46,Bathinda,Punjab,3,Diabetes,7.6,6,9.1,Total,"7.6 (6, 9.1)"
46,Bathinda,Punjab,3,Diagnosed,6.1,4.5,7.8,Total,"6.1 (4.5, 7.8)"
46,Bathinda,Punjab,3,Treated,3.8,2.7,4.9,Total,"3.8 (2.7, 4.9)"
46,Bathinda,Punjab,3,Controlled,3.7,2.4,5,Total,"3.7 (2.4, 5)"
47,Mansa,Punjab,3,Screened,24.6,20.1,29.1,Total,"24.6 (20.1, 29.1)"
47,Mansa,Punjab,3,Diabetes,4.8,3.5,6.1,Total,"4.8 (3.5, 6.1)"
47,Mansa,Punjab,3,Diagnosed,3.5,2.2,4.7,Total,"3.5 (2.2, 4.7)"
47,Mansa,Punjab,3,Treated,2.5,1.5,3.6,Total,"2.5 (1.5, 3.6)"
47,Mansa,Punjab,3,Controlled,1.7,1,2.4,Total,"1.7 (1, 2.4)"
48,Patiala,Punjab,3,Screened,67.5,61.4,73.6,Total,"67.5 (61.4, 73.6)"
48,Patiala,Punjab,3,Diabetes,8.2,6.4,10,Total,"8.2 (6.4, 10)"
48,Patiala,Punjab,3,Diagnosed,6,4.2,7.7,Total,"6 (4.2, 7.7)"
48,Patiala,Punjab,3,Treated,4.8,3.1,6.6,Total,"4.8 (3.1, 6.6)"
48,Patiala,Punjab,3,Controlled,2.2,1.4,3.1,Total,"2.2 (1.4, 3.1)"
49,Amritsar,Punjab,3,Screened,57,50.8,63.3,Total,"57 (50.8, 63.3)"
49,Amritsar,Punjab,3,Diabetes,6.4,4.7,8.2,Total,"6.4 (4.7, 8.2)"
49,Amritsar,Punjab,3,Diagnosed,5.3,3.5,7.1,Total,"5.3 (3.5, 7.1)"
49,Amritsar,Punjab,3,Treated,3.8,2.4,5.1,Total,"3.8 (2.4, 5.1)"
49,Amritsar,Punjab,3,Controlled,2.1,1.2,3.1,Total,"2.1 (1.2, 3.1)"
50,Tarn Taran,Punjab,3,Screened,63.2,55.9,70.5,Total,"63.2 (55.9, 70.5)"
50,Tarn Taran,Punjab,3,Diabetes,4.5,3.6,5.4,Total,"4.5 (3.6, 5.4)"
50,Tarn Taran,Punjab,3,Diagnosed,3,2.1,3.8,Total,"3 (2.1, 3.8)"
50,Tarn Taran,Punjab,3,Treated,2.3,1.7,3,Total,"2.3 (1.7, 3)"
50,Tarn Taran,Punjab,3,Controlled,0.8,0.4,1.2,Total,"0.8 (0.4, 1.2)"
51,Rupnagar,Punjab,3,Screened,69.4,63.7,75.2,Total,"69.4 (63.7, 75.2)"
51,Rupnagar,Punjab,3,Diabetes,9,7.5,10.5,Total,"9 (7.5, 10.5)"
51,Rupnagar,Punjab,3,Diagnosed,7,5.9,8.2,Total,"7 (5.9, 8.2)"
51,Rupnagar,Punjab,3,Treated,6.3,5.2,7.5,Total,"6.3 (5.2, 7.5)"
51,Rupnagar,Punjab,3,Controlled,3.6,2.6,4.5,Total,"3.6 (2.6, 4.5)"
52,Sahibzada Ajit Singh Nagar,Punjab,3,Screened,62.6,54.5,70.7,Total,"62.6 (54.5, 70.7)"
52,Sahibzada Ajit Singh Nagar,Punjab,3,Diabetes,8.4,7,9.7,Total,"8.4 (7, 9.7)"
52,Sahibzada Ajit Singh Nagar,Punjab,3,Diagnosed,6.1,4.9,7.3,Total,"6.1 (4.9, 7.3)"
52,Sahibzada Ajit Singh Nagar,Punjab,3,Treated,5.2,4,6.4,Total,"5.2 (4, 6.4)"
52,Sahibzada Ajit Singh Nagar,Punjab,3,Controlled,2.7,1.8,3.5,Total,"2.7 (1.8, 3.5)"
53,Sangrur,Punjab,3,Screened,31,26.7,35.3,Total,"31 (26.7, 35.3)"
53,Sangrur,Punjab,3,Diabetes,6,4.6,7.5,Total,"6 (4.6, 7.5)"
53,Sangrur,Punjab,3,Diagnosed,4.9,3.4,6.3,Total,"4.9 (3.4, 6.3)"
