state,n5_state,residence,variable,estimate,lci,uci,stratification,strata,est_ci,ST_NM
16,Tripura,Rural,Diabetes,4.3,3.8,4.8,,Total,"4.3 (3.8, 4.8)",Tripura
16,Tripura,Urban,Screened,42.7,37,48.4,,Total,"42.7 (37, 48.4)",Tripura
16,Tripura,Urban,Diabetes,8.2,6.8,9.5,,Total,"8.2 (6.8, 9.5)",Tripura
17,Meghalaya,Rural,Screened,12.4,10.5,14.2,,Total,"12.4 (10.5, 14.2)",Meghalaya
17,Meghalaya,Rural,Diabetes,2.1,1.7,2.6,,Total,"2.1 (1.7, 2.6)",Meghalaya
17,Meghalaya,Urban,Screened,36.2,29.5,42.9,,Total,"36.2 (29.5, 42.9)",Meghalaya
17,Meghalaya,Urban,Diabetes,5.8,4.4,7.2,,Total,"5.8 (4.4, 7.2)",Meghalaya
18,Assam,Rural,Screened,29.5,27.8,31.2,,Total,"29.5 (27.8, 31.2)",Assam
18,Assam,Rural,Diabetes,3.9,3.6,4.2,,Total,"3.9 (3.6, 4.2)",Assam
18,Assam,Urban,Screened,46.4,42.2,50.5,,Total,"46.4 (42.2, 50.5)",Assam
18,Assam,Urban,Diabetes,7.7,6.8,8.6,,Total,"7.7 (6.8, 8.6)",Assam
19,West Bengal,Rural,Screened,22.7,21.3,24.1,,Total,"22.7 (21.3, 24.1)",West Bengal
19,West Bengal,Rural,Diabetes,4.4,4,4.7,,Total,"4.4 (4, 4.7)",West Bengal
19,West Bengal,Urban,Screened,35.1,31.9,38.3,,Total,"35.1 (31.9, 38.3)",West Bengal
19,West Bengal,Urban,Diabetes,6.2,5.6,6.9,,Total,"6.2 (5.6, 6.9)",West Bengal
20,Jharkhand,Rural,Screened,16.7,15.2,18.2,,Total,"16.7 (15.2, 18.2)",Jharkhand
20,Jharkhand,Rural,Diabetes,4.1,3.6,4.6,,Total,"4.1 (3.6, 4.6)",Jharkhand
20,Jharkhand,Urban,Screened,36.5,33,39.9,,Total,"36.5 (33, 39.9)",Jharkhand
20,Jharkhand,Urban,Diabetes,8,6.8,9.1,,Total,"8 (6.8, 9.1)",Jharkhand
21,Odisha,Rural,Screened,19.7,18.6,20.7,,Total,"19.7 (18.6, 20.7)",Odisha
21,Odisha,Rural,Diabetes,4.5,4.2,4.9,,Total,"4.5 (4.2, 4.9)",Odisha
21,Odisha,Urban,Screened,35.5,32.6,38.3,,Total,"35.5 (32.6, 38.3)",Odisha
21,Odisha,Urban,Diabetes,9,7.9,10.2,,Total,"9 (7.9, 10.2)",Odisha
22,Chhattisgarh,Rural,Screened,32.7,30.5,35,,Total,"32.7 (30.5, 35)",Chhattisgarh
22,Chhattisgarh,Rural,Diabetes,3.3,3,3.7,,Total,"3.3 (3, 3.7)",Chhattisgarh
22,Chhattisgarh,Urban,Screened,45.1,40.8,49.5,,Total,"45.1 (40.8, 49.5)",Chhattisgarh
22,Chhattisgarh,Urban,Diabetes,6.9,5.8,8,,Total,"6.9 (5.8, 8)",Chhattisgarh
23,Madhya Pradesh,Rural,Screened,16.8,15.7,17.8,,Total,"16.8 (15.7, 17.8)",Madhya Pradesh
23,Madhya Pradesh,Rural,Diabetes,2.6,2.4,2.7,,Total,"2.6 (2.4, 2.7)",Madhya Pradesh
23,Madhya Pradesh,Urban,Screened,30,27.7,32.4,,Total,"30 (27.7, 32.4)",Madhya Pradesh
23,Madhya Pradesh,Urban,Diabetes,5,4.6,5.5,,Total,"5 (4.6, 5.5)",Madhya Pradesh
24,Gujarat,Rural,Screened,18.7,17.3,20.1,,Total,"18.7 (17.3, 20.1)",Gujarat
24,Gujarat,Rural,Diabetes,3.4,3.2,3.7,,Total,"3.4 (3.2, 3.7)",Gujarat
24,Gujarat,Urban,Screened,36.3,32.9,39.7,,Total,"36.3 (32.9, 39.7)",Gujarat
24,Gujarat,Urban,Diabetes,5.8,5.3,6.2,,Total,"5.8 (5.3, 6.2)",Gujarat
25,Dadra & Nagar Haveli And Daman & Diu,Rural,Screened,29.5,21.8,37.1,,Total,"29.5 (21.8, 37.1)",Dadra & Nagar Haveli And Daman & Diu
25,Dadra & Nagar Haveli And Daman & Diu,Rural,Diabetes,4.4,3.1,5.7,,Total,"4.4 (3.1, 5.7)",Dadra & Nagar Haveli And Daman & Diu
25,Dadra & Nagar Haveli And Daman & Diu,Urban,Screened,29.6,23,36.2,,Total,"29.6 (23, 36.2)",Dadra & Nagar Haveli And Daman & Diu
25,Dadra & Nagar Haveli And Daman & Diu,Urban,Diabetes,7.1,5.3,9,,Total,"7.1 (5.3, 9)",Dadra & Nagar Haveli And Daman & Diu
27,Maharashtra,Rural,Screened,27.1,25.4,28.8,,Total,"27.1 (25.4, 28.8)",Maharashtra
27,Maharashtra,Rural,Diabetes,3.6,3.4,3.8,,Total,"3.6 (3.4, 3.8)",Maharashtra
27,Maharashtra,Urban,Screened,40.5,37.5,43.5,,Total,"40.5 (37.5, 43.5)",Maharashtra
27,Maharashtra,Urban,Diabetes,6.6,6.1,7.2,,Total,"6.6 (6.1, 7.2)",Maharashtra
28,Andhra Pradesh,Rural,Screened,51.9,49,54.7,,Total,"51.9 (49, 54.7)",Andhra Pradesh
28,Andhra Pradesh,Rural,Diabetes,8.4,7.8,8.9,,Total,"8.4 (7.8, 8.9)",Andhra Pradesh
28,Andhra Pradesh,Urban,Screened,56.2,52.3,60.1,,Total,"56.2 (52.3, 60.1)",Andhra Pradesh
28,Andhra Pradesh,Urban,Diabetes,13.3,12.1,14.4,,Total,"13.3 (12.1, 14.4)",Andhra Pradesh
29,Karnataka,Rural,Screened,39.2,37.1,41.3,,Total,"39.2 (37.1, 41.3)",Karnataka
29,Karnataka,Rural,Diabetes,5.3,5,5.6,,Total,"5.3 (5, 5.6)",Karnataka
29,Karnataka,Urban,Screened,44.7,40.5,49,,Total,"44.7 (40.5, 49)",Karnataka
29,Karnataka,Urban,Diabetes,8.6,7.8,9.5,,Total,"8.6 (7.8, 9.5)",Karnataka
30,Goa,Rural,Screened,75.9,68.3,83.6,,Total,"75.9 (68.3, 83.6)",Goa
30,Goa,Rural,Diabetes,10.3,8.8,11.8,,Total,"10.3 (8.8, 11.8)",Goa
30,Goa,Urban,Screened,78.1,73.2,83,,Total,"78.1 (73.2, 83)",Goa
30,Goa,Urban,Diabetes,10.1,8.9,11.4,,Total,"10.1 (8.9, 11.4)",Goa
31,Lakshadweep,Rural,Screened,79.8,73.3,86.4,,Total,"79.8 (73.3, 86.4)",Lakshadweep
31,Lakshadweep,Rural,Diabetes,9.9,7.3,12.4,,Total,"9.9 (7.3, 12.4)",Lakshadweep
31,Lakshadweep,Urban,Screened,85.3,82.6,88.1,,Total,"85.3 (82.6, 88.1)",Lakshadweep
31,Lakshadweep,Urban,Diabetes,9.7,8.1,11.3,,Total,"9.7 (8.1, 11.3)",Lakshadweep
32,Kerala,Rural,Screened,77,75.3,78.7,,Total,"77 (75.3, 78.7)",Kerala
32,Kerala,Rural,Diabetes,14,13.3,14.7,,Total,"14 (13.3, 14.7)",Kerala
32,Kerala,Urban,Screened,79.2,77.5,80.8,,Total,"79.2 (77.5, 80.8)",Kerala
32,Kerala,Urban,Diabetes,13.4,12.7,14.1,,Total,"13.4 (12.7, 14.1)",Kerala
33,Tamil Nadu,Rural,Screened,68.8,67,70.5,,Total,"68.8 (67, 70.5)",Tamil Nadu
33,Tamil Nadu,Rural,Diabetes,11.3,10.3,12.4,,Total,"11.3 (10.3, 12.4)",Tamil Nadu
33,Tamil Nadu,Urban,Screened,72.6,70.8,74.5,,Total,"72.6 (70.8, 74.5)",Tamil Nadu
33,Tamil Nadu,Urban,Diabetes,14.8,13.7,15.9,,Total,"14.8 (13.7, 15.9)",Tamil Nadu
34,Puducherry,Rural,Screened,57.9,50.4,65.3,,Total,"57.9 (50.4, 65.3)",Puducherry
34,Puducherry,Rural,Diabetes,7.9,6.2,9.6,,Total,"7.9 (6.2, 9.6)",Puducherry
34,Puducherry,Urban,Screened,73.9,69.7,78,,Total,"73.9 (69.7, 78)",Puducherry
34,Puducherry,Urban,Diabetes,13.6,11.9,15.2,,Total,"13.6 (11.9, 15.2)",Puducherry
35,Andaman & Nicobar Islands,Rural,Screened,77.2,74.1,80.4,,Total,"77.2 (74.1, 80.4)",Andaman & Nicobar
35,Andaman & Nicobar Islands,Rural,Diabetes,7.5,6.2,8.8,,Total,"7.5 (6.2, 8.8)",Andaman & Nicobar
35,Andaman & Nicobar Islands,Urban,Screened,75,70.4,79.5,,Total,"75 (70.4, 79.5)",Andaman & Nicobar
35,Andaman & Nicobar Islands,Urban,Diabetes,9.9,8.3,11.6,,Total,"9.9 (8.3, 11.6)",Andaman & Nicobar
36,Telangana,Rural,Screened,48.1,46.1,50.1,,Total,"48.1 (46.1, 50.1)",Telangana
36,Telangana,Rural,Diabetes,6.1,5.8,6.4,,Total,"6.1 (5.8, 6.4)",Telangana
36,Telangana,Urban,Screened,60.8,57.6,64,,Total,"60.8 (57.6, 64)",Telangana
36,Telangana,Urban,Diabetes,11.5,10.7,12.4,,Total,"11.5 (10.7, 12.4)",Telangana
37,Ladakh,Rural,Screened,54.5,48.6,60.5,,Total,"54.5 (48.6, 60.5)",Ladakh
37,Ladakh,Rural,Diabetes,6.8,3.3,10.2,,Total,"6.8 (3.3, 10.2)",Ladakh
37,Ladakh,Urban,Screened,60.2,48.8,71.7,,Total,"60.2 (48.8, 71.7)",Ladakh
37,Ladakh,Urban,Diabetes,10,1.6,18.3,,Total,"10 (1.6, 18.3)",Ladakh
1,Jammu & Kashmir,Rural,Screened,56.6,54.2,58.9,sex,Female,"56.6 (54.2, 58.9)",Jammu & Kashmir
1,Jammu & Kashmir,Rural,Diabetes,4.8,4.3,5.3,sex,Female,"4.8 (4.3, 5.3)",Jammu & Kashmir
1,Jammu & Kashmir,Rural,Screened,49,46.6,51.4,sex,Male,"49 (46.6, 51.4)",Jammu & Kashmir
1,Jammu & Kashmir,Rural,Diabetes,3.5,3.1,4,sex,Male,"3.5 (3.1, 4)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Screened,61,56.5,65.4,sex,Female,"61 (56.5, 65.4)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Diabetes,5.8,4.8,6.9,sex,Female,"5.8 (4.8, 6.9)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Screened,52.4,47.8,57.1,sex,Male,"52.4 (47.8, 57.1)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Diabetes,4.2,3.4,5.1,sex,Male,"4.2 (3.4, 5.1)",Jammu & Kashmir
2,Himachal Pradesh,Rural,Screened,55.7,53.4,58,sex,Female,"55.7 (53.4, 58)",Himachal Pradesh
2,Himachal Pradesh,Rural,Diabetes,5.7,4.9,6.4,sex,Female,"5.7 (4.9, 6.4)",Himachal Pradesh
2,Himachal Pradesh,Rural,Screened,42.4,40.1,44.7,sex,Male,"42.4 (40.1, 44.7)",Himachal Pradesh
2,Himachal Pradesh,Rural,Diabetes,4.6,4,5.1,sex,Male,"4.6 (4, 5.1)",Himachal Pradesh
2,Himachal Pradesh,Urban,Screened,64.1,58,70.3,sex,Female,"64.1 (58, 70.3)",Himachal Pradesh
2,Himachal Pradesh,Urban,Diabetes,8,6.1,10,sex,Female,"8 (6.1, 10)",Himachal Pradesh
2,Himachal Pradesh,Urban,Screened,51.2,45.5,57,sex,Male,"51.2 (45.5, 57)",Himachal Pradesh
2,Himachal Pradesh,Urban,Diabetes,6.3,4.3,8.3,sex,Male,"6.3 (4.3, 8.3)",Himachal Pradesh
3,Punjab,Rural,Screened,55.4,53,57.7,sex,Female,"55.4 (53, 57.7)",Punjab
3,Punjab,Rural,Diabetes,7.1,6.6,7.6,sex,Female,"7.1 (6.6, 7.6)",Punjab
3,Punjab,Rural,Screened,45.4,43.1,47.7,sex,Male,"45.4 (43.1, 47.7)",Punjab
3,Punjab,Rural,Diabetes,5.1,4.7,5.5,sex,Male,"5.1 (4.7, 5.5)",Punjab
3,Punjab,Urban,Screened,62.8,59.7,65.9,sex,Female,"62.8 (59.7, 65.9)",Punjab
3,Punjab,Urban,Diabetes,8.6,7.7,9.5,sex,Female,"8.6 (7.7, 9.5)",Punjab
3,Punjab,Urban,Screened,53.8,50.4,57.2,sex,Male,"53.8 (50.4, 57.2)",Punjab
3,Punjab,Urban,Diabetes,7.1,6.2,8.1,sex,Male,"7.1 (6.2, 8.1)",Punjab
4,Chandigarh,Rural,Screened,56.8,56.8,56.8,sex,Female,"56.8 (56.8, 56.8)",Chandigarh
4,Chandigarh,Rural,Diabetes,16.9,16.9,16.9,sex,Female,"16.9 (16.9, 16.9)",Chandigarh
4,Chandigarh,Rural,Screened,46.7,46.7,46.7,sex,Male,"46.7 (46.7, 46.7)",Chandigarh
4,Chandigarh,Rural,Diabetes,3.9,3.9,3.9,sex,Male,"3.9 (3.9, 3.9)",Chandigarh
4,Chandigarh,Urban,Screened,67.7,60,75.4,sex,Female,"67.7 (60, 75.4)",Chandigarh
4,Chandigarh,Urban,Diabetes,11.2,8.5,13.8,sex,Female,"11.2 (8.5, 13.8)",Chandigarh
4,Chandigarh,Urban,Screened,58.8,49.8,67.8,sex,Male,"58.8 (49.8, 67.8)",Chandigarh
4,Chandigarh,Urban,Diabetes,7.8,5.6,10,sex,Male,"7.8 (5.6, 10)",Chandigarh
5,Uttarakhand,Rural,Screened,35.5,32.8,38.3,sex,Female,"35.5 (32.8, 38.3)",Uttarakhand
5,Uttarakhand,Rural,Diabetes,3.9,3.4,4.4,sex,Female,"3.9 (3.4, 4.4)",Uttarakhand
5,Uttarakhand,Rural,Screened,32.2,29.6,34.8,sex,Male,"32.2 (29.6, 34.8)",Uttarakhand
5,Uttarakhand,Rural,Diabetes,5.5,4.8,6.2,sex,Male,"5.5 (4.8, 6.2)",Uttarakhand
5,Uttarakhand,Urban,Screened,53.8,48.4,59.1,sex,Female,"53.8 (48.4, 59.1)",Uttarakhand
5,Uttarakhand,Urban,Diabetes,9.5,8.2,10.8,sex,Female,"9.5 (8.2, 10.8)",Uttarakhand
5,Uttarakhand,Urban,Screened,46.1,41.2,50.9,sex,Male,"46.1 (41.2, 50.9)",Uttarakhand
5,Uttarakhand,Urban,Diabetes,9.9,8.2,11.7,sex,Male,"9.9 (8.2, 11.7)",Uttarakhand
6,Haryana,Rural,Screened,46,44.1,47.8,sex,Female,"46 (44.1, 47.8)",Haryana
6,Haryana,Rural,Diabetes,5.2,4.6,5.8,sex,Female,"5.2 (4.6, 5.8)",Haryana
6,Haryana,Rural,Screened,35.8,34.1,37.6,sex,Male,"35.8 (34.1, 37.6)",Haryana
6,Haryana,Rural,Diabetes,5,4.5,5.5,sex,Male,"5 (4.5, 5.5)",Haryana
6,Haryana,Urban,Screened,56.4,53.7,59.1,sex,Female,"56.4 (53.7, 59.1)",Haryana
6,Haryana,Urban,Diabetes,8.5,7.5,9.6,sex,Female,"8.5 (7.5, 9.6)",Haryana
6,Haryana,Urban,Screened,46.6,43.8,49.3,sex,Male,"46.6 (43.8, 49.3)",Haryana
6,Haryana,Urban,Diabetes,7.8,6.8,8.9,sex,Male,"7.8 (6.8, 8.9)",Haryana
7,Nct Of Delhi,Rural,Screened,75.1,61.6,88.5,sex,Female,"75.1 (61.6, 88.5)",Delhi
7,Nct Of Delhi,Rural,Diabetes,7.1,0.3,14,sex,Female,"7.1 (0.3, 14)",Delhi
7,Nct Of Delhi,Rural,Screened,68.4,56.1,80.7,sex,Male,"68.4 (56.1, 80.7)",Delhi
7,Nct Of Delhi,Rural,Diabetes,7.6,3.5,11.8,sex,Male,"7.6 (3.5, 11.8)",Delhi
7,Nct Of Delhi,Urban,Screened,64.6,62.6,66.6,sex,Female,"64.6 (62.6, 66.6)",Delhi
7,Nct Of Delhi,Urban,Diabetes,9,8.3,9.6,sex,Female,"9 (8.3, 9.6)",Delhi
7,Nct Of Delhi,Urban,Screened,55.8,53.5,58.2,sex,Male,"55.8 (53.5, 58.2)",Delhi
7,Nct Of Delhi,Urban,Diabetes,8.8,8,9.5,sex,Male,"8.8 (8, 9.5)",Delhi
8,Rajasthan,Rural,Screened,17.9,16.4,19.3,sex,Female,"17.9 (16.4, 19.3)",Rajasthan
8,Rajasthan,Rural,Diabetes,2.4,2.1,2.6,sex,Female,"2.4 (2.1, 2.6)",Rajasthan
8,Rajasthan,Rural,Screened,15.5,14.2,16.9,sex,Male,"15.5 (14.2, 16.9)",Rajasthan
8,Rajasthan,Rural,Diabetes,2.5,2.2,2.8,sex,Male,"2.5 (2.2, 2.8)",Rajasthan
8,Rajasthan,Urban,Screened,29.4,26.6,32.3,sex,Female,"29.4 (26.6, 32.3)",Rajasthan
8,Rajasthan,Urban,Diabetes,4.9,4.2,5.7,sex,Female,"4.9 (4.2, 5.7)",Rajasthan
8,Rajasthan,Urban,Screened,26.8,24,29.6,sex,Male,"26.8 (24, 29.6)",Rajasthan
8,Rajasthan,Urban,Diabetes,5,4.2,5.9,sex,Male,"5 (4.2, 5.9)",Rajasthan
9,Uttar Pradesh,Rural,Screened,25.2,24.3,26.1,sex,Female,"25.2 (24.3, 26.1)",Uttar Pradesh
9,Uttar Pradesh,Rural,Diabetes,4.5,4.3,4.8,sex,Female,"4.5 (4.3, 4.8)",Uttar Pradesh
9,Uttar Pradesh,Rural,Screened,22.7,21.8,23.5,sex,Male,"22.7 (21.8, 23.5)",Uttar Pradesh
9,Uttar Pradesh,Rural,Diabetes,4.4,4.1,4.6,sex,Male,"4.4 (4.1, 4.6)",Uttar Pradesh
9,Uttar Pradesh,Urban,Screened,35.5,33.4,37.6,sex,Female,"35.5 (33.4, 37.6)",Uttar Pradesh
9,Uttar Pradesh,Urban,Diabetes,5.9,5.3,6.5,sex,Female,"5.9 (5.3, 6.5)",Uttar Pradesh
9,Uttar Pradesh,Urban,Screened,30.9,29,32.8,sex,Male,"30.9 (29, 32.8)",Uttar Pradesh
9,Uttar Pradesh,Urban,Diabetes,6.2,5.6,6.8,sex,Male,"6.2 (5.6, 6.8)",Uttar Pradesh
10,Bihar,Rural,Screened,13.1,12.3,13.9,sex,Female,"13.1 (12.3, 13.9)",Bihar
10,Bihar,Rural,Diabetes,4.3,4,4.6,sex,Female,"4.3 (4, 4.6)",Bihar
10,Bihar,Rural,Screened,14.2,13.5,15,sex,Male,"14.2 (13.5, 15)",Bihar
10,Bihar,Rural,Diabetes,5.1,4.7,5.4,sex,Male,"5.1 (4.7, 5.4)",Bihar
10,Bihar,Urban,Screened,28.8,25.1,32.5,sex,Female,"28.8 (25.1, 32.5)",Bihar
10,Bihar,Urban,Diabetes,8.8,7.6,10,sex,Female,"8.8 (7.6, 10)",Bihar
10,Bihar,Urban,Screened,27.7,24.6,30.8,sex,Male,"27.7 (24.6, 30.8)",Bihar
10,Bihar,Urban,Diabetes,8.4,6.8,9.9,sex,Male,"8.4 (6.8, 9.9)",Bihar
11,Sikkim,Rural,Screened,40.2,37,43.4,sex,Female,"40.2 (37, 43.4)",Sikkim
11,Sikkim,Rural,Diabetes,4.6,3.6,5.6,sex,Female,"4.6 (3.6, 5.6)",Sikkim
11,Sikkim,Rural,Screened,32.9,30.1,35.6,sex,Male,"32.9 (30.1, 35.6)",Sikkim
11,Sikkim,Rural,Diabetes,4.9,3.8,6.1,sex,Male,"4.9 (3.8, 6.1)",Sikkim
11,Sikkim,Urban,Screened,44.9,36.3,53.5,sex,Female,"44.9 (36.3, 53.5)",Sikkim
11,Sikkim,Urban,Diabetes,9.5,6.6,12.4,sex,Female,"9.5 (6.6, 12.4)",Sikkim
11,Sikkim,Urban,Screened,43,35.2,50.8,sex,Male,"43 (35.2, 50.8)",Sikkim
11,Sikkim,Urban,Diabetes,8.6,4.6,12.5,sex,Male,"8.6 (4.6, 12.5)",Sikkim
12,Arunachal Pradesh,Rural,Screened,30.6,28.3,32.9,sex,Female,"30.6 (28.3, 32.9)",Arunachal Pradesh
12,Arunachal Pradesh,Rural,Diabetes,2.9,2.3,3.5,sex,Female,"2.9 (2.3, 3.5)",Arunachal Pradesh
12,Arunachal Pradesh,Rural,Screened,29.1,26.9,31.4,sex,Male,"29.1 (26.9, 31.4)",Arunachal Pradesh
12,Arunachal Pradesh,Rural,Diabetes,3.5,2.8,4.1,sex,Male,"3.5 (2.8, 4.1)",Arunachal Pradesh
12,Arunachal Pradesh,Urban,Screened,38.1,33.9,42.3,sex,Female,"38.1 (33.9, 42.3)",Arunachal Pradesh
12,Arunachal Pradesh,Urban,Diabetes,6.2,4.7,7.6,sex,Female,"6.2 (4.7, 7.6)",Arunachal Pradesh
12,Arunachal Pradesh,Urban,Screened,37.2,32.8,41.6,sex,Male,"37.2 (32.8, 41.6)",Arunachal Pradesh
12,Arunachal Pradesh,Urban,Diabetes,7.1,5.6,8.7,sex,Male,"7.1 (5.6, 8.7)",Arunachal Pradesh
