state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
12,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",35952,,NA
12,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",35952,,NA
12,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",35952,,NA
12,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",35952,,NA
12,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",35952,,NA
12,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",8290,,NA
12,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",8290,,NA
12,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",8290,,NA
12,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",8290,,NA
12,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",8290,,NA
13,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",17397,,NA
13,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",17397,,NA
13,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",17397,,NA
13,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",17397,,NA
13,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",17397,,NA
13,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",5830,,NA
13,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",5830,,NA
13,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",5830,,NA
13,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",5830,,NA
13,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",5830,,NA
14,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",14815,,NA
14,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",14815,,NA
14,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",14815,,NA
14,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",14815,,NA
14,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",14815,,NA
14,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",5397,,NA
14,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",5397,,NA
14,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",5397,,NA
14,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",5397,,NA
14,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",5397,,NA
15,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",10466,,NA
15,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",10466,,NA
15,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",10466,,NA
15,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",10466,,NA
15,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",10466,,NA
15,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",7920,,NA
15,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",7920,,NA
15,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",7920,,NA
15,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",7920,,NA
15,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",7920,,NA
16,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",13968,,NA
16,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",13968,,NA
16,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",13968,,NA
16,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",13968,,NA
16,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",13968,,NA
16,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",3354,,NA
16,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",3354,,NA
16,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",3354,,NA
16,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",3354,,NA
16,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",3354,,NA
17,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",22715,,NA
17,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",22715,,NA
17,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",22715,,NA
17,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",22715,,NA
17,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",22715,,NA
17,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",2848,,NA
17,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",2848,,NA
17,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",2848,,NA
17,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",2848,,NA
17,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",2848,,NA
18,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",67880,,NA
18,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",67880,,NA
18,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",67880,,NA
18,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",67880,,NA
18,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",67880,,NA
18,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",9775,,NA
18,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",9775,,NA
18,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",9775,,NA
18,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",9775,,NA
18,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",9775,,NA
19,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",32955,,NA
19,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",32955,,NA
19,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",32955,,NA
19,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",32955,,NA
19,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",32955,,NA
19,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",14805,,NA
19,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",14805,,NA
19,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",14805,,NA
19,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",14805,,NA
19,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",14805,,NA
20,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",45256,,NA
20,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",45256,,NA
20,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",45256,,NA
20,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",45256,,NA
20,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",45256,,NA
20,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",11370,,NA
20,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",11370,,NA
20,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",11370,,NA
20,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",11370,,NA
20,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",11370,,NA
21,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",57491,,NA
21,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",57491,,NA
21,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",57491,,NA
21,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",57491,,NA
21,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",57491,,NA
21,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",9261,,NA
21,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",9261,,NA
21,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",9261,,NA
21,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",9261,,NA
21,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",9261,,NA
22,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",52610,,NA
22,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",52610,,NA
22,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",52610,,NA
22,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",52610,,NA
22,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",52610,,NA
22,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",12243,,NA
22,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",12243,,NA
22,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",12243,,NA
22,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",12243,,NA
22,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",12243,,NA
23,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",86958,,NA
23,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",86958,,NA
23,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",86958,,NA
23,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",86958,,NA
23,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",86958,,NA
23,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",22639,,NA
23,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",22639,,NA
23,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",22639,,NA
23,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",22639,,NA
23,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",22639,,NA
24,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",59343,,NA
24,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",59343,,NA
24,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",59343,,NA
24,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",59343,,NA
24,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",59343,,NA
24,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",26811,,NA
24,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",26811,,NA
24,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",26811,,NA
24,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",26811,,NA
24,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",26811,,NA
25,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",2908,,NA
25,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",2908,,NA
25,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",2908,,NA
25,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",2908,,NA
25,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",2908,,NA
25,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",3463,,NA
25,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",3463,,NA
25,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",3463,,NA
25,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",3463,,NA
25,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",3463,,NA
27,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",60891,,NA
27,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",60891,,NA
27,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",60891,,NA
27,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",60891,,NA
27,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",60891,,NA
27,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",27328,,NA
27,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",27328,,NA
27,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",27328,,NA
27,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",27328,,NA
27,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",27328,,NA
28,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",19143,,NA
28,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",19143,,NA
28,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",19143,,NA
28,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",19143,,NA
28,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",19143,,NA
28,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",7363,,NA
28,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",7363,,NA
28,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",7363,,NA
28,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",7363,,NA
28,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",7363,,NA
29,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",52477,,NA
29,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",52477,,NA
29,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",52477,,NA
29,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",52477,,NA
29,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",52477,,NA
29,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",20340,,NA
29,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",20340,,NA
29,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",20340,,NA
29,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",20340,,NA
29,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",20340,,NA
30,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",1928,,NA
30,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",1928,,NA
30,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",1928,,NA
30,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",1928,,NA
30,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",1928,,NA
30,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",3006,,NA
30,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",3006,,NA
30,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",3006,,NA
30,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",3006,,NA
30,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",3006,,NA
31,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",611,,NA
31,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",611,,NA
31,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",611,,NA
31,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",611,,NA
31,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",611,,NA
31,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",2248,,NA
31,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",2248,,NA
31,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",2248,,NA
