Level1,Level2,Level3,Level4,Level5,ST_NM,estimate,lci,uci,est_ci,nfhs5_statecode,nfhs5_statename
Crude,Rural,Diabetes,Sex,Female,Punjab,7.1,6.6,7.6,"7.1 (6.6, 7.6)",3,Punjab
Crude,Rural,Diabetes,Sex,Male,Punjab,5.2,4.7,5.6,"5.2 (4.7, 5.6)",3,Punjab
Crude,Urban,Diabetes,Sex,Female,Punjab,8.7,7.8,9.6,"8.7 (7.8, 9.6)",3,Punjab
Crude,Urban,Diabetes,Sex,Male,Punjab,7.3,6.3,8.3,"7.3 (6.3, 8.3)",3,Punjab
Crude,Rural,Diabetes,Sex,Female,Chandigarh,12.5,12.5,12.5,"12.5 (12.5, 12.5)",4,Chandigarh
Crude,Rural,Diabetes,Sex,Male,Chandigarh,5,5,5,"5 (5, 5)",4,Chandigarh
Crude,Urban,Diabetes,Sex,Female,Chandigarh,10.6,8.1,13.2,"10.6 (8.1, 13.2)",4,Chandigarh
Crude,Urban,Diabetes,Sex,Male,Chandigarh,7.4,5.2,9.6,"7.4 (5.2, 9.6)",4,Chandigarh
Crude,Rural,Diabetes,Sex,Female,Uttarakhand,4,3.5,4.5,"4 (3.5, 4.5)",5,Uttarakhand
Crude,Rural,Diabetes,Sex,Male,Uttarakhand,5.5,4.8,6.2,"5.5 (4.8, 6.2)",5,Uttarakhand
Crude,Urban,Diabetes,Sex,Female,Uttarakhand,9,7.6,10.3,"9 (7.6, 10.3)",5,Uttarakhand
Crude,Urban,Diabetes,Sex,Male,Uttarakhand,9.3,7.5,11,"9.3 (7.5, 11)",5,Uttarakhand
Crude,Rural,Diabetes,Sex,Female,Haryana,5.1,4.5,5.6,"5.1 (4.5, 5.6)",6,Haryana
Crude,Rural,Diabetes,Sex,Male,Haryana,4.8,4.3,5.3,"4.8 (4.3, 5.3)",6,Haryana
Crude,Urban,Diabetes,Sex,Female,Haryana,8.1,7,9.2,"8.1 (7, 9.2)",6,Haryana
Crude,Urban,Diabetes,Sex,Male,Haryana,7.4,6.4,8.5,"7.4 (6.4, 8.5)",6,Haryana
Crude,Rural,Diabetes,Sex,Female,Delhi,6,0.2,11.8,"6 (0.2, 11.8)",7,Nct Of Delhi
Crude,Rural,Diabetes,Sex,Male,Delhi,6.4,2.5,10.3,"6.4 (2.5, 10.3)",7,Nct Of Delhi
Crude,Urban,Diabetes,Sex,Female,Delhi,7.8,7.2,8.4,"7.8 (7.2, 8.4)",7,Nct Of Delhi
Crude,Urban,Diabetes,Sex,Male,Delhi,7.6,7,8.3,"7.6 (7, 8.3)",7,Nct Of Delhi
Crude,Rural,Diabetes,Sex,Female,Rajasthan,2.3,2,2.5,"2.3 (2, 2.5)",8,Rajasthan
Crude,Rural,Diabetes,Sex,Male,Rajasthan,2.4,2.1,2.7,"2.4 (2.1, 2.7)",8,Rajasthan
Crude,Urban,Diabetes,Sex,Female,Rajasthan,4.7,3.9,5.4,"4.7 (3.9, 5.4)",8,Rajasthan
Crude,Urban,Diabetes,Sex,Male,Rajasthan,4.7,3.9,5.6,"4.7 (3.9, 5.6)",8,Rajasthan
Crude,Rural,Diabetes,Sex,Female,Uttar Pradesh,4.4,4.1,4.6,"4.4 (4.1, 4.6)",9,Uttar Pradesh
Crude,Rural,Diabetes,Sex,Male,Uttar Pradesh,4.2,3.9,4.5,"4.2 (3.9, 4.5)",9,Uttar Pradesh
Crude,Urban,Diabetes,Sex,Female,Uttar Pradesh,5.5,4.9,6,"5.5 (4.9, 6)",9,Uttar Pradesh
Crude,Urban,Diabetes,Sex,Male,Uttar Pradesh,5.7,5.2,6.3,"5.7 (5.2, 6.3)",9,Uttar Pradesh
Crude,Rural,Diabetes,Sex,Female,Bihar,4.3,4,4.6,"4.3 (4, 4.6)",10,Bihar
Crude,Rural,Diabetes,Sex,Male,Bihar,5.1,4.7,5.4,"5.1 (4.7, 5.4)",10,Bihar
Crude,Urban,Diabetes,Sex,Female,Bihar,8.6,7.4,9.8,"8.6 (7.4, 9.8)",10,Bihar
Crude,Urban,Diabetes,Sex,Male,Bihar,8.1,6.5,9.7,"8.1 (6.5, 9.7)",10,Bihar
Crude,Rural,Diabetes,Sex,Female,Sikkim,4.4,3.4,5.4,"4.4 (3.4, 5.4)",11,Sikkim
Crude,Rural,Diabetes,Sex,Male,Sikkim,4.8,3.7,6,"4.8 (3.7, 6)",11,Sikkim
Crude,Urban,Diabetes,Sex,Female,Sikkim,7.4,4.8,9.9,"7.4 (4.8, 9.9)",11,Sikkim
Crude,Urban,Diabetes,Sex,Male,Sikkim,6.8,3.5,10.1,"6.8 (3.5, 10.1)",11,Sikkim
Crude,Rural,Diabetes,Sex,Female,Arunachal Pradesh,2.8,2.3,3.4,"2.8 (2.3, 3.4)",12,Arunachal Pradesh
Crude,Rural,Diabetes,Sex,Male,Arunachal Pradesh,3.4,2.7,4,"3.4 (2.7, 4)",12,Arunachal Pradesh
Crude,Urban,Diabetes,Sex,Female,Arunachal Pradesh,5.9,4.5,7.4,"5.9 (4.5, 7.4)",12,Arunachal Pradesh
Crude,Urban,Diabetes,Sex,Male,Arunachal Pradesh,6.3,4.9,7.8,"6.3 (4.9, 7.8)",12,Arunachal Pradesh
Crude,Rural,Diabetes,Sex,Female,Nagaland,2,1.6,2.4,"2 (1.6, 2.4)",13,Nagaland
Crude,Rural,Diabetes,Sex,Male,Nagaland,2.3,1.8,2.9,"2.3 (1.8, 2.9)",13,Nagaland
Crude,Urban,Diabetes,Sex,Female,Nagaland,4,2.5,5.5,"4 (2.5, 5.5)",13,Nagaland
Crude,Urban,Diabetes,Sex,Male,Nagaland,5.1,3.7,6.6,"5.1 (3.7, 6.6)",13,Nagaland
Crude,Rural,Diabetes,Sex,Female,Manipur,4.8,4.1,5.5,"4.8 (4.1, 5.5)",14,Manipur
Crude,Rural,Diabetes,Sex,Male,Manipur,5.2,4.4,6.1,"5.2 (4.4, 6.1)",14,Manipur
Crude,Urban,Diabetes,Sex,Female,Manipur,8,6.7,9.3,"8 (6.7, 9.3)",14,Manipur
Crude,Urban,Diabetes,Sex,Male,Manipur,9.1,7.3,10.8,"9.1 (7.3, 10.8)",14,Manipur
Crude,Rural,Diabetes,Sex,Female,Mizoram,4.1,3,5.3,"4.1 (3, 5.3)",15,Mizoram
Crude,Rural,Diabetes,Sex,Male,Mizoram,3.3,2.7,4,"3.3 (2.7, 4)",15,Mizoram
Crude,Urban,Diabetes,Sex,Female,Mizoram,6.3,5.1,7.5,"6.3 (5.1, 7.5)",15,Mizoram
Crude,Urban,Diabetes,Sex,Male,Mizoram,7.4,5.8,9.1,"7.4 (5.8, 9.1)",15,Mizoram
Crude,Rural,Diabetes,Sex,Female,Tripura,4.4,3.7,5,"4.4 (3.7, 5)",16,Tripura
Crude,Rural,Diabetes,Sex,Male,Tripura,4,3.4,4.6,"4 (3.4, 4.6)",16,Tripura
Crude,Urban,Diabetes,Sex,Female,Tripura,7.6,5.9,9.4,"7.6 (5.9, 9.4)",16,Tripura
Crude,Urban,Diabetes,Sex,Male,Tripura,9.2,6.8,11.5,"9.2 (6.8, 11.5)",16,Tripura
Crude,Rural,Diabetes,Sex,Female,Meghalaya,1.9,1.5,2.3,"1.9 (1.5, 2.3)",17,Meghalaya
Crude,Rural,Diabetes,Sex,Male,Meghalaya,1.4,1,1.7,"1.4 (1, 1.7)",17,Meghalaya
Crude,Urban,Diabetes,Sex,Female,Meghalaya,5.2,3.9,6.6,"5.2 (3.9, 6.6)",17,Meghalaya
Crude,Urban,Diabetes,Sex,Male,Meghalaya,4.2,2.7,5.7,"4.2 (2.7, 5.7)",17,Meghalaya
Crude,Rural,Diabetes,Sex,Female,Assam,3.4,3.1,3.7,"3.4 (3.1, 3.7)",18,Assam
Crude,Rural,Diabetes,Sex,Male,Assam,3.9,3.5,4.2,"3.9 (3.5, 4.2)",18,Assam
Crude,Urban,Diabetes,Sex,Female,Assam,6.2,5.4,7.1,"6.2 (5.4, 7.1)",18,Assam
Crude,Urban,Diabetes,Sex,Male,Assam,8.7,7.4,9.9,"8.7 (7.4, 9.9)",18,Assam
Crude,Rural,Diabetes,Sex,Female,West Bengal,4,3.6,4.3,"4 (3.6, 4.3)",19,West Bengal
Crude,Rural,Diabetes,Sex,Male,West Bengal,4.5,4.1,4.9,"4.5 (4.1, 4.9)",19,West Bengal
Crude,Urban,Diabetes,Sex,Female,West Bengal,6.1,5.3,7,"6.1 (5.3, 7)",19,West Bengal
Crude,Urban,Diabetes,Sex,Male,West Bengal,6.4,5.7,7.2,"6.4 (5.7, 7.2)",19,West Bengal
Crude,Rural,Diabetes,Sex,Female,Jharkhand,3.5,3,4,"3.5 (3, 4)",20,Jharkhand
Crude,Rural,Diabetes,Sex,Male,Jharkhand,4.4,3.8,5,"4.4 (3.8, 5)",20,Jharkhand
Crude,Urban,Diabetes,Sex,Female,Jharkhand,7.2,6.1,8.4,"7.2 (6.1, 8.4)",20,Jharkhand
Crude,Urban,Diabetes,Sex,Male,Jharkhand,8,6.6,9.3,"8 (6.6, 9.3)",20,Jharkhand
Crude,Rural,Diabetes,Sex,Female,Odisha,4.3,3.9,4.7,"4.3 (3.9, 4.7)",21,Odisha
Crude,Rural,Diabetes,Sex,Male,Odisha,5.2,4.8,5.6,"5.2 (4.8, 5.6)",21,Odisha
Crude,Urban,Diabetes,Sex,Female,Odisha,8.2,7,9.4,"8.2 (7, 9.4)",21,Odisha
Crude,Urban,Diabetes,Sex,Male,Odisha,10.2,8.9,11.5,"10.2 (8.9, 11.5)",21,Odisha
Crude,Rural,Diabetes,Sex,Female,Chhattisgarh,3.1,2.6,3.5,"3.1 (2.6, 3.5)",22,Chhattisgarh
Crude,Rural,Diabetes,Sex,Male,Chhattisgarh,3.4,3.1,3.8,"3.4 (3.1, 3.8)",22,Chhattisgarh
Crude,Urban,Diabetes,Sex,Female,Chhattisgarh,6.1,5.1,7.2,"6.1 (5.1, 7.2)",22,Chhattisgarh
Crude,Urban,Diabetes,Sex,Male,Chhattisgarh,6.5,5.3,7.7,"6.5 (5.3, 7.7)",22,Chhattisgarh
Crude,Rural,Diabetes,Sex,Female,Madhya Pradesh,2.4,2.2,2.6,"2.4 (2.2, 2.6)",23,Madhya Pradesh
Crude,Rural,Diabetes,Sex,Male,Madhya Pradesh,2.6,2.4,2.8,"2.6 (2.4, 2.8)",23,Madhya Pradesh
Crude,Urban,Diabetes,Sex,Female,Madhya Pradesh,4.5,4,5,"4.5 (4, 5)",23,Madhya Pradesh
Crude,Urban,Diabetes,Sex,Male,Madhya Pradesh,5.2,4.5,5.8,"5.2 (4.5, 5.8)",23,Madhya Pradesh
Crude,Rural,Diabetes,Sex,Female,Gujarat,3.1,2.9,3.4,"3.1 (2.9, 3.4)",24,Gujarat
Crude,Rural,Diabetes,Sex,Male,Gujarat,3.8,3.5,4.1,"3.8 (3.5, 4.1)",24,Gujarat
Crude,Urban,Diabetes,Sex,Female,Gujarat,6.3,5.7,6.9,"6.3 (5.7, 6.9)",24,Gujarat
Crude,Urban,Diabetes,Sex,Male,Gujarat,5.2,4.6,5.7,"5.2 (4.6, 5.7)",24,Gujarat
Crude,Rural,Diabetes,Sex,Female,Dadra & Nagar Haveli And Daman & Diu,3.9,2.4,5.5,"3.9 (2.4, 5.5)",25,Dadra & Nagar Haveli And Daman & Diu
Crude,Rural,Diabetes,Sex,Male,Dadra & Nagar Haveli And Daman & Diu,3.8,2.4,5.3,"3.8 (2.4, 5.3)",25,Dadra & Nagar Haveli And Daman & Diu
Crude,Urban,Diabetes,Sex,Female,Dadra & Nagar Haveli And Daman & Diu,5.1,3.4,6.8,"5.1 (3.4, 6.8)",25,Dadra & Nagar Haveli And Daman & Diu
Crude,Urban,Diabetes,Sex,Male,Dadra & Nagar Haveli And Daman & Diu,5.6,4.1,7,"5.6 (4.1, 7)",25,Dadra & Nagar Haveli And Daman & Diu
Crude,Rural,Diabetes,Sex,Female,Maharashtra,3.5,3.2,3.8,"3.5 (3.2, 3.8)",27,Maharashtra
Crude,Rural,Diabetes,Sex,Male,Maharashtra,4.1,3.7,4.4,"4.1 (3.7, 4.4)",27,Maharashtra
Crude,Urban,Diabetes,Sex,Female,Maharashtra,7,6.3,7.6,"7 (6.3, 7.6)",27,Maharashtra
Crude,Urban,Diabetes,Sex,Male,Maharashtra,6.3,5.6,7,"6.3 (5.6, 7)",27,Maharashtra
Crude,Rural,Diabetes,Sex,Female,Andhra Pradesh,8.4,7.7,9.1,"8.4 (7.7, 9.1)",28,Andhra Pradesh
Crude,Rural,Diabetes,Sex,Male,Andhra Pradesh,9.2,8.5,10,"9.2 (8.5, 10)",28,Andhra Pradesh
Crude,Urban,Diabetes,Sex,Female,Andhra Pradesh,13.3,11.9,14.7,"13.3 (11.9, 14.7)",28,Andhra Pradesh
Crude,Urban,Diabetes,Sex,Male,Andhra Pradesh,13.6,11.9,15.3,"13.6 (11.9, 15.3)",28,Andhra Pradesh
Crude,Rural,Diabetes,Sex,Female,Karnataka,5.2,4.8,5.6,"5.2 (4.8, 5.6)",29,Karnataka
Crude,Rural,Diabetes,Sex,Male,Karnataka,5.8,5.4,6.3,"5.8 (5.4, 6.3)",29,Karnataka
Crude,Urban,Diabetes,Sex,Female,Karnataka,8.5,7.6,9.4,"8.5 (7.6, 9.4)",29,Karnataka
Crude,Urban,Diabetes,Sex,Male,Karnataka,8.7,7.6,9.8,"8.7 (7.6, 9.8)",29,Karnataka
Crude,Rural,Diabetes,Sex,Female,Goa,11.8,9.6,13.9,"11.8 (9.6, 13.9)",30,Goa
Crude,Rural,Diabetes,Sex,Male,Goa,11.8,9,14.6,"11.8 (9, 14.6)",30,Goa
Crude,Urban,Diabetes,Sex,Female,Goa,11.2,9,13.3,"11.2 (9, 13.3)",30,Goa
Crude,Urban,Diabetes,Sex,Male,Goa,10.1,8.1,12.1,"10.1 (8.1, 12.1)",30,Goa
Crude,Rural,Diabetes,Sex,Female,Lakshadweep,12,8.7,15.4,"12 (8.7, 15.4)",31,Lakshadweep
Crude,Rural,Diabetes,Sex,Male,Lakshadweep,5.8,4.5,7.1,"5.8 (4.5, 7.1)",31,Lakshadweep
Crude,Urban,Diabetes,Sex,Female,Lakshadweep,10.3,8.4,12.2,"10.3 (8.4, 12.2)",31,Lakshadweep
Crude,Urban,Diabetes,Sex,Male,Lakshadweep,10.5,8.2,12.8,"10.5 (8.2, 12.8)",31,Lakshadweep
Crude,Rural,Diabetes,Sex,Female,Kerala,16.8,15.9,17.8,"16.8 (15.9, 17.8)",32,Kerala
Crude,Rural,Diabetes,Sex,Male,Kerala,17.6,16.4,18.7,"17.6 (16.4, 18.7)",32,Kerala
Crude,Urban,Diabetes,Sex,Female,Kerala,16.2,15.3,17.2,"16.2 (15.3, 17.2)",32,Kerala
Crude,Urban,Diabetes,Sex,Male,Kerala,17.8,16.5,19.1,"17.8 (16.5, 19.1)",32,Kerala
Crude,Rural,Diabetes,Sex,Female,Tamil Nadu,12.2,11,13.4,"12.2 (11, 13.4)",33,Tamil Nadu
Crude,Rural,Diabetes,Sex,Male,Tamil Nadu,12.2,11.2,13.3,"12.2 (11.2, 13.3)",33,Tamil Nadu
Crude,Urban,Diabetes,Sex,Female,Tamil Nadu,16.5,15.2,17.8,"16.5 (15.2, 17.8)",33,Tamil Nadu
Crude,Urban,Diabetes,Sex,Male,Tamil Nadu,15.1,14,16.3,"15.1 (14, 16.3)",33,Tamil Nadu
Crude,Rural,Diabetes,Sex,Female,Puducherry,8.7,7,10.4,"8.7 (7, 10.4)",34,Puducherry
Crude,Rural,Diabetes,Sex,Male,Puducherry,8.2,5.2,11.1,"8.2 (5.2, 11.1)",34,Puducherry
Crude,Urban,Diabetes,Sex,Female,Puducherry,14.5,12.2,16.7,"14.5 (12.2, 16.7)",34,Puducherry
Crude,Urban,Diabetes,Sex,Male,Puducherry,14.9,12.1,17.7,"14.9 (12.1, 17.7)",34,Puducherry
Crude,Rural,Diabetes,Sex,Female,Andaman & Nicobar,8.5,7,10.1,"8.5 (7, 10.1)",35,Andaman & Nicobar Islands
Crude,Rural,Diabetes,Sex,Male,Andaman & Nicobar,6.7,5.1,8.3,"6.7 (5.1, 8.3)",35,Andaman & Nicobar Islands
Crude,Urban,Diabetes,Sex,Female,Andaman & Nicobar,8.5,6.3,10.7,"8.5 (6.3, 10.7)",35,Andaman & Nicobar Islands
Crude,Urban,Diabetes,Sex,Male,Andaman & Nicobar,10.2,7.9,12.5,"10.2 (7.9, 12.5)",35,Andaman & Nicobar Islands
Crude,Rural,Diabetes,Sex,Female,Telangana,5.6,5.3,6,"5.6 (5.3, 6)",36,Telangana
Crude,Rural,Diabetes,Sex,Male,Telangana,7.1,6.7,7.5,"7.1 (6.7, 7.5)",36,Telangana
Crude,Urban,Diabetes,Sex,Female,Telangana,10.6,9.5,11.8,"10.6 (9.5, 11.8)",36,Telangana
Crude,Urban,Diabetes,Sex,Male,Telangana,12.3,11.1,13.6,"12.3 (11.1, 13.6)",36,Telangana
Crude,Rural,Diabetes,Sex,Female,Ladakh,6.1,2.6,9.7,"6.1 (2.6, 9.7)",37,Ladakh
Crude,Rural,Diabetes,Sex,Male,Ladakh,6.5,3.2,9.7,"6.5 (3.2, 9.7)",37,Ladakh
Crude,Urban,Diabetes,Sex,Female,Ladakh,10.6,2.2,19,"10.6 (2.2, 19)",37,Ladakh
