Level1,Level2,Level3,REGNAME,REGCODE,estimate,lci,uci,est_ci,nfhs5_statecode,nfhs5_statename
Crude,Diabetes,Total,Samba,22,4.4,3,5.7,"4.4 (3, 5.7)",1,Jammu & Kashmir
Crude,Diabetes,Total,Chamba,23,4.1,2.7,5.4,"4.1 (2.7, 5.4)",2,Himachal Pradesh
Crude,Diabetes,Total,Kangra,24,7.8,6.6,9,"7.8 (6.6, 9)",2,Himachal Pradesh
Crude,Diabetes,Total,Lahul & Spiti,25,1.5,0.9,2.1,"1.5 (0.9, 2.1)",2,Himachal Pradesh
Crude,Diabetes,Total,Kullu,26,7.3,3.8,10.9,"7.3 (3.8, 10.9)",2,Himachal Pradesh
Crude,Diabetes,Total,Mandi,27,4.7,3.3,6.1,"4.7 (3.3, 6.1)",2,Himachal Pradesh
Crude,Diabetes,Total,Hamirpur,28,9.5,7.6,11.4,"9.5 (7.6, 11.4)",2,Himachal Pradesh
Crude,Diabetes,Total,Una,29,9.6,7.8,11.4,"9.6 (7.8, 11.4)",2,Himachal Pradesh
Crude,Diabetes,Total,Bilaspur,30,5.1,4.1,6,"5.1 (4.1, 6)",2,Himachal Pradesh
Crude,Diabetes,Total,Solan,31,4,3.2,4.8,"4 (3.2, 4.8)",2,Himachal Pradesh
Crude,Diabetes,Total,Sirmaur,32,5.5,3.8,7.3,"5.5 (3.8, 7.3)",2,Himachal Pradesh
Crude,Diabetes,Total,Shimla,33,3.6,2.5,4.8,"3.6 (2.5, 4.8)",2,Himachal Pradesh
Crude,Diabetes,Total,Kinnaur,34,3.2,2.4,4.1,"3.2 (2.4, 4.1)",2,Himachal Pradesh
Crude,Diabetes,Total,Kapurthala,36,7,5.8,8.2,"7 (5.8, 8.2)",3,Punjab
Crude,Diabetes,Total,Jalandhar,37,7.9,6.4,9.4,"7.9 (6.4, 9.4)",3,Punjab
Crude,Diabetes,Total,Hoshiarpur,38,5,3.8,6.1,"5 (3.8, 6.1)",3,Punjab
Crude,Diabetes,Total,Shahid Bhagat Singh Nagar,39,5.3,4,6.5,"5.3 (4, 6.5)",3,Punjab
Crude,Diabetes,Total,Fatehgarh Sahib,40,8.2,6.9,9.6,"8.2 (6.9, 9.6)",3,Punjab
Crude,Diabetes,Total,Ludhiana,41,7.4,5.6,9.2,"7.4 (5.6, 9.2)",3,Punjab
Crude,Diabetes,Total,Moga,42,5.8,4.8,6.7,"5.8 (4.8, 6.7)",3,Punjab
Crude,Diabetes,Total,Muktsar,44,5.4,4.4,6.5,"5.4 (4.4, 6.5)",3,Punjab
Crude,Diabetes,Total,Faridkot,45,8.5,6.4,10.6,"8.5 (6.4, 10.6)",3,Punjab
Crude,Diabetes,Total,Bathinda,46,7.6,6,9.1,"7.6 (6, 9.1)",3,Punjab
Crude,Diabetes,Total,Mansa,47,4.8,3.5,6.1,"4.8 (3.5, 6.1)",3,Punjab
Crude,Diabetes,Total,Patiala,48,8.2,6.4,10,"8.2 (6.4, 10)",3,Punjab
Crude,Diabetes,Total,Amritsar,49,6.4,4.7,8.2,"6.4 (4.7, 8.2)",3,Punjab
Crude,Diabetes,Total,Tarn Taran,50,4.5,3.6,5.4,"4.5 (3.6, 5.4)",3,Punjab
Crude,Diabetes,Total,Rupnagar,51,9,7.5,10.5,"9 (7.5, 10.5)",3,Punjab
Crude,Diabetes,Total,Sahibzada Ajit Singh Nagar,52,8.4,7,9.7,"8.4 (7, 9.7)",3,Punjab
Crude,Diabetes,Total,Sangrur,53,6,4.6,7.5,"6 (4.6, 7.5)",3,Punjab
Crude,Diabetes,Total,Barnala,54,6.8,5.4,8.3,"6.8 (5.4, 8.3)",3,Punjab
Crude,Diabetes,Total,Chandigarh,55,9.3,7.4,11.1,"9.3 (7.4, 11.1)",4,Chandigarh
Crude,Diabetes,Total,Uttarkashi,56,2.7,1.9,3.5,"2.7 (1.9, 3.5)",5,Uttarakhand
Crude,Diabetes,Total,Chamoli,57,3,2.1,3.9,"3 (2.1, 3.9)",5,Uttarakhand
Crude,Diabetes,Total,Rudraprayag,58,3.7,2.7,4.7,"3.7 (2.7, 4.7)",5,Uttarakhand
Crude,Diabetes,Total,Tehri Garhwal,59,4.3,3.1,5.4,"4.3 (3.1, 5.4)",5,Uttarakhand
Crude,Diabetes,Total,Dehradun,60,8.3,6.5,10.1,"8.3 (6.5, 10.1)",5,Uttarakhand
Crude,Diabetes,Total,Garhwal,61,5.5,3.8,7.2,"5.5 (3.8, 7.2)",5,Uttarakhand
Crude,Diabetes,Total,Pithoragarh,62,2.9,2.1,3.8,"2.9 (2.1, 3.8)",5,Uttarakhand
Crude,Diabetes,Total,Bageshwar,63,3.4,2.6,4.1,"3.4 (2.6, 4.1)",5,Uttarakhand
Crude,Diabetes,Total,Almora,64,4.4,3.2,5.6,"4.4 (3.2, 5.6)",5,Uttarakhand
Crude,Diabetes,Total,Champawat,65,4.5,3.1,5.8,"4.5 (3.1, 5.8)",5,Uttarakhand
Crude,Diabetes,Total,Nainital,66,7.4,5.8,9,"7.4 (5.8, 9)",5,Uttarakhand
Crude,Diabetes,Total,Udham Singh Nagar,67,7.1,5.6,8.5,"7.1 (5.6, 8.5)",5,Uttarakhand
Crude,Diabetes,Total,Hardwar,68,6.6,5.1,8.1,"6.6 (5.1, 8.1)",5,Uttarakhand
Crude,Diabetes,Total,Panchkula,69,7.3,5.8,8.7,"7.3 (5.8, 8.7)",6,Haryana
Crude,Diabetes,Total,Ambala,70,5.9,4.5,7.3,"5.9 (4.5, 7.3)",6,Haryana
Crude,Diabetes,Total,Yamunanagar,71,7.7,6.3,9,"7.7 (6.3, 9)",6,Haryana
Crude,Diabetes,Total,Kurukshetra,72,8.6,7.1,10.1,"8.6 (7.1, 10.1)",6,Haryana
Crude,Diabetes,Total,Kaithal,73,5.2,3.9,6.5,"5.2 (3.9, 6.5)",6,Haryana
Crude,Diabetes,Total,Karnal,74,5.2,4.1,6.2,"5.2 (4.1, 6.2)",6,Haryana
Crude,Diabetes,Total,Panipat,75,7.8,5.1,10.5,"7.8 (5.1, 10.5)",6,Haryana
Crude,Diabetes,Total,Sonipat,76,5.4,4,6.8,"5.4 (4, 6.8)",6,Haryana
Crude,Diabetes,Total,Jind,77,4.5,3.6,5.3,"4.5 (3.6, 5.3)",6,Haryana
Crude,Diabetes,Total,Fatehabad,78,5.9,4.5,7.2,"5.9 (4.5, 7.2)",6,Haryana
Crude,Diabetes,Total,Sirsa,79,11.6,7.8,15.5,"11.6 (7.8, 15.5)",6,Haryana
Crude,Diabetes,Total,Hisar,80,9.5,6.8,12.2,"9.5 (6.8, 12.2)",6,Haryana
Crude,Diabetes,Total,Rohtak,82,11.5,6.9,16.1,"11.5 (6.9, 16.1)",6,Haryana
Crude,Diabetes,Total,Jhajjar,83,4.7,3.8,5.6,"4.7 (3.8, 5.6)",6,Haryana
Crude,Diabetes,Total,Mahendragarh,84,3.6,2.6,4.6,"3.6 (2.6, 4.6)",6,Haryana
Crude,Diabetes,Total,Rewari,85,3,2.2,3.9,"3 (2.2, 3.9)",6,Haryana
Crude,Diabetes,Total,Gurgaon,86,3.2,2.2,4.1,"3.2 (2.2, 4.1)",6,Haryana
Crude,Diabetes,Total,Mewat,87,1.8,1.1,2.5,"1.8 (1.1, 2.5)",6,Haryana
Crude,Diabetes,Total,Faridabad,88,4.7,3.6,5.9,"4.7 (3.6, 5.9)",6,Haryana
Crude,Diabetes,Total,Palwal,89,3.8,3,4.6,"3.8 (3, 4.6)",6,Haryana
Crude,Diabetes,Total,Ganganagar,99,6.2,3.9,8.4,"6.2 (3.9, 8.4)",8,Rajasthan
Crude,Diabetes,Total,Hanumangarh,100,5.5,3.6,7.4,"5.5 (3.6, 7.4)",8,Rajasthan
Crude,Diabetes,Total,Bikaner,101,3.9,2.1,5.6,"3.9 (2.1, 5.6)",8,Rajasthan
Crude,Diabetes,Total,Churu,102,4.4,2.8,6,"4.4 (2.8, 6)",8,Rajasthan
Crude,Diabetes,Total,Jhunjhunun,103,5.2,3.6,6.8,"5.2 (3.6, 6.8)",8,Rajasthan
Crude,Diabetes,Total,Alwar,104,2.3,1.5,3,"2.3 (1.5, 3)",8,Rajasthan
Crude,Diabetes,Total,Bharatpur,105,2.7,1.9,3.5,"2.7 (1.9, 3.5)",8,Rajasthan
Crude,Diabetes,Total,Dhaulpur,106,1.6,0.7,2.4,"1.6 (0.7, 2.4)",8,Rajasthan
Crude,Diabetes,Total,Karauli,107,1.3,0.8,1.7,"1.3 (0.8, 1.7)",8,Rajasthan
Crude,Diabetes,Total,Sawai Madhopur,108,2.2,1.5,2.9,"2.2 (1.5, 2.9)",8,Rajasthan
Crude,Diabetes,Total,Dausa,109,1.5,1,2.1,"1.5 (1, 2.1)",8,Rajasthan
Crude,Diabetes,Total,Jaipur,110,3.4,2.4,4.3,"3.4 (2.4, 4.3)",8,Rajasthan
Crude,Diabetes,Total,Sikar,111,4.1,2.8,5.4,"4.1 (2.8, 5.4)",8,Rajasthan
Crude,Diabetes,Total,Nagaur,112,1.7,1.2,2.2,"1.7 (1.2, 2.2)",8,Rajasthan
Crude,Diabetes,Total,Jodhpur,113,3.6,1.8,5.4,"3.6 (1.8, 5.4)",8,Rajasthan
Crude,Diabetes,Total,Jaisalmer,114,1.9,0.9,2.8,"1.9 (0.9, 2.8)",8,Rajasthan
Crude,Diabetes,Total,Barmer,115,1,0.5,1.5,"1 (0.5, 1.5)",8,Rajasthan
Crude,Diabetes,Total,Jalor,116,2.6,1.1,4.1,"2.6 (1.1, 4.1)",8,Rajasthan
Crude,Diabetes,Total,Sirohi,117,1.8,0.6,3,"1.8 (0.6, 3)",8,Rajasthan
Crude,Diabetes,Total,Pali,118,3.9,1.8,6.1,"3.9 (1.8, 6.1)",8,Rajasthan
Crude,Diabetes,Total,Ajmer,119,3.1,2.3,4,"3.1 (2.3, 4)",8,Rajasthan
Crude,Diabetes,Total,Tonk,120,1.8,1.3,2.3,"1.8 (1.3, 2.3)",8,Rajasthan
Crude,Diabetes,Total,Bundi,121,1.6,1.1,2.1,"1.6 (1.1, 2.1)",8,Rajasthan
Crude,Diabetes,Total,Bhilwara,122,2.1,1,3.1,"2.1 (1, 3.1)",8,Rajasthan
Crude,Diabetes,Total,Rajsamand,123,2,1.4,2.6,"2 (1.4, 2.6)",8,Rajasthan
Crude,Diabetes,Total,Dungarpur,124,3.4,1.7,5,"3.4 (1.7, 5)",8,Rajasthan
Crude,Diabetes,Total,Banswara,125,1,0.5,1.5,"1 (0.5, 1.5)",8,Rajasthan
Crude,Diabetes,Total,Chittaurgarh,126,1.8,1.2,2.4,"1.8 (1.2, 2.4)",8,Rajasthan
Crude,Diabetes,Total,Kota,127,1.9,1.3,2.4,"1.9 (1.3, 2.4)",8,Rajasthan
Crude,Diabetes,Total,Baran,128,1.4,0.9,1.9,"1.4 (0.9, 1.9)",8,Rajasthan
Crude,Diabetes,Total,Jhalawar,129,1,0.6,1.5,"1 (0.6, 1.5)",8,Rajasthan
Crude,Diabetes,Total,Udaipur,130,4.6,2.3,6.8,"4.6 (2.3, 6.8)",8,Rajasthan
Crude,Diabetes,Total,Pratapgarh,131,1.3,0.8,1.7,"1.3 (0.8, 1.7)",8,Rajasthan
Crude,Diabetes,Total,Saharanpur,132,1.9,1.3,2.4,"1.9 (1.3, 2.4)",9,Uttar Pradesh
Crude,Diabetes,Total,Bijnor,134,5.2,4.1,6.3,"5.2 (4.1, 6.3)",9,Uttar Pradesh
Crude,Diabetes,Total,Rampur,136,4.6,3.2,5.9,"4.6 (3.2, 5.9)",9,Uttar Pradesh
Crude,Diabetes,Total,Jyotiba Phule Nagar,137,3.3,1.9,4.7,"3.3 (1.9, 4.7)",9,Uttar Pradesh
Crude,Diabetes,Total,Meerut,138,6.8,5.1,8.5,"6.8 (5.1, 8.5)",9,Uttar Pradesh
Crude,Diabetes,Total,Baghpat,139,4.4,3.5,5.2,"4.4 (3.5, 5.2)",9,Uttar Pradesh
Crude,Diabetes,Total,Gautam Buddha Nagar,141,5.6,4,7.2,"5.6 (4, 7.2)",9,Uttar Pradesh
Crude,Diabetes,Total,Bulandshahr,142,3.4,2.7,4.2,"3.4 (2.7, 4.2)",9,Uttar Pradesh
Crude,Diabetes,Total,Aligarh,143,3.6,2.4,4.8,"3.6 (2.4, 4.8)",9,Uttar Pradesh
Crude,Diabetes,Total,Mahamaya Nagar,144,5.9,3.9,7.9,"5.9 (3.9, 7.9)",9,Uttar Pradesh
Crude,Diabetes,Total,Mathura,145,3.9,2.5,5.3,"3.9 (2.5, 5.3)",9,Uttar Pradesh
Crude,Diabetes,Total,Agra,146,3.1,2.2,4,"3.1 (2.2, 4)",9,Uttar Pradesh
Crude,Diabetes,Total,Firozabad,147,2.5,1.8,3.2,"2.5 (1.8, 3.2)",9,Uttar Pradesh
Crude,Diabetes,Total,Mainpuri,148,1.8,1.3,2.3,"1.8 (1.3, 2.3)",9,Uttar Pradesh
Crude,Diabetes,Total,Bareilly,150,3.4,2.5,4.3,"3.4 (2.5, 4.3)",9,Uttar Pradesh
Crude,Diabetes,Total,Pilibhit,151,4.1,2.9,5.4,"4.1 (2.9, 5.4)",9,Uttar Pradesh
Crude,Diabetes,Total,Shahjahanpur,152,2.1,1.5,2.6,"2.1 (1.5, 2.6)",9,Uttar Pradesh
Crude,Diabetes,Total,Kheri,153,3.1,2.1,4,"3.1 (2.1, 4)",9,Uttar Pradesh
Crude,Diabetes,Total,Sitapur,154,2.8,2.1,3.4,"2.8 (2.1, 3.4)",9,Uttar Pradesh
Crude,Diabetes,Total,Hardoi,155,2.2,1.5,3,"2.2 (1.5, 3)",9,Uttar Pradesh
Crude,Diabetes,Total,Unnao,156,4.4,3.1,5.7,"4.4 (3.1, 5.7)",9,Uttar Pradesh
Crude,Diabetes,Total,Lucknow,157,8.1,6.1,10.1,"8.1 (6.1, 10.1)",9,Uttar Pradesh
Crude,Diabetes,Total,Farrukhabad,159,2.6,1.7,3.6,"2.6 (1.7, 3.6)",9,Uttar Pradesh
Crude,Diabetes,Total,Kannauj,160,1.8,1.1,2.5,"1.8 (1.1, 2.5)",9,Uttar Pradesh
Crude,Diabetes,Total,Etawah,161,2.9,2.2,3.7,"2.9 (2.2, 3.7)",9,Uttar Pradesh
Crude,Diabetes,Total,Auraiya,162,2.6,1.6,3.5,"2.6 (1.6, 3.5)",9,Uttar Pradesh
Crude,Diabetes,Total,Kanpur Dehat,163,3.1,2.1,4.2,"3.1 (2.1, 4.2)",9,Uttar Pradesh
Crude,Diabetes,Total,Kanpur Nagar,164,4.3,3.2,5.4,"4.3 (3.2, 5.4)",9,Uttar Pradesh
Crude,Diabetes,Total,Jalaun,165,2.6,1.9,3.3,"2.6 (1.9, 3.3)",9,Uttar Pradesh
Crude,Diabetes,Total,Jhansi,166,1.8,0.8,2.9,"1.8 (0.8, 2.9)",9,Uttar Pradesh
Crude,Diabetes,Total,Lalitpur,167,3.6,2.3,4.9,"3.6 (2.3, 4.9)",9,Uttar Pradesh
Crude,Diabetes,Total,Hamirpur,168,1.3,0.6,1.9,"1.3 (0.6, 1.9)",9,Uttar Pradesh
Crude,Diabetes,Total,Mahoba,169,2.9,1.7,4.1,"2.9 (1.7, 4.1)",9,Uttar Pradesh
Crude,Diabetes,Total,Banda,170,2.3,1.6,3,"2.3 (1.6, 3)",9,Uttar Pradesh
Crude,Diabetes,Total,Chitrakoot,171,6.8,3.1,10.4,"6.8 (3.1, 10.4)",9,Uttar Pradesh
Crude,Diabetes,Total,Fatehpur,172,3,2.2,3.8,"3 (2.2, 3.8)",9,Uttar Pradesh
Crude,Diabetes,Total,Pratapgarh,173,6.9,5.4,8.3,"6.9 (5.4, 8.3)",9,Uttar Pradesh
Crude,Diabetes,Total,Kaushambi,174,2.8,1.9,3.6,"2.8 (1.9, 3.6)",9,Uttar Pradesh
Crude,Diabetes,Total,Allahabad,175,4,3,4.9,"4 (3, 4.9)",9,Uttar Pradesh
Crude,Diabetes,Total,Bara Banki,176,7,4.3,9.7,"7 (4.3, 9.7)",9,Uttar Pradesh
Crude,Diabetes,Total,Faizabad,177,6,4.4,7.5,"6 (4.4, 7.5)",9,Uttar Pradesh
Crude,Diabetes,Total,Ambedkar Nagar,178,5.1,4.1,6.1,"5.1 (4.1, 6.1)",9,Uttar Pradesh
Crude,Diabetes,Total,Bahraich,180,7.6,3.7,11.4,"7.6 (3.7, 11.4)",9,Uttar Pradesh
Crude,Diabetes,Total,Shrawasti,181,4.4,2.8,6,"4.4 (2.8, 6)",9,Uttar Pradesh
Crude,Diabetes,Total,Balrampur,182,6.2,4,8.4,"6.2 (4, 8.4)",9,Uttar Pradesh
Crude,Diabetes,Total,Gonda,183,7.9,6,9.8,"7.9 (6, 9.8)",9,Uttar Pradesh
Crude,Diabetes,Total,Siddharthnagar,184,5.6,3.3,7.8,"5.6 (3.3, 7.8)",9,Uttar Pradesh
Crude,Diabetes,Total,Basti,185,7.3,4.9,9.7,"7.3 (4.9, 9.7)",9,Uttar Pradesh
Crude,Diabetes,Total,Sant Kabir Nagar,186,3.8,2.9,4.7,"3.8 (2.9, 4.7)",9,Uttar Pradesh
Crude,Diabetes,Total,Maharajganj,187,4.4,3.3,5.5,"4.4 (3.3, 5.5)",9,Uttar Pradesh
Crude,Diabetes,Total,Gorakhpur,188,6.8,5.1,8.4,"6.8 (5.1, 8.4)",9,Uttar Pradesh
Crude,Diabetes,Total,Kushinagar,189,7.4,4.4,10.4,"7.4 (4.4, 10.4)",9,Uttar Pradesh
Crude,Diabetes,Total,Deoria,190,8.1,4.5,11.7,"8.1 (4.5, 11.7)",9,Uttar Pradesh
Crude,Diabetes,Total,Azamgarh,191,4.3,3.5,5.2,"4.3 (3.5, 5.2)",9,Uttar Pradesh
Crude,Diabetes,Total,Mau,192,3.8,2.6,5.1,"3.8 (2.6, 5.1)",9,Uttar Pradesh
Crude,Diabetes,Total,Ballia,193,8.3,6.1,10.4,"8.3 (6.1, 10.4)",9,Uttar Pradesh
Crude,Diabetes,Total,Jaunpur,194,9.7,6.3,13.1,"9.7 (6.3, 13.1)",9,Uttar Pradesh
Crude,Diabetes,Total,Ghazipur,195,6.6,4.4,8.8,"6.6 (4.4, 8.8)",9,Uttar Pradesh
Crude,Diabetes,Total,Chandauli,196,3.6,2.2,5,"3.6 (2.2, 5)",9,Uttar Pradesh
Crude,Diabetes,Total,Varanasi,197,6.3,3.8,8.7,"6.3 (3.8, 8.7)",9,Uttar Pradesh
Crude,Diabetes,Total,Sant Ravidas Nagar,198,4.9,3.3,6.5,"4.9 (3.3, 6.5)",9,Uttar Pradesh
Crude,Diabetes,Total,Mirzapur,199,7.2,4.8,9.6,"7.2 (4.8, 9.6)",9,Uttar Pradesh
Crude,Diabetes,Total,Sonbhadra,200,3.9,1.8,6.1,"3.9 (1.8, 6.1)",9,Uttar Pradesh
Crude,Diabetes,Total,Etah,201,2.2,1.5,3,"2.2 (1.5, 3)",9,Uttar Pradesh
Crude,Diabetes,Total,Kanshiram Nagar,202,2.2,1.4,2.9,"2.2 (1.4, 2.9)",9,Uttar Pradesh
Crude,Diabetes,Total,Pashchim Champaran,203,4.8,3.2,6.5,"4.8 (3.2, 6.5)",10,Bihar
Crude,Diabetes,Total,Purba Champaran,204,5.4,4,6.8,"5.4 (4, 6.8)",10,Bihar
Crude,Diabetes,Total,Sheohar,205,2.4,1.6,3.2,"2.4 (1.6, 3.2)",10,Bihar
Crude,Diabetes,Total,Sitamarhi,206,3.7,2.4,5.1,"3.7 (2.4, 5.1)",10,Bihar
Crude,Diabetes,Total,Madhubani,207,5.9,4.1,7.8,"5.9 (4.1, 7.8)",10,Bihar
Crude,Diabetes,Total,Supaul,208,4.3,3.2,5.4,"4.3 (3.2, 5.4)",10,Bihar
Crude,Diabetes,Total,Araria,209,4.6,3.6,5.6,"4.6 (3.6, 5.6)",10,Bihar
Crude,Diabetes,Total,Kishanganj,210,5.1,3.8,6.5,"5.1 (3.8, 6.5)",10,Bihar
Crude,Diabetes,Total,Purnia,211,7.8,4.8,10.7,"7.8 (4.8, 10.7)",10,Bihar
Crude,Diabetes,Total,Katihar,212,4,2.9,5.1,"4 (2.9, 5.1)",10,Bihar
Crude,Diabetes,Total,Madhepura,213,4.2,3.1,5.3,"4.2 (3.1, 5.3)",10,Bihar
Crude,Diabetes,Total,Saharsa,214,3.3,2.4,4.2,"3.3 (2.4, 4.2)",10,Bihar
Crude,Diabetes,Total,Darbhanga,215,5.8,3.8,7.8,"5.8 (3.8, 7.8)",10,Bihar
Crude,Diabetes,Total,Muzaffarpur,216,7.4,5,9.8,"7.4 (5, 9.8)",10,Bihar
Crude,Diabetes,Total,Gopalganj,217,5.6,4.1,7.2,"5.6 (4.1, 7.2)",10,Bihar
Crude,Diabetes,Total,Siwan,218,4.9,3.7,6.1,"4.9 (3.7, 6.1)",10,Bihar
Crude,Diabetes,Total,Saran,219,7.1,5.4,8.8,"7.1 (5.4, 8.8)",10,Bihar
Crude,Diabetes,Total,Vaishali,220,9.2,6.4,12,"9.2 (6.4, 12)",10,Bihar
Crude,Diabetes,Total,Samastipur,221,4.4,3.2,5.6,"4.4 (3.2, 5.6)",10,Bihar
Crude,Diabetes,Total,Begusarai,222,8.7,5.8,11.6,"8.7 (5.8, 11.6)",10,Bihar
Crude,Diabetes,Total,Khagaria,223,5.1,3.9,6.2,"5.1 (3.9, 6.2)",10,Bihar
Crude,Diabetes,Total,Bhagalpur,224,5.2,3.9,6.4,"5.2 (3.9, 6.4)",10,Bihar
Crude,Diabetes,Total,Banka,225,6.1,3.5,8.6,"6.1 (3.5, 8.6)",10,Bihar
Crude,Diabetes,Total,Munger,226,7.6,5.5,9.7,"7.6 (5.5, 9.7)",10,Bihar
Crude,Diabetes,Total,Lakhisarai,227,5,3.5,6.5,"5 (3.5, 6.5)",10,Bihar
Crude,Diabetes,Total,Sheikhpura,228,3.9,2.4,5.5,"3.9 (2.4, 5.5)",10,Bihar
Crude,Diabetes,Total,Nalanda,229,3.5,2.2,4.8,"3.5 (2.2, 4.8)",10,Bihar
Crude,Diabetes,Total,Patna,230,6.4,4.9,7.9,"6.4 (4.9, 7.9)",10,Bihar
Crude,Diabetes,Total,Bhojpur,231,6.1,4.4,7.7,"6.1 (4.4, 7.7)",10,Bihar
Crude,Diabetes,Total,Buxer,232,4,2.8,5.3,"4 (2.8, 5.3)",10,Bihar
Crude,Diabetes,Total,Kaimur (Bhabua),233,1.7,1.1,2.3,"1.7 (1.1, 2.3)",10,Bihar
Crude,Diabetes,Total,Rohtas,234,3.3,2.6,4,"3.3 (2.6, 4)",10,Bihar
Crude,Diabetes,Total,Aurangabad,235,3.1,2,4.2,"3.1 (2, 4.2)",10,Bihar
Crude,Diabetes,Total,Gaya,236,2.2,1.3,3.1,"2.2 (1.3, 3.1)",10,Bihar
Crude,Diabetes,Total,Nawada,237,4.4,1.9,6.9,"4.4 (1.9, 6.9)",10,Bihar
Crude,Diabetes,Total,Jamui,238,5.7,3.2,8.3,"5.7 (3.2, 8.3)",10,Bihar
Crude,Diabetes,Total,Jehanabad,239,2.8,2.1,3.6,"2.8 (2.1, 3.6)",10,Bihar
Crude,Diabetes,Total,Arwal,240,3.6,2.4,4.8,"3.6 (2.4, 4.8)",10,Bihar
Crude,Diabetes,Total,North District,241,4.1,2.9,5.2,"4.1 (2.9, 5.2)",11,Sikkim
Crude,Diabetes,Total,West District,242,3.5,1.9,5,"3.5 (1.9, 5)",11,Sikkim
Crude,Diabetes,Total,South District,243,5.3,4.2,6.5,"5.3 (4.2, 6.5)",11,Sikkim
Crude,Diabetes,Total,East District,244,6.8,5,8.5,"6.8 (5, 8.5)",11,Sikkim
Crude,Diabetes,Total,Tawang,245,2.3,1.3,3.4,"2.3 (1.3, 3.4)",12,Arunachal Pradesh
Crude,Diabetes,Total,West Kameng,246,1.4,0.8,1.9,"1.4 (0.8, 1.9)",12,Arunachal Pradesh
Crude,Diabetes,Total,East Kameng,247,6.5,3.2,9.9,"6.5 (3.2, 9.9)",12,Arunachal Pradesh
Crude,Diabetes,Total,Papum Pare,248,7.6,4.9,10.4,"7.6 (4.9, 10.4)",12,Arunachal Pradesh
Crude,Diabetes,Total,Upper Subansiri,249,6,2.7,9.3,"6 (2.7, 9.3)",12,Arunachal Pradesh
Crude,Diabetes,Total,Upper Siang,252,2,1.2,2.9,"2 (1.2, 2.9)",12,Arunachal Pradesh
Crude,Diabetes,Total,Changlang,253,1.7,1.1,2.2,"1.7 (1.1, 2.2)",12,Arunachal Pradesh
Crude,Diabetes,Total,Lower Subansiri,255,8.6,3.6,13.6,"8.6 (3.6, 13.6)",12,Arunachal Pradesh
Crude,Diabetes,Total,Dibang Valley,257,4.2,2.2,6.2,"4.2 (2.2, 6.2)",12,Arunachal Pradesh
Crude,Diabetes,Total,Lower Dibang Valley,258,3,2.2,3.8,"3 (2.2, 3.8)",12,Arunachal Pradesh
Crude,Diabetes,Total,Anjaw,260,1.4,0.9,1.9,"1.4 (0.9, 1.9)",12,Arunachal Pradesh
Crude,Diabetes,Total,Mon,261,1.6,0.9,2.4,"1.6 (0.9, 2.4)",13,Nagaland
